#    x:			Analytic:		Numerical:		Epsilon Largest:		log(h)
      0.0000000           0.0000000                0.0000000                   0.0000000                   -3.6990569
  0.00019996001        0.0017976513             0.0017976507                  -6.4772963                   -3.6990569
  0.00039992002        0.0035913121             0.0035913110                  -6.4772963                   -3.6990569
  0.00059988002        0.0053809906             0.0053809888                  -6.4772963                   -3.6990569
  0.00079984003        0.0071666945             0.0071666921                  -6.4772963                   -3.6990569
  0.00099980004        0.0089484319             0.0089484289                  -6.4772963                   -3.6990569
   0.0011997600         0.010726211              0.010726207                  -6.4772963                   -3.6990569
   0.0013997201         0.012500039              0.012500035                  -6.4772963                   -3.6990569
   0.0015996801         0.014269924              0.014269919                  -6.4772963                   -3.6990569
   0.0017996401         0.016035874              0.016035869                  -6.4772963                   -3.6990569
   0.0019996001         0.017797897              0.017797891                  -6.4772963                   -3.6990569
   0.0021995601         0.019556001              0.019555995                  -6.4772963                   -3.6990569
   0.0023995201         0.021310194              0.021310187                  -6.4772963                   -3.6990569
   0.0025994801         0.023060483              0.023060475                  -6.4772963                   -3.6990569
   0.0027994401         0.024806876              0.024806868                  -6.4772963                   -3.6990569
   0.0029994001         0.026549381              0.026549372                  -6.4772963                   -3.6990569
   0.0031993601         0.028288006              0.028287996                  -6.4772963                   -3.6990569
   0.0033993201         0.030022758              0.030022748                  -6.4772963                   -3.6990569
   0.0035992801         0.031753646              0.031753635                  -6.4772963                   -3.6990569
   0.0037992402         0.033480676              0.033480665                  -6.4772963                   -3.6990569
   0.0039992002         0.035203857              0.035203846                  -6.4772963                   -3.6990569
   0.0041991602         0.036923197              0.036923185                  -6.4772963                   -3.6990569
   0.0043991202         0.038638703              0.038638690                  -6.4772963                   -3.6990569
   0.0045990802         0.040350382              0.040350368                  -6.4772963                   -3.6990569
   0.0047990402         0.042058242              0.042058228                  -6.4772963                   -3.6990569
   0.0049990002         0.043762292              0.043762277                  -6.4772963                   -3.6990569
   0.0051989602         0.045462538              0.045462523                  -6.4772963                   -3.6990569
   0.0053989202         0.047158988              0.047158972                  -6.4772963                   -3.6990569
   0.0055988802         0.048851650              0.048851634                  -6.4772963                   -3.6990569
   0.0057988402         0.050540531              0.050540515                  -6.4772963                   -3.6990569
   0.0059988002         0.052225640              0.052225622                  -6.4772963                   -3.6990569
   0.0061987602         0.053906982              0.053906964                  -6.4772963                   -3.6990569
   0.0063987203         0.055584567              0.055584548                  -6.4772963                   -3.6990569
   0.0065986803         0.057258400              0.057258381                  -6.4772963                   -3.6990569
   0.0067986403         0.058928491              0.058928472                  -6.4772963                   -3.6990569
   0.0069986003         0.060594847              0.060594826                  -6.4772963                   -3.6990569
   0.0071985603         0.062257474              0.062257453                  -6.4772963                   -3.6990569
   0.0073985203         0.063916380              0.063916359                  -6.4772963                   -3.6990569
   0.0075984803         0.065571573              0.065571551                  -6.4772963                   -3.6990569
   0.0077984403         0.067223061              0.067223038                  -6.4772963                   -3.6990569
   0.0079984003         0.068870849              0.068870826                  -6.4772964                   -3.6990569
   0.0081983603         0.070514947              0.070514924                  -6.4772964                   -3.6990569
   0.0083983203         0.072155361              0.072155337                  -6.4772964                   -3.6990569
   0.0085982803         0.073792099              0.073792075                  -6.4772964                   -3.6990569
   0.0087982404         0.075425168              0.075425143                  -6.4772964                   -3.6990569
   0.0089982004         0.077054575              0.077054550                  -6.4772964                   -3.6990569
   0.0091981604         0.078680328              0.078680302                  -6.4772964                   -3.6990569
   0.0093981204         0.080302434              0.080302407                  -6.4772964                   -3.6990569
   0.0095980804         0.081920900              0.081920873                  -6.4772964                   -3.6990569
   0.0097980404         0.083535734              0.083535706                  -6.4772964                   -3.6990569
   0.0099980004         0.085146942              0.085146914                  -6.4772964                   -3.6990569
    0.010197960         0.086754533              0.086754504                  -6.4772964                   -3.6990569
    0.010397920         0.088358512              0.088358483                  -6.4772964                   -3.6990569
    0.010597880         0.089958888              0.089958858                  -6.4772964                   -3.6990569
    0.010797840         0.091555668              0.091555638                  -6.4772964                   -3.6990569
    0.010997800         0.093148859              0.093148828                  -6.4772964                   -3.6990569
    0.011197760         0.094738468              0.094738436                  -6.4772964                   -3.6990569
    0.011397720         0.096324501              0.096324469                  -6.4772964                   -3.6990569
    0.011597680         0.097906968              0.097906935                  -6.4772964                   -3.6990569
    0.011797640         0.099485873              0.099485840                  -6.4772964                   -3.6990569
    0.011997600          0.10106123               0.10106119                  -6.4772964                   -3.6990569
    0.012197560          0.10263303               0.10263300                  -6.4772964                   -3.6990569
    0.012397520          0.10420130               0.10420126                  -6.4772964                   -3.6990569
    0.012597481          0.10576603               0.10576600                  -6.4772964                   -3.6990569
    0.012797441          0.10732724               0.10732721                  -6.4772964                   -3.6990569
    0.012997401          0.10888493               0.10888490                  -6.4772964                   -3.6990569
    0.013197361          0.11043911               0.11043908                  -6.4772964                   -3.6990569
    0.013397321          0.11198979               0.11198975                  -6.4772964                   -3.6990569
    0.013597281          0.11353697               0.11353693                  -6.4772964                   -3.6990569
    0.013797241          0.11508066               0.11508062                  -6.4772964                   -3.6990569
    0.013997201          0.11662086               0.11662082                  -6.4772964                   -3.6990569
    0.014197161          0.11815759               0.11815755                  -6.4772964                   -3.6990569
    0.014397121          0.11969085               0.11969081                  -6.4772964                   -3.6990569
    0.014597081          0.12122065               0.12122061                  -6.4772964                   -3.6990569
    0.014797041          0.12274699               0.12274695                  -6.4772964                   -3.6990569
    0.014997001          0.12426989               0.12426985                  -6.4772964                   -3.6990569
    0.015196961          0.12578934               0.12578930                  -6.4772964                   -3.6990569
    0.015396921          0.12730536               0.12730532                  -6.4772964                   -3.6990569
    0.015596881          0.12881795               0.12881791                  -6.4772964                   -3.6990569
    0.015796841          0.13032712               0.13032707                  -6.4772964                   -3.6990569
    0.015996801          0.13183287               0.13183283                  -6.4772964                   -3.6990569
    0.016196761          0.13333522               0.13333518                  -6.4772964                   -3.6990569
    0.016396721          0.13483417               0.13483412                  -6.4772964                   -3.6990569
    0.016596681          0.13632972               0.13632968                  -6.4772964                   -3.6990569
    0.016796641          0.13782189               0.13782184                  -6.4772964                   -3.6990569
    0.016996601          0.13931068               0.13931063                  -6.4772964                   -3.6990569
    0.017196561          0.14079609               0.14079604                  -6.4772964                   -3.6990569
    0.017396521          0.14227813               0.14227809                  -6.4772964                   -3.6990569
    0.017596481          0.14375682               0.14375677                  -6.4772964                   -3.6990569
    0.017796441          0.14523215               0.14523211                  -6.4772964                   -3.6990569
    0.017996401          0.14670414               0.14670409                  -6.4772964                   -3.6990569
    0.018196361          0.14817279               0.14817274                  -6.4772964                   -3.6990569
    0.018396321          0.14963810               0.14963805                  -6.4772964                   -3.6990569
    0.018596281          0.15110009               0.15110004                  -6.4772964                   -3.6990569
    0.018796241          0.15255876               0.15255870                  -6.4772964                   -3.6990569
    0.018996201          0.15401411               0.15401406                  -6.4772964                   -3.6990569
    0.019196161          0.15546616               0.15546610                  -6.4772964                   -3.6990569
    0.019396121          0.15691490               0.15691485                  -6.4772964                   -3.6990569
    0.019596081          0.15836036               0.15836030                  -6.4772964                   -3.6990569
    0.019796041          0.15980252               0.15980247                  -6.4772964                   -3.6990569
    0.019996001          0.16124141               0.16124136                  -6.4772964                   -3.6990569
    0.020195961          0.16267702               0.16267697                  -6.4772965                   -3.6990569
    0.020395921          0.16410937               0.16410931                  -6.4772965                   -3.6990569
    0.020595881          0.16553845               0.16553840                  -6.4772965                   -3.6990569
    0.020795841          0.16696428               0.16696423                  -6.4772965                   -3.6990569
    0.020995801          0.16838687               0.16838681                  -6.4772965                   -3.6990569
    0.021195761          0.16980621               0.16980615                  -6.4772965                   -3.6990569
    0.021395721          0.17122232               0.17122226                  -6.4772965                   -3.6990569
    0.021595681          0.17263520               0.17263514                  -6.4772965                   -3.6990569
    0.021795641          0.17404485               0.17404480                  -6.4772965                   -3.6990569
    0.021995601          0.17545130               0.17545124                  -6.4772965                   -3.6990569
    0.022195561          0.17685453               0.17685447                  -6.4772965                   -3.6990569
    0.022395521          0.17825456               0.17825450                  -6.4772965                   -3.6990569
    0.022595481          0.17965139               0.17965133                  -6.4772965                   -3.6990569
    0.022795441          0.18104504               0.18104498                  -6.4772965                   -3.6990569
    0.022995401          0.18243550               0.18243544                  -6.4772965                   -3.6990569
    0.023195361          0.18382278               0.18382272                  -6.4772965                   -3.6990569
    0.023395321          0.18520690               0.18520683                  -6.4772965                   -3.6990569
    0.023595281          0.18658785               0.18658778                  -6.4772965                   -3.6990569
    0.023795241          0.18796564               0.18796557                  -6.4772965                   -3.6990569
    0.023995201          0.18934028               0.18934021                  -6.4772965                   -3.6990569
    0.024195161          0.19071177               0.19071171                  -6.4772965                   -3.6990569
    0.024395121          0.19208012               0.19208006                  -6.4772965                   -3.6990569
    0.024595081          0.19344535               0.19344528                  -6.4772965                   -3.6990569
    0.024795041          0.19480744               0.19480738                  -6.4772965                   -3.6990569
    0.024995001          0.19616642               0.19616635                  -6.4772965                   -3.6990569
    0.025194961          0.19752228               0.19752221                  -6.4772965                   -3.6990569
    0.025394921          0.19887503               0.19887497                  -6.4772965                   -3.6990569
    0.025594881          0.20022468               0.20022462                  -6.4772965                   -3.6990569
    0.025794841          0.20157124               0.20157117                  -6.4772965                   -3.6990569
    0.025994801          0.20291471               0.20291464                  -6.4772965                   -3.6990569
    0.026194761          0.20425509               0.20425502                  -6.4772965                   -3.6990569
    0.026394721          0.20559240               0.20559233                  -6.4772965                   -3.6990569
    0.026594681          0.20692663               0.20692656                  -6.4772965                   -3.6990569
    0.026794641          0.20825780               0.20825773                  -6.4772965                   -3.6990569
    0.026994601          0.20958591               0.20958584                  -6.4772965                   -3.6990569
    0.027194561          0.21091097               0.21091090                  -6.4772965                   -3.6990569
    0.027394521          0.21223299               0.21223292                  -6.4772965                   -3.6990569
    0.027594481          0.21355196               0.21355189                  -6.4772965                   -3.6990569
    0.027794441          0.21486790               0.21486783                  -6.4772965                   -3.6990569
    0.027994401          0.21618081               0.21618074                  -6.4772965                   -3.6990569
    0.028194361          0.21749070               0.21749063                  -6.4772965                   -3.6990569
    0.028394321          0.21879757               0.21879750                  -6.4772965                   -3.6990569
    0.028594281          0.22010144               0.22010136                  -6.4772965                   -3.6990569
    0.028794241          0.22140229               0.22140222                  -6.4772965                   -3.6990569
    0.028994201          0.22270016               0.22270008                  -6.4772965                   -3.6990569
    0.029194161          0.22399502               0.22399495                  -6.4772965                   -3.6990569
    0.029394121          0.22528691               0.22528683                  -6.4772965                   -3.6990569
    0.029594081          0.22657581               0.22657573                  -6.4772965                   -3.6990569
    0.029794041          0.22786174               0.22786166                  -6.4772965                   -3.6990569
    0.029994001          0.22914470               0.22914462                  -6.4772965                   -3.6990569
    0.030193961          0.23042470               0.23042462                  -6.4772965                   -3.6990569
    0.030393921          0.23170174               0.23170166                  -6.4772965                   -3.6990569
    0.030593881          0.23297583               0.23297575                  -6.4772965                   -3.6990569
    0.030793841          0.23424698               0.23424690                  -6.4772965                   -3.6990569
    0.030993801          0.23551518               0.23551511                  -6.4772965                   -3.6990569
    0.031193761          0.23678046               0.23678038                  -6.4772965                   -3.6990569
    0.031393721          0.23804281               0.23804273                  -6.4772965                   -3.6990569
    0.031593681          0.23930223               0.23930215                  -6.4772965                   -3.6990569
    0.031793641          0.24055875               0.24055867                  -6.4772965                   -3.6990569
    0.031993601          0.24181235               0.24181227                  -6.4772965                   -3.6990569
    0.032193561          0.24306305               0.24306297                  -6.4772965                   -3.6990569
    0.032393521          0.24431085               0.24431077                  -6.4772966                   -3.6990569
    0.032593481          0.24555576               0.24555568                  -6.4772966                   -3.6990569
    0.032793441          0.24679778               0.24679770                  -6.4772966                   -3.6990569
    0.032993401          0.24803692               0.24803684                  -6.4772966                   -3.6990569
    0.033193361          0.24927319               0.24927311                  -6.4772966                   -3.6990569
    0.033393321          0.25050659               0.25050650                  -6.4772966                   -3.6990569
    0.033593281          0.25173712               0.25173704                  -6.4772966                   -3.6990569
    0.033793241          0.25296480               0.25296472                  -6.4772966                   -3.6990569
    0.033993201          0.25418963               0.25418954                  -6.4772966                   -3.6990569
    0.034193161          0.25541161               0.25541152                  -6.4772966                   -3.6990569
    0.034393121          0.25663075               0.25663066                  -6.4772966                   -3.6990569
    0.034593081          0.25784705               0.25784696                  -6.4772966                   -3.6990569
    0.034793041          0.25906053               0.25906044                  -6.4772966                   -3.6990569
    0.034993001          0.26027118               0.26027109                  -6.4772966                   -3.6990569
    0.035192961          0.26147901               0.26147892                  -6.4772966                   -3.6990569
    0.035392921          0.26268403               0.26268395                  -6.4772966                   -3.6990569
    0.035592881          0.26388625               0.26388616                  -6.4772966                   -3.6990569
    0.035792841          0.26508566               0.26508557                  -6.4772966                   -3.6990569
    0.035992801          0.26628228               0.26628219                  -6.4772966                   -3.6990569
    0.036192761          0.26747611               0.26747602                  -6.4772966                   -3.6990569
    0.036392721          0.26866716               0.26866707                  -6.4772966                   -3.6990569
    0.036592681          0.26985542               0.26985533                  -6.4772966                   -3.6990569
    0.036792641          0.27104092               0.27104083                  -6.4772966                   -3.6990569
    0.036992601          0.27222364               0.27222355                  -6.4772966                   -3.6990569
    0.037192561          0.27340360               0.27340351                  -6.4772966                   -3.6990569
    0.037392521          0.27458081               0.27458072                  -6.4772966                   -3.6990569
    0.037592482          0.27575527               0.27575518                  -6.4772966                   -3.6990569
    0.037792442          0.27692698               0.27692689                  -6.4772966                   -3.6990569
    0.037992402          0.27809595               0.27809586                  -6.4772966                   -3.6990569
    0.038192362          0.27926219               0.27926209                  -6.4772966                   -3.6990569
    0.038392322          0.28042569               0.28042560                  -6.4772966                   -3.6990569
    0.038592282          0.28158648               0.28158638                  -6.4772966                   -3.6990569
    0.038792242          0.28274454               0.28274445                  -6.4772966                   -3.6990569
    0.038992202          0.28389989               0.28389980                  -6.4772966                   -3.6990569
    0.039192162          0.28505254               0.28505244                  -6.4772966                   -3.6990569
    0.039392122          0.28620248               0.28620238                  -6.4772966                   -3.6990569
    0.039592082          0.28734973               0.28734963                  -6.4772966                   -3.6990569
    0.039792042          0.28849428               0.28849419                  -6.4772966                   -3.6990569
    0.039992002          0.28963615               0.28963605                  -6.4772966                   -3.6990569
    0.040191962          0.29077534               0.29077524                  -6.4772966                   -3.6990569
    0.040391922          0.29191185               0.29191176                  -6.4772966                   -3.6990569
    0.040591882          0.29304570               0.29304560                  -6.4772966                   -3.6990569
    0.040791842          0.29417688               0.29417678                  -6.4772966                   -3.6990569
    0.040991802          0.29530540               0.29530530                  -6.4772966                   -3.6990569
    0.041191762          0.29643127               0.29643117                  -6.4772966                   -3.6990569
    0.041391722          0.29755448               0.29755438                  -6.4772966                   -3.6990569
    0.041591682          0.29867506               0.29867496                  -6.4772966                   -3.6990569
    0.041791642          0.29979300               0.29979290                  -6.4772966                   -3.6990569
    0.041991602          0.30090830               0.30090820                  -6.4772966                   -3.6990569
    0.042191562          0.30202098               0.30202088                  -6.4772966                   -3.6990569
    0.042391522          0.30313103               0.30313093                  -6.4772966                   -3.6990569
    0.042591482          0.30423847               0.30423837                  -6.4772966                   -3.6990569
    0.042791442          0.30534330               0.30534320                  -6.4772966                   -3.6990569
    0.042991402          0.30644552               0.30644542                  -6.4772966                   -3.6990569
    0.043191362          0.30754514               0.30754504                  -6.4772966                   -3.6990569
    0.043391322          0.30864216               0.30864206                  -6.4772966                   -3.6990569
    0.043591282          0.30973660               0.30973649                  -6.4772966                   -3.6990569
    0.043791242          0.31082844               0.31082834                  -6.4772966                   -3.6990569
    0.043991202          0.31191771               0.31191760                  -6.4772966                   -3.6990569
    0.044191162          0.31300440               0.31300429                  -6.4772966                   -3.6990569
    0.044391122          0.31408852               0.31408841                  -6.4772966                   -3.6990569
    0.044591082          0.31517008               0.31516997                  -6.4772966                   -3.6990569
    0.044791042          0.31624907               0.31624897                  -6.4772966                   -3.6990569
    0.044991002          0.31732551               0.31732541                  -6.4772966                   -3.6990569
    0.045190962          0.31839940               0.31839930                  -6.4772966                   -3.6990569
    0.045390922          0.31947075               0.31947064                  -6.4772966                   -3.6990569
    0.045590882          0.32053956               0.32053945                  -6.4772966                   -3.6990569
    0.045790842          0.32160583               0.32160572                  -6.4772966                   -3.6990569
    0.045990802          0.32266957               0.32266946                  -6.4772966                   -3.6990569
    0.046190762          0.32373079               0.32373068                  -6.4772966                   -3.6990569
    0.046390722          0.32478949               0.32478938                  -6.4772966                   -3.6990569
    0.046590682          0.32584567               0.32584557                  -6.4772966                   -3.6990569
    0.046790642          0.32689935               0.32689924                  -6.4772966                   -3.6990569
    0.046990602          0.32795052               0.32795041                  -6.4772966                   -3.6990569
    0.047190562          0.32899919               0.32899908                  -6.4772966                   -3.6990569
    0.047390522          0.33004537               0.33004526                  -6.4772966                   -3.6990569
    0.047590482          0.33108906               0.33108895                  -6.4772966                   -3.6990569
    0.047790442          0.33213027               0.33213016                  -6.4772966                   -3.6990569
    0.047990402          0.33316899               0.33316888                  -6.4772966                   -3.6990569
    0.048190362          0.33420524               0.33420513                  -6.4772966                   -3.6990569
    0.048390322          0.33523902               0.33523891                  -6.4772966                   -3.6990569
    0.048590282          0.33627034               0.33627023                  -6.4772966                   -3.6990569
    0.048790242          0.33729920               0.33729908                  -6.4772966                   -3.6990569
    0.048990202          0.33832560               0.33832549                  -6.4772966                   -3.6990569
    0.049190162          0.33934955               0.33934944                  -6.4772966                   -3.6990569
    0.049390122          0.34037106               0.34037095                  -6.4772966                   -3.6990569
    0.049590082          0.34139013               0.34139001                  -6.4772966                   -3.6990569
    0.049790042          0.34240676               0.34240665                  -6.4772966                   -3.6990569
    0.049990002          0.34342096               0.34342085                  -6.4772966                   -3.6990569
    0.050189962          0.34443274               0.34443263                  -6.4772966                   -3.6990569
    0.050389922          0.34544210               0.34544198                  -6.4772966                   -3.6990569
    0.050589882          0.34644904               0.34644892                  -6.4772966                   -3.6990569
    0.050789842          0.34745357               0.34745345                  -6.4772966                   -3.6990569
    0.050989802          0.34845569               0.34845558                  -6.4772966                   -3.6990569
    0.051189762          0.34945542               0.34945530                  -6.4772966                   -3.6990569
    0.051389722          0.35045274               0.35045262                  -6.4772966                   -3.6990569
    0.051589682          0.35144768               0.35144756                  -6.4772966                   -3.6990569
    0.051789642          0.35244022               0.35244011                  -6.4772966                   -3.6990569
    0.051989602          0.35343039               0.35343027                  -6.4772966                   -3.6990569
    0.052189562          0.35441818               0.35441806                  -6.4772966                   -3.6990569
    0.052389522          0.35540359               0.35540347                  -6.4772966                   -3.6990569
    0.052589482          0.35638664               0.35638652                  -6.4772967                   -3.6990569
    0.052789442          0.35736732               0.35736721                  -6.4772967                   -3.6990569
    0.052989402          0.35834565               0.35834553                  -6.4772967                   -3.6990569
    0.053189362          0.35932162               0.35932150                  -6.4772967                   -3.6990569
    0.053389322          0.36029525               0.36029513                  -6.4772967                   -3.6990569
    0.053589282          0.36126653               0.36126641                  -6.4772967                   -3.6990569
    0.053789242          0.36223546               0.36223534                  -6.4772967                   -3.6990569
    0.053989202          0.36320207               0.36320195                  -6.4772967                   -3.6990569
    0.054189162          0.36416634               0.36416622                  -6.4772967                   -3.6990569
    0.054389122          0.36512829               0.36512817                  -6.4772967                   -3.6990569
    0.054589082          0.36608792               0.36608780                  -6.4772967                   -3.6990569
    0.054789042          0.36704523               0.36704511                  -6.4772967                   -3.6990569
    0.054989002          0.36800023               0.36800011                  -6.4772967                   -3.6990569
    0.055188962          0.36895292               0.36895280                  -6.4772967                   -3.6990569
    0.055388922          0.36990331               0.36990319                  -6.4772967                   -3.6990569
    0.055588882          0.37085140               0.37085128                  -6.4772967                   -3.6990569
    0.055788842          0.37179720               0.37179708                  -6.4772967                   -3.6990569
    0.055988802          0.37274071               0.37274059                  -6.4772967                   -3.6990569
    0.056188762          0.37368193               0.37368181                  -6.4772967                   -3.6990569
    0.056388722          0.37462088               0.37462076                  -6.4772967                   -3.6990569
    0.056588682          0.37555755               0.37555743                  -6.4772967                   -3.6990569
    0.056788642          0.37649195               0.37649183                  -6.4772967                   -3.6990569
    0.056988602          0.37742409               0.37742396                  -6.4772967                   -3.6990569
    0.057188562          0.37835396               0.37835383                  -6.4772967                   -3.6990569
    0.057388522          0.37928157               0.37928145                  -6.4772967                   -3.6990569
    0.057588482          0.38020694               0.38020681                  -6.4772967                   -3.6990569
    0.057788442          0.38113005               0.38112993                  -6.4772967                   -3.6990569
    0.057988402          0.38205092               0.38205080                  -6.4772967                   -3.6990569
    0.058188362          0.38296956               0.38296943                  -6.4772967                   -3.6990569
    0.058388322          0.38388596               0.38388583                  -6.4772967                   -3.6990569
    0.058588282          0.38480012               0.38480000                  -6.4772967                   -3.6990569
    0.058788242          0.38571207               0.38571194                  -6.4772967                   -3.6990569
    0.058988202          0.38662179               0.38662166                  -6.4772967                   -3.6990569
    0.059188162          0.38752929               0.38752917                  -6.4772967                   -3.6990569
    0.059388122          0.38843459               0.38843446                  -6.4772967                   -3.6990569
    0.059588082          0.38933767               0.38933754                  -6.4772967                   -3.6990569
    0.059788042          0.39023855               0.39023842                  -6.4772967                   -3.6990569
