#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.00498753         0.000444370         0.000734320         0.000967355         0.000444368         0.000444368         0.000967355
0.00997506          0.00178558          0.00294923          0.00388326          0.00178558          0.00178558          0.00388325
0.0149626          0.00403470          0.00665868          0.00876029          0.00403470          0.00403470          0.00876029
0.0199501          0.00720129           0.0118712           0.0156001          0.00720128          0.00720128           0.0156001
0.0249377           0.0112934           0.0185899           0.0243931           0.0112934           0.0112934           0.0243932
0.0299252           0.0163177           0.0268123           0.0351190           0.0163177           0.0163177           0.0351190
0.0349127           0.0222790           0.0365306           0.0477462           0.0222790           0.0222790           0.0477462
0.0399002           0.0291809           0.0477314           0.0622322           0.0291809           0.0291809           0.0622322
0.0448878           0.0370251           0.0603957           0.0785241           0.0370251           0.0370251           0.0785241
0.0498753           0.0458121           0.0744993           0.0965583           0.0458121           0.0458121           0.0965583
0.0548628           0.0555404           0.0900123            0.116261           0.0555405           0.0555405            0.116261
0.0598504           0.0662073            0.106900            0.137549           0.0662073           0.0662073            0.137549
0.0648379           0.0778083            0.125122            0.160329           0.0778083           0.0778083            0.160329
0.0698254           0.0903372            0.144632            0.184500           0.0903372           0.0903372            0.184500
0.0748130            0.103786            0.165382            0.209951            0.103787            0.103787            0.209951
0.0798005            0.118147            0.187316            0.236564            0.118147            0.118147            0.236564
0.0847880            0.133408            0.210374            0.264216            0.133408            0.133408            0.264216
0.0897756            0.149557            0.234493            0.292773            0.149557            0.149557            0.292773
0.0947631            0.166581            0.259604            0.322099            0.166581            0.166581            0.322099
0.0997506            0.184464            0.285636            0.352052            0.184464            0.184464            0.352052
0.104738            0.203189            0.312514            0.382485            0.203189            0.203189            0.382485
0.109726            0.222739            0.340157            0.413247            0.222739            0.222739            0.413247
0.114713            0.243093            0.368485            0.444187            0.243093            0.243093            0.444187
0.119701            0.264231            0.397411            0.475149            0.264231            0.264231            0.475149
0.124688            0.286131            0.426849            0.505978            0.286131            0.286131            0.505978
0.129676            0.308769            0.456709            0.536519            0.308769            0.308769            0.536519
0.134663            0.332120            0.486900            0.566616            0.332120            0.332120            0.566616
0.139651            0.356159            0.517327            0.596117            0.356159            0.356159            0.596117
0.144638            0.380857            0.547897            0.624870            0.380857            0.380857            0.624870
0.149626            0.406188            0.578513            0.652728            0.406188            0.406188            0.652728
0.154613            0.432122            0.609081            0.679547            0.432122            0.432122            0.679547
0.159601            0.458628            0.639504            0.705189            0.458628            0.458628            0.705189
0.164589            0.485675            0.669686            0.729522            0.485675            0.485675            0.729522
0.169576            0.513231            0.699531            0.752417            0.513231            0.513231            0.752417
0.174564            0.541264            0.728944            0.773757            0.541264            0.541264            0.773757
0.179551            0.569739            0.757831            0.793429            0.569739            0.569739            0.793429
0.184539            0.598622            0.786100            0.811330            0.598622            0.598622            0.811330
0.189526            0.627879            0.813662            0.827366            0.627879            0.627879            0.827366
0.194514            0.657473            0.840426            0.841453            0.657473            0.657473            0.841453
0.199501            0.687368            0.866308            0.853515            0.687368            0.687368            0.853515
0.204489            0.717529            0.891223            0.863488            0.717529            0.717529            0.863488
0.209476            0.747917            0.915093            0.871319            0.747917            0.747917            0.871319
0.214464            0.778496            0.937839            0.876964            0.778496            0.778496            0.876964
