#Rho             Ground(Ar)             1st(Ar)             2nd(Ar)          Ground(Ja)             1st(Ja)             2nd(Ja)
0.00998004         0.000224762         0.000337117         0.000421445         0.000224763         0.000337116         0.000421444
0.0199601         0.000898780          0.00134753          0.00168393         0.000898781          0.00134753          0.00168393
0.0299401          0.00202125          0.00302842          0.00378193          0.00202125          0.00302842          0.00378193
0.0399202          0.00359083          0.00537510          0.00670625          0.00359082          0.00537509          0.00670625
0.0499002          0.00560564          0.00838102           0.0104441          0.00560564          0.00838103           0.0104441
0.0598802          0.00806328           0.0120378           0.0149791          0.00806327           0.0120378           0.0149791
0.0698603           0.0109608           0.0163353           0.0202913           0.0109608           0.0163353           0.0202913
0.0798403           0.0142948           0.0212615           0.0263576           0.0142948           0.0212615           0.0263576
0.0898204           0.0180612           0.0268027           0.0331513           0.0180612           0.0268027           0.0331513
0.0998004           0.0222557           0.0329434           0.0406428           0.0222557           0.0329434           0.0406428
0.109780           0.0268731           0.0396667           0.0487992           0.0268731           0.0396667           0.0487992
0.119760           0.0319080           0.0469537           0.0575849           0.0319080           0.0469537           0.0575849
0.129741           0.0373545           0.0547842           0.0669614           0.0373545           0.0547842           0.0669614
0.139721           0.0432060           0.0631365           0.0768878           0.0432060           0.0631365           0.0768878
0.149701           0.0494557           0.0719873           0.0873206           0.0494557           0.0719873           0.0873206
0.159681           0.0560961           0.0813121           0.0982144           0.0560961           0.0813121           0.0982144
0.169661           0.0631194           0.0910851            0.109521           0.0631194           0.0910851            0.109521
0.179641           0.0705174            0.101279            0.121193           0.0705174            0.101279            0.121193
0.189621           0.0782812            0.111866            0.133177           0.0782813            0.111866            0.133177
0.199601           0.0864019            0.122816            0.145422           0.0864019            0.122816            0.145422
0.209581           0.0948699            0.134100            0.157874           0.0948699            0.134100            0.157874
0.219561            0.103675            0.145685            0.170480            0.103675            0.145685            0.170480
0.229541            0.112808            0.157541            0.183184            0.112808            0.157541            0.183184
0.239521            0.122257            0.169634            0.195931            0.122257            0.169634            0.195931
0.249501            0.132011            0.181931            0.208666            0.132011            0.181931            0.208666
0.259481            0.142060            0.194399            0.221334            0.142060            0.194399            0.221334
0.269461            0.152391            0.207002            0.233879            0.152391            0.207002            0.233879
0.279441            0.162993            0.219707            0.246247            0.162993            0.219707            0.246247
0.289421            0.173853            0.232479            0.258384            0.173853            0.232479            0.258384
0.299401            0.184960            0.245282            0.270239            0.184960            0.245282            0.270239
0.309381            0.196300            0.258082            0.281760            0.196300            0.258082            0.281760
0.319361            0.207860            0.270844            0.292896            0.207860            0.270844            0.292896
0.329341            0.219628            0.283533            0.303601            0.219628            0.283533            0.303601
0.339321            0.231589            0.296115            0.313828            0.231589            0.296115            0.313828
0.349301            0.243732            0.308555            0.323533            0.243732            0.308555            0.323533
0.359281            0.256041            0.320819            0.332675            0.256041            0.320819            0.332675
0.369261            0.268504            0.332876            0.341214            0.268504            0.332875            0.341214
0.379242            0.281106            0.344691            0.349114            0.281106            0.344691            0.349114
0.389222            0.293833            0.356234            0.356341            0.293833            0.356234            0.356341
0.399202            0.306672            0.367473            0.362865            0.306672            0.367473            0.362865
0.409182            0.319608            0.378378            0.368657            0.319608            0.378378            0.368657
0.419162            0.332628            0.388920            0.373695            0.332628            0.388920            0.373695
0.429142            0.345717            0.399072            0.377955            0.345717            0.399072            0.377955
0.439122            0.358860            0.408806            0.381421            0.358860            0.408806            0.381421
0.449102            0.372045            0.418096            0.384079            0.372045            0.418096            0.384079
0.459082            0.385256            0.426918            0.385917            0.385256            0.426918            0.385917
0.469062            0.398480            0.435250            0.386929            0.398480            0.435250            0.386929
0.479042            0.411703            0.443068            0.387111            0.411703            0.443068            0.387111
0.489022            0.424910            0.450354            0.386462            0.424910            0.450354            0.386462
0.499002            0.438089            0.457087            0.384987            0.438089            0.457087            0.384987
0.508982            0.451226            0.463252            0.382692            0.451226            0.463252            0.382692
0.518962            0.464306            0.468832            0.379587            0.464306            0.468832            0.379587
