#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.00100000            0.999980          0.00627996             0.00000             1.00000
0.00200000            0.999921           0.0125597             0.00000             1.00000
0.00300000            0.999822           0.0188389             0.00000             1.00000
0.00400000            0.999684           0.0251174             0.00000             1.00000
0.00500000            0.999507           0.0313948             0.00000            0.999999
0.00600000            0.999289           0.0376711             0.00000            0.999999
0.00700000            0.999033           0.0439458             0.00000            0.999999
0.00800000            0.998737           0.0502188             0.00000            0.999999
0.00900000            0.998402           0.0564899             0.00000            0.999998
0.0100000            0.998027           0.0627587             0.00000            0.999998
0.0110000            0.997613           0.0690250             0.00000            0.999998
0.0120000            0.997159           0.0752886             0.00000            0.999997
0.0130000            0.996666           0.0815492             0.00000            0.999997
0.0140000            0.996134           0.0878067             0.00000            0.999996
0.0150000            0.995562           0.0940606             0.00000            0.999996
0.0160000            0.994951            0.100311             0.00000            0.999995
0.0170000            0.994301            0.106557             0.00000            0.999994
0.0180000            0.993611            0.112799             0.00000            0.999994
0.0190000            0.992883            0.119037             0.00000            0.999993
0.0200000            0.992115            0.125270             0.00000            0.999992
0.0210000            0.991308            0.131498             0.00000            0.999991
0.0220000            0.990461            0.137720             0.00000            0.999990
0.0230000            0.989576            0.143938             0.00000            0.999989
0.0240000            0.988652            0.150149             0.00000            0.999988
0.0250000            0.987688            0.156355             0.00000            0.999988
0.0260000            0.986686            0.162555             0.00000            0.999987
0.0270000            0.985644            0.168748             0.00000            0.999985
0.0280000            0.984564            0.174934             0.00000            0.999984
0.0290000            0.983445            0.181114             0.00000            0.999983
0.0300000            0.982287            0.187286             0.00000            0.999982
0.0310000            0.981090            0.193451             0.00000            0.999981
0.0320000            0.979855            0.199609             0.00000            0.999980
0.0330000            0.978581            0.205758             0.00000            0.999978
0.0340000            0.977268            0.211900             0.00000            0.999977
0.0350000            0.975916            0.218033             0.00000            0.999976
0.0360000            0.974527            0.224157             0.00000            0.999974
0.0370000            0.973098            0.230273             0.00000            0.999973
0.0380000            0.971631            0.236379             0.00000            0.999971
0.0390000            0.970126            0.242476             0.00000            0.999970
0.0400000            0.968583            0.248564             0.00000            0.999968
0.0410000            0.967001            0.254641             0.00000            0.999967
0.0420000            0.965381            0.260709             0.00000            0.999965
0.0430000            0.963723            0.266767             0.00000            0.999963
0.0440000            0.962027            0.272813             0.00000            0.999962
0.0450000            0.960293            0.278850             0.00000            0.999960
0.0460000            0.958521            0.284875             0.00000            0.999958
0.0470000            0.956711            0.290888             0.00000            0.999956
0.0480000            0.954864            0.296891             0.00000            0.999954
0.0490000            0.952978            0.302881             0.00000            0.999952
0.0500000            0.951055            0.308860             0.00000            0.999950
0.0510000            0.949095            0.314827             0.00000            0.999948
0.0520000            0.947097            0.320781             0.00000            0.999946
0.0530000            0.945062            0.326722             0.00000            0.999944
0.0540000            0.942989            0.332650             0.00000            0.999942
0.0550000            0.940879            0.338566             0.00000            0.999940
0.0560000            0.938732            0.344468             0.00000            0.999938
0.0570000            0.936548            0.350356             0.00000            0.999936
0.0580000            0.934327            0.356231             0.00000            0.999933
0.0590000            0.932069            0.362091             0.00000            0.999931
0.0600000            0.929774            0.367937             0.00000            0.999929
0.0610000            0.927443            0.373769             0.00000            0.999926
0.0620000            0.925074            0.379586             0.00000            0.999924
0.0630000            0.922670            0.385388             0.00000            0.999922
0.0640000            0.920229            0.391174             0.00000            0.999919
0.0650000            0.917751            0.396946             0.00000            0.999917
0.0660000            0.915238            0.402701             0.00000            0.999914
0.0670000            0.912688            0.408441             0.00000            0.999911
0.0680000            0.910102            0.414164             0.00000            0.999909
0.0690000            0.907480            0.419872             0.00000            0.999906
0.0700000            0.904823            0.425562             0.00000            0.999904
0.0710000            0.902129            0.431236             0.00000            0.999901
0.0720000            0.899400            0.436893             0.00000            0.999898
0.0730000            0.896636            0.442532             0.00000            0.999895
0.0740000            0.893836            0.448154             0.00000            0.999892
0.0750000            0.891001            0.453759             0.00000            0.999890
0.0760000            0.888130            0.459345             0.00000            0.999887
0.0770000            0.885225            0.464913             0.00000            0.999884
0.0780000            0.882284            0.470463             0.00000            0.999881
0.0790000            0.879309            0.475995             0.00000            0.999878
0.0800000            0.876299            0.481507             0.00000            0.999875
0.0810000            0.873255            0.487001             0.00000            0.999872
0.0820000            0.870175            0.492475             0.00000            0.999868
0.0830000            0.867062            0.497930             0.00000            0.999865
0.0840000            0.863914            0.503365             0.00000            0.999862
0.0850000            0.860732            0.508780             0.00000            0.999859
0.0860000            0.857517            0.514175             0.00000            0.999856
0.0870000            0.854267            0.519550             0.00000            0.999852
0.0880000            0.850984            0.524905             0.00000            0.999849
0.0890000            0.847667            0.530238             0.00000            0.999846
0.0900000            0.844316            0.535551             0.00000            0.999842
0.0910000            0.840932            0.540842             0.00000            0.999839
0.0920000            0.837515            0.546113             0.00000            0.999835
