#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         5.92246E-05        -0.000118569        -5.93448E-05        3.557506E-10
0.002000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.004000000        5.922468E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.006000000        5.922473E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.008000000        5.922480E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.01000000        5.922488E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.01200000        5.922499E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.01400000        5.922511E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.01600000        5.922525E-05       -0.0001185701       -5.934483E-05        3.557506E-10
0.01800000        5.922541E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.02000000        5.922559E-05       -0.0001185704       -5.934483E-05        3.557506E-10
0.02200000        5.922579E-05       -0.0001185706       -5.934483E-05        3.557506E-10
0.02400000        5.922601E-05       -0.0001185708       -5.934483E-05        3.557506E-10
0.02600000        5.922625E-05       -0.0001185711       -5.934483E-05        3.557506E-10
0.02800000        5.922650E-05       -0.0001185713       -5.934483E-05        3.557506E-10
0.03000000        5.922677E-05       -0.0001185716       -5.934483E-05        3.557506E-10
0.03200000        5.922707E-05       -0.0001185719       -5.934483E-05        3.557506E-10
0.03400000        5.922738E-05       -0.0001185722       -5.934483E-05        3.557506E-10
0.03600000        5.922771E-05       -0.0001185725       -5.934483E-05        3.557506E-10
0.03800000        5.922805E-05       -0.0001185729       -5.934483E-05        3.557506E-10
0.04000000        5.922842E-05       -0.0001185733       -5.934483E-05        3.557506E-10
0.04200000        5.922881E-05       -0.0001185736       -5.934483E-05        3.557506E-10
0.04400000        5.922921E-05       -0.0001185740       -5.934483E-05        3.557506E-10
0.04600000        5.922963E-05       -0.0001185745       -5.934483E-05        3.557506E-10
0.04800000        5.923007E-05       -0.0001185749       -5.934483E-05        3.557506E-10
0.05000000        5.923053E-05       -0.0001185754       -5.934483E-05        3.557506E-10
0.05200000        5.923100E-05       -0.0001185758       -5.934483E-05        3.557506E-10
0.05400000        5.923150E-05       -0.0001185763       -5.934483E-05        3.557506E-10
0.05600000        5.923201E-05       -0.0001185768       -5.934483E-05        3.557506E-10
