#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         5.92246E-05        -0.000118569        -5.93448E-05        3.557506E-10
0.001000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.002000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.003000000        5.922467E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.004000000        5.922468E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.005000000        5.922470E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.006000000        5.922473E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.007000000        5.922476E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.008000000        5.922480E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.009000000        5.922484E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.01000000        5.922488E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.01100000        5.922493E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.01200000        5.922499E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.01300000        5.922505E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.01400000        5.922511E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.01500000        5.922518E-05       -0.0001185700       -5.934483E-05        3.557506E-10
0.01600000        5.922525E-05       -0.0001185701       -5.934483E-05        3.557506E-10
0.01700000        5.922533E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.01800000        5.922541E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.01900000        5.922550E-05       -0.0001185703       -5.934483E-05        3.557506E-10
0.02000000        5.922559E-05       -0.0001185704       -5.934483E-05        3.557506E-10
0.02100000        5.922569E-05       -0.0001185705       -5.934483E-05        3.557506E-10
0.02200000        5.922579E-05       -0.0001185706       -5.934483E-05        3.557506E-10
0.02300000        5.922590E-05       -0.0001185707       -5.934483E-05        3.557506E-10
0.02400000        5.922601E-05       -0.0001185708       -5.934483E-05        3.557506E-10
0.02500000        5.922613E-05       -0.0001185710       -5.934483E-05        3.557506E-10
0.02600000        5.922625E-05       -0.0001185711       -5.934483E-05        3.557506E-10
0.02700000        5.922637E-05       -0.0001185712       -5.934483E-05        3.557506E-10
0.02800000        5.922650E-05       -0.0001185713       -5.934483E-05        3.557506E-10
0.02900000        5.922664E-05       -0.0001185715       -5.934483E-05        3.557506E-10
0.03000000        5.922677E-05       -0.0001185716       -5.934483E-05        3.557506E-10
0.03100000        5.922692E-05       -0.0001185718       -5.934483E-05        3.557506E-10
0.03200000        5.922707E-05       -0.0001185719       -5.934483E-05        3.557506E-10
0.03300000        5.922722E-05       -0.0001185721       -5.934483E-05        3.557506E-10
0.03400000        5.922738E-05       -0.0001185722       -5.934483E-05        3.557506E-10
0.03500000        5.922754E-05       -0.0001185724       -5.934483E-05        3.557506E-10
0.03600000        5.922771E-05       -0.0001185725       -5.934483E-05        3.557506E-10
0.03700000        5.922788E-05       -0.0001185727       -5.934483E-05        3.557506E-10
0.03800000        5.922805E-05       -0.0001185729       -5.934483E-05        3.557506E-10
0.03900000        5.922824E-05       -0.0001185731       -5.934483E-05        3.557506E-10
0.04000000        5.922842E-05       -0.0001185733       -5.934483E-05        3.557506E-10
0.04100000        5.922861E-05       -0.0001185734       -5.934483E-05        3.557506E-10
0.04200000        5.922881E-05       -0.0001185736       -5.934483E-05        3.557506E-10
0.04300000        5.922901E-05       -0.0001185738       -5.934483E-05        3.557506E-10
0.04400000        5.922921E-05       -0.0001185740       -5.934483E-05        3.557506E-10
0.04500000        5.922942E-05       -0.0001185743       -5.934483E-05        3.557506E-10
0.04600000        5.922963E-05       -0.0001185745       -5.934483E-05        3.557506E-10
0.04700000        5.922985E-05       -0.0001185747       -5.934483E-05        3.557506E-10
0.04800000        5.923007E-05       -0.0001185749       -5.934483E-05        3.557506E-10
0.04900000        5.923030E-05       -0.0001185751       -5.934483E-05        3.557506E-10
0.05000000        5.923053E-05       -0.0001185754       -5.934483E-05        3.557506E-10
0.05100000        5.923076E-05       -0.0001185756       -5.934483E-05        3.557506E-10
0.05200000        5.923100E-05       -0.0001185758       -5.934483E-05        3.557506E-10
0.05300000        5.923125E-05       -0.0001185761       -5.934483E-05        3.557506E-10
0.05400000        5.923150E-05       -0.0001185763       -5.934483E-05        3.557506E-10
0.05500000        5.923175E-05       -0.0001185766       -5.934483E-05        3.557506E-10
0.05600000        5.923201E-05       -0.0001185768       -5.934483E-05        3.557506E-10
0.05700000        5.923227E-05       -0.0001185771       -5.934483E-05        3.557506E-10
