#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         5.92246E-05        -0.000118569        -5.93448E-05        3.557506E-10
0.01000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.02000000        5.922467E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.03000000        5.922470E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.04000000        5.922474E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.05000000        5.922480E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.06000000        5.922487E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.07000000        5.922495E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.08000000        5.922504E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.09000000        5.922514E-05       -0.0001185700       -5.934483E-05        3.557506E-10
0.1000000        5.922525E-05       -0.0001185701       -5.934483E-05        3.557506E-10
0.1100000        5.922537E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.1200000        5.922550E-05       -0.0001185703       -5.934483E-05        3.557506E-10
0.1300000        5.922564E-05       -0.0001185705       -5.934484E-05        3.557506E-10
0.1400000        5.922579E-05       -0.0001185706       -5.934484E-05        3.557506E-10
0.1500000        5.922595E-05       -0.0001185708       -5.934484E-05        3.557506E-10
0.1600000        5.922611E-05       -0.0001185709       -5.934484E-05        3.557506E-10
0.1700000        5.922628E-05       -0.0001185711       -5.934484E-05        3.557506E-10
0.1800000        5.922646E-05       -0.0001185713       -5.934484E-05        3.557506E-10
0.1900000        5.922664E-05       -0.0001185715       -5.934484E-05        3.557506E-10
0.2000000        5.922683E-05       -0.0001185717       -5.934484E-05        3.557506E-10
0.2100000        5.922702E-05       -0.0001185719       -5.934484E-05        3.557506E-10
0.2200000        5.922722E-05       -0.0001185721       -5.934484E-05        3.557506E-10
0.2300000        5.922741E-05       -0.0001185722       -5.934484E-05        3.557506E-10
0.2400000        5.922761E-05       -0.0001185724       -5.934484E-05        3.557506E-10
0.2500000        5.922781E-05       -0.0001185726       -5.934484E-05        3.557506E-10
0.2600000        5.922801E-05       -0.0001185728       -5.934484E-05        3.557506E-10
0.2700000        5.922820E-05       -0.0001185730       -5.934484E-05        3.557506E-10
0.2800000        5.922840E-05       -0.0001185732       -5.934484E-05        3.557506E-10
0.2900000        5.922859E-05       -0.0001185734       -5.934484E-05        3.557506E-10
0.3000000        5.922878E-05       -0.0001185736       -5.934484E-05        3.557506E-10
0.3100000        5.922897E-05       -0.0001185738       -5.934484E-05        3.557506E-10
