#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         5.92246E-05        -0.000118569        -5.93448E-05        3.557506E-10
0.001000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.002000000        5.922465E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.003000000        5.922467E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.004000000        5.922468E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.005000000        5.922470E-05       -0.0001185695       -5.934483E-05        3.557506E-10
0.006000000        5.922473E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.007000000        5.922476E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.008000000        5.922480E-05       -0.0001185696       -5.934483E-05        3.557506E-10
0.009000000        5.922484E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.01000000        5.922488E-05       -0.0001185697       -5.934483E-05        3.557506E-10
0.01100000        5.922493E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.01200000        5.922498E-05       -0.0001185698       -5.934483E-05        3.557506E-10
0.01300000        5.922504E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.01400000        5.922511E-05       -0.0001185699       -5.934483E-05        3.557506E-10
0.01500000        5.922517E-05       -0.0001185700       -5.934483E-05        3.557506E-10
0.01600000        5.922525E-05       -0.0001185701       -5.934483E-05        3.557506E-10
0.01700000        5.922532E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.01800000        5.922541E-05       -0.0001185702       -5.934483E-05        3.557506E-10
0.01900000        5.922549E-05       -0.0001185703       -5.934483E-05        3.557506E-10
0.02000000        5.922558E-05       -0.0001185704       -5.934483E-05        3.557506E-10
0.02100000        5.922568E-05       -0.0001185705       -5.934483E-05        3.557506E-10
0.02200000        5.922578E-05       -0.0001185706       -5.934483E-05        3.557506E-10
0.02300000        5.922589E-05       -0.0001185707       -5.934483E-05        3.557506E-10
0.02400000        5.922600E-05       -0.0001185708       -5.934483E-05        3.557506E-10
0.02500000        5.922611E-05       -0.0001185709       -5.934483E-05        3.557506E-10
0.02600000        5.922623E-05       -0.0001185711       -5.934483E-05        3.557506E-10
0.02700000        5.922635E-05       -0.0001185712       -5.934483E-05        3.557506E-10
0.02800000        5.922648E-05       -0.0001185713       -5.934483E-05        3.557506E-10
0.02900000        5.922662E-05       -0.0001185714       -5.934483E-05        3.557506E-10
0.03000000        5.922675E-05       -0.0001185716       -5.934483E-05        3.557506E-10
0.03100000        5.922690E-05       -0.0001185717       -5.934483E-05        3.557506E-10
0.03200000        5.922704E-05       -0.0001185719       -5.934483E-05        3.557506E-10
0.03300000        5.922719E-05       -0.0001185720       -5.934483E-05        3.557506E-10
0.03400000        5.922735E-05       -0.0001185722       -5.934483E-05        3.557506E-10
0.03500000        5.922751E-05       -0.0001185723       -5.934483E-05        3.557506E-10
0.03600000        5.922768E-05       -0.0001185725       -5.934483E-05        3.557506E-10
0.03700000        5.922785E-05       -0.0001185727       -5.934483E-05        3.557506E-10
0.03800000        5.922802E-05       -0.0001185729       -5.934483E-05        3.557506E-10
0.03900000        5.922820E-05       -0.0001185730       -5.934483E-05        3.557506E-10
0.04000000        5.922838E-05       -0.0001185732       -5.934483E-05        3.557506E-10
0.04100000        5.922857E-05       -0.0001185734       -5.934483E-05        3.557506E-10
0.04200000        5.922877E-05       -0.0001185736       -5.934483E-05        3.557506E-10
0.04300000        5.922896E-05       -0.0001185738       -5.934483E-05        3.557506E-10
0.04400000        5.922916E-05       -0.0001185740       -5.934483E-05        3.557506E-10
0.04500000        5.922937E-05       -0.0001185742       -5.934483E-05        3.557506E-10
0.04600000        5.922958E-05       -0.0001185744       -5.934483E-05        3.557506E-10
0.04700000        5.922980E-05       -0.0001185746       -5.934483E-05        3.557506E-10
0.04800000        5.923002E-05       -0.0001185749       -5.934483E-05        3.557506E-10
0.04900000        5.923024E-05       -0.0001185751       -5.934483E-05        3.557506E-10
0.05000000        5.923047E-05       -0.0001185753       -5.934483E-05        3.557506E-10
0.05100000        5.923070E-05       -0.0001185755       -5.934483E-05        3.557506E-10
0.05200000        5.923094E-05       -0.0001185758       -5.934483E-05        3.557506E-10
0.05300000        5.923118E-05       -0.0001185760       -5.934483E-05        3.557506E-10
0.05400000        5.923143E-05       -0.0001185763       -5.934483E-05        3.557506E-10
0.05500000        5.923168E-05       -0.0001185765       -5.934483E-05        3.557506E-10
0.05600000        5.923194E-05       -0.0001185768       -5.934483E-05        3.557506E-10
0.05700000        5.923220E-05       -0.0001185770       -5.934483E-05        3.557506E-10
