#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0200000            0.992104            0.125600             0.00000             1.00002
0.0400000            0.968543            0.249217             0.00000             1.00009
0.0600000            0.929691            0.368899             0.00000             1.00021
0.0800000            0.876168            0.482760             0.00000             1.00036
0.100000            0.808823            0.589005             0.00000             1.00056
0.120000            0.728728            0.685965             0.00000             1.00080
0.140000            0.637152            0.772118             0.00000             1.00106
0.160000            0.535547            0.846118             0.00000             1.00136
0.180000            0.425519            0.906810             0.00000             1.00168
0.200000            0.308806            0.953255             0.00000             1.00203
0.220000            0.187246            0.984738             0.00000             1.00238
0.240000           0.0627496             1.00078             0.00000             1.00275
0.260000          -0.0627293             1.00115             0.00000             1.00311
0.280000           -0.187227            0.985855             0.00000             1.00348
0.300000           -0.308798            0.955154             0.00000             1.00383
0.320000           -0.425549            0.909542             0.00000             1.00417
0.340000           -0.535664            0.849746             0.00000             1.00449
0.360000           -0.637432            0.776710             0.00000             1.00479
0.380000           -0.729277            0.691583             0.00000             1.00505
0.400000           -0.809780            0.595698             0.00000             1.00529
0.420000           -0.877695            0.490555             0.00000             1.00548
0.440000           -0.931976            0.377791             0.00000             1.00564
0.460000           -0.971785            0.259161             0.00000             1.00575
0.480000           -0.996511            0.136508             0.00000             1.00582
0.500000            -1.00577           0.0117371             0.00000             1.00584
0.520000           -0.999424           -0.113216             0.00000             1.00582
0.540000           -0.977568           -0.236413             0.00000             1.00575
0.560000           -0.940537           -0.355939             0.00000             1.00564
0.580000           -0.888902           -0.469939             0.00000             1.00548
0.600000           -0.823458           -0.576639             0.00000             1.00528
0.620000           -0.745215           -0.674375             0.00000             1.00505
0.640000           -0.655380           -0.761622             0.00000             1.00478
0.660000           -0.555343           -0.837013             0.00000             1.00449
0.680000           -0.446654           -0.899363             0.00000             1.00417
0.700000           -0.330999           -0.947687             0.00000             1.00383
0.720000           -0.210176           -0.981215             0.00000             1.00347
0.740000          -0.0860689           -0.999410             0.00000             1.00311
0.760000           0.0393849            -1.00197             0.00000             1.00274
0.780000            0.164222           -0.988834             0.00000             1.00238
0.800000            0.286484           -0.960196             0.00000             1.00202
0.820000            0.404249           -0.916487             0.00000             1.00168
0.840000            0.515663           -0.858377             0.00000             1.00136
0.860000            0.618967           -0.786768             0.00000             1.00106
0.880000            0.712528           -0.702774             0.00000             1.00079
0.900000            0.794863           -0.607709             0.00000             1.00056
0.920000            0.864668           -0.503063             0.00000             1.00036
0.940000            0.920833           -0.390482             0.00000             1.00021
0.960000            0.962466           -0.271738             0.00000             1.00009
0.980000            0.988905           -0.148705             0.00000             1.00002
1.00000            0.999728          -0.0233230             0.00000             1.00000
1.02000            0.994764            0.102427             0.00000             1.00002
1.04000            0.974093            0.226560             0.00000             1.00009
1.06000            0.938044            0.347116             0.00000             1.00021
1.08000            0.887191            0.462194             0.00000             1.00036
1.10000            0.822343            0.569981             0.00000             1.00056
1.12000            0.744531            0.668782             0.00000             1.00080
1.14000            0.654990            0.757048             0.00000             1.00107
1.16000            0.555140            0.833398             0.00000             1.00136
1.18000            0.446558            0.896640             0.00000             1.00169
1.20000            0.330960            0.945795             0.00000             1.00203
1.22000            0.210168            0.980105             0.00000             1.00239
1.24000           0.0860803            0.999048             0.00000             1.00275
1.26000          -0.0393554             1.00234             0.00000             1.00312
1.28000           -0.164175            0.989958             0.00000             1.00348
1.30000           -0.286430            0.962102             0.00000             1.00383
1.32000           -0.404213            0.919227             0.00000             1.00417
1.34000           -0.515692            0.862016             0.00000             1.00449
1.36000           -0.619136            0.791374             0.00000             1.00479
1.38000           -0.712943            0.708413             0.00000             1.00506
1.40000           -0.795660            0.614434             0.00000             1.00529
1.42000           -0.866010            0.510904             0.00000             1.00548
1.44000           -0.922907            0.399437             0.00000             1.00564
1.46000           -0.965474            0.281768             0.00000             1.00575
1.48000           -0.993054            0.159726             0.00000             1.00582
1.50000            -1.00522           0.0352050             0.00000             1.00584
1.52000            -1.00179          -0.0898625             0.00000             1.00582
1.54000           -0.982818           -0.213535             0.00000             1.00575
1.56000           -0.948586           -0.333894             0.00000             1.00563
1.58000           -0.899625           -0.449068             0.00000             1.00548
1.60000           -0.836688           -0.557265             0.00000             1.00528
1.62000           -0.760747           -0.656801             0.00000             1.00505
1.64000           -0.672972           -0.746120             0.00000             1.00478
1.66000           -0.574721           -0.823825             0.00000             1.00449
1.68000           -0.467515           -0.888694             0.00000             1.00416
1.70000           -0.353019           -0.939703             0.00000             1.00382
1.72000           -0.233011           -0.976042             0.00000             1.00347
1.74000           -0.109361           -0.997127             0.00000             1.00311
1.76000           0.0159989            -1.00261             0.00000             1.00274
1.78000            0.141109           -0.992393             0.00000             1.00238
1.80000            0.264006           -0.966615             0.00000             1.00202
1.82000            0.382759           -0.925664             0.00000             1.00168
1.84000            0.495499           -0.870170             0.00000             1.00136
1.86000            0.600446           -0.800989             0.00000             1.00106
1.88000            0.695940           -0.719201             0.00000             1.00079
1.90000            0.780471           -0.626082             0.00000             1.00056
1.92000            0.852698           -0.523093             0.00000             1.00036
1.94000            0.911474           -0.411852             0.00000             1.00020
1.96000            0.955866           -0.294112             0.00000             1.00009
1.98000            0.985167           -0.171728             0.00000             1.00002
2.00000            0.998912          -0.0466332             0.00000             1.00000
2.02000            0.996883           0.0791983             0.00000             1.00002
2.04000            0.979113            0.203779             0.00000             1.00009
2.06000            0.945886            0.325143             0.00000             1.00021
2.08000            0.897731            0.441376             0.00000             1.00037
2.10000            0.835415            0.550646             0.00000             1.00056
2.12000            0.759930            0.651236             0.00000             1.00080
2.14000            0.672472            0.741566             0.00000             1.00107
2.16000            0.574430            0.820224             0.00000             1.00137
2.18000            0.467354            0.885982             0.00000             1.00169
2.20000            0.352934            0.937820             0.00000             1.00203
2.22000            0.232976            0.974938             0.00000             1.00239
2.24000            0.109364            0.996771             0.00000             1.00275
2.26000          -0.0159600             1.00299             0.00000             1.00312
2.28000           -0.141035            0.993522             0.00000             1.00348
2.30000           -0.263905            0.968526             0.00000             1.00384
2.32000           -0.382656            0.928411             0.00000             1.00418
2.34000           -0.495439            0.873816             0.00000             1.00450
2.36000           -0.600503            0.805607             0.00000             1.00479
2.38000           -0.696220            0.724858             0.00000             1.00506
2.40000           -0.781107            0.632834             0.00000             1.00529
2.42000           -0.853853            0.530974             0.00000             1.00548
2.44000           -0.913335            0.420866             0.00000             1.00564
2.46000           -0.958636            0.304222             0.00000             1.00575
2.48000           -0.989057            0.182857             0.00000             1.00582
2.50000            -1.00413           0.0586536             0.00000             1.00584
2.52000            -1.00362          -0.0664598             0.00000             1.00582
2.54000           -0.987532           -0.190542             0.00000             1.00575
2.56000           -0.956118           -0.311666             0.00000             1.00563
2.58000           -0.909857           -0.427951             0.00000             1.00548
2.60000           -0.849463           -0.537588             0.00000             1.00528
2.62000           -0.775864           -0.638869             0.00000             1.00505
2.64000           -0.690197           -0.730212             0.00000             1.00478
2.66000           -0.593785           -0.810188             0.00000             1.00448
2.68000           -0.488122           -0.877541             0.00000             1.00416
2.70000           -0.374846           -0.931207             0.00000             1.00382
2.72000           -0.255719           -0.970336             0.00000             1.00347
