#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.00100000            0.999980          0.00628000             0.00000             1.00000
0.00200000            0.999921           0.0125598             0.00000             1.00000
0.00300000            0.999822           0.0188390             0.00000             1.00000
0.00400000            0.999684           0.0251175             0.00000             1.00000
0.00500000            0.999507           0.0313950             0.00000             1.00000
0.00600000            0.999289           0.0376713             0.00000            0.999999
0.00700000            0.999033           0.0439461             0.00000            0.999999
0.00800000            0.998737           0.0502192             0.00000            0.999999
0.00900000            0.998402           0.0564903             0.00000            0.999998
0.0100000            0.998027           0.0627591             0.00000            0.999998
0.0110000            0.997612           0.0690255             0.00000            0.999998
0.0120000            0.997159           0.0752891             0.00000            0.999997
0.0130000            0.996666           0.0815498             0.00000            0.999997
0.0140000            0.996134           0.0878072             0.00000            0.999996
0.0150000            0.995562           0.0940612             0.00000            0.999996
0.0160000            0.994951            0.100311             0.00000            0.999995
0.0170000            0.994301            0.106558             0.00000            0.999994
0.0180000            0.993611            0.112800             0.00000            0.999994
0.0190000            0.992883            0.119038             0.00000            0.999993
0.0200000            0.992115            0.125271             0.00000            0.999992
0.0210000            0.991308            0.131499             0.00000            0.999991
0.0220000            0.990461            0.137721             0.00000            0.999990
0.0230000            0.989576            0.143939             0.00000            0.999990
0.0240000            0.988652            0.150150             0.00000            0.999989
0.0250000            0.987688            0.156356             0.00000            0.999988
0.0260000            0.986686            0.162556             0.00000            0.999987
0.0270000            0.985644            0.168749             0.00000            0.999986
0.0280000            0.984564            0.174935             0.00000            0.999985
0.0290000            0.983445            0.181115             0.00000            0.999983
0.0300000            0.982287            0.187288             0.00000            0.999982
0.0310000            0.981090            0.193453             0.00000            0.999981
0.0320000            0.979855            0.199610             0.00000            0.999980
0.0330000            0.978581            0.205760             0.00000            0.999978
0.0340000            0.977268            0.211901             0.00000            0.999977
0.0350000            0.975916            0.218034             0.00000            0.999976
0.0360000            0.974526            0.224158             0.00000            0.999974
0.0370000            0.973098            0.230274             0.00000            0.999973
0.0380000            0.971631            0.236381             0.00000            0.999972
0.0390000            0.970126            0.242478             0.00000            0.999970
0.0400000            0.968583            0.248565             0.00000            0.999968
0.0410000            0.967001            0.254643             0.00000            0.999967
0.0420000            0.965381            0.260711             0.00000            0.999965
0.0430000            0.963723            0.266768             0.00000            0.999964
0.0440000            0.962027            0.272815             0.00000            0.999962
0.0450000            0.960293            0.278851             0.00000            0.999960
0.0460000            0.958521            0.284876             0.00000            0.999958
0.0470000            0.956711            0.290890             0.00000            0.999957
0.0480000            0.954863            0.296893             0.00000            0.999955
0.0490000            0.952978            0.302883             0.00000            0.999953
0.0500000            0.951055            0.308862             0.00000            0.999951
0.0510000            0.949095            0.314829             0.00000            0.999949
0.0520000            0.947097            0.320783             0.00000            0.999947
0.0530000            0.945061            0.326724             0.00000            0.999945
