#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94222E-05        -0.000117898        -5.84760E-05        3.610031E-10         0.003936531        -0.007578954        -0.003642424        0.0001856658
0.05000000        5.869534E-05       -0.0001171730       -5.847762E-05        3.609914E-10         0.003931421        -0.007573799        -0.003642378        0.0001856680
0.1000000        5.796179E-05       -0.0001164409       -5.847913E-05        3.609818E-10         0.003926137        -0.007568424        -0.003642287        0.0001856724
0.1500000        5.728912E-05       -0.0001157696       -5.848051E-05        3.609741E-10         0.003920633        -0.007562836        -0.003642203        0.0001856766
0.2000000        5.673493E-05       -0.0001152167       -5.848175E-05        3.609683E-10         0.003914905        -0.007557041        -0.003642136        0.0001856799
0.2500000        5.634367E-05       -0.0001148266       -5.848290E-05        3.609642E-10         0.003908950        -0.007551043        -0.003642093        0.0001856821
0.3000000        5.614510E-05       -0.0001146291       -5.848396E-05        3.609618E-10         0.003902769        -0.007544849        -0.003642080        0.0001856828
0.3500000        5.615380E-05       -0.0001146388       -5.848497E-05        3.609609E-10         0.003896368        -0.007538464        -0.003642097        0.0001856820
0.4000000        5.636905E-05       -0.0001148550       -5.848594E-05        3.609614E-10         0.003889756        -0.007531895        -0.003642140        0.0001856800
0.4500000        5.677487E-05       -0.0001152618       -5.848689E-05        3.609630E-10         0.003882947        -0.007525148        -0.003642201        0.0001856771
0.5000000        5.734004E-05       -0.0001158279       -5.848785E-05        3.609652E-10         0.003875958        -0.007518230        -0.003642272        0.0001856737
0.5500000        5.801873E-05       -0.0001165076       -5.848886E-05        3.609670E-10         0.003868807        -0.007511147        -0.003642339        0.0001856705
0.6000000        5.875210E-05       -0.0001172421       -5.848996E-05        3.609670E-10         0.003861513        -0.007503906        -0.003642393        0.0001856679
0.6500000        5.947190E-05       -0.0001179631       -5.849120E-05        3.609633E-10         0.003854094        -0.007496515        -0.003642422        0.0001856665
0.7000000        6.010633E-05       -0.0001185990       -5.849263E-05        3.609546E-10         0.003846565        -0.007488982        -0.003642417        0.0001856668
