#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94173E-05        -0.000118074        -5.86565E-05        3.609689E-10          0.03936247         -0.07579116         -0.03642869          0.01856445
0.05000000        5.868996E-05       -0.0001173483       -5.865833E-05        3.609360E-10          0.03931137         -0.07573961         -0.03642824          0.01856467
0.1000000        5.796186E-05       -0.0001166217       -5.865987E-05        3.609180E-10          0.03925853         -0.07568587         -0.03642734          0.01856511
0.1500000        5.730001E-05       -0.0001159611       -5.866108E-05        3.609146E-10          0.03920350         -0.07563001         -0.03642650          0.01856552
0.2000000        5.676089E-05       -0.0001154228       -5.866196E-05        3.609255E-10          0.03914624         -0.07557207         -0.03642583          0.01856585
0.2500000        5.638734E-05       -0.0001150499       -5.866255E-05        3.609509E-10          0.03908671         -0.07551212         -0.03642541          0.01856607
0.3000000        5.620719E-05       -0.0001148700       -5.866285E-05        3.609910E-10          0.03902493         -0.07545021         -0.03642528          0.01856614
0.3500000        5.623274E-05       -0.0001148956       -5.866288E-05        3.610460E-10          0.03896096         -0.07538640         -0.03642544          0.01856606
0.4000000        5.646061E-05       -0.0001151233       -5.866267E-05        3.611153E-10          0.03889488         -0.07532075         -0.03642587          0.01856586
0.4500000        5.687163E-05       -0.0001155339       -5.866224E-05        3.611972E-10          0.03882684         -0.07525333         -0.03642648          0.01856557
0.5000000        5.743091E-05       -0.0001160926       -5.866170E-05        3.612871E-10          0.03875701         -0.07518419         -0.03642718          0.01856524
0.5500000        5.808854E-05       -0.0001167497       -5.866118E-05        3.613761E-10          0.03868557         -0.07511342         -0.03642785          0.01856492
0.6000000        5.878189E-05       -0.0001174428       -5.866091E-05        3.614503E-10          0.03861269         -0.07504108         -0.03642838          0.01856466
0.6500000        5.944062E-05       -0.0001181018       -5.866116E-05        3.614931E-10          0.03853857         -0.07496724         -0.03642866          0.01856453
0.7000000        5.999491E-05       -0.0001186571       -5.866217E-05        3.614916E-10          0.03846336         -0.07489197         -0.03642861          0.01856456
0.7500000        6.038557E-05       -0.0001190495       -5.866396E-05        3.614441E-10          0.03838720         -0.07481536         -0.03642816          0.01856478
0.8000000        6.057269E-05       -0.0001192391       -5.866638E-05        3.613614E-10          0.03831020         -0.07473749         -0.03642729          0.01856522
0.8500000        6.054060E-05       -0.0001192098       -5.866915E-05        3.612604E-10          0.03823241         -0.07465843         -0.03642602          0.01856585
0.9000000        6.029874E-05       -0.0001189707       -5.867201E-05        3.611566E-10          0.03815383         -0.07457826         -0.03642443          0.01856664
0.9500000        5.987912E-05       -0.0001185539       -5.867475E-05        3.610602E-10          0.03807439         -0.07449706         -0.03642267          0.01856752
1.000000        5.933104E-05       -0.0001180083       -5.867726E-05        3.609766E-10          0.03799396         -0.07441490         -0.03642094          0.01856838
1.050000        5.871403E-05       -0.0001173935       -5.867950E-05        3.609079E-10          0.03791239         -0.07433185         -0.03641946          0.01856912
1.100000        5.809052E-05       -0.0001167720       -5.868144E-05        3.608543E-10          0.03782956         -0.07424798         -0.03641842          0.01856965
1.150000        5.751929E-05       -0.0001162024       -5.868310E-05        3.608156E-10          0.03774541         -0.07416336         -0.03641795          0.01856989
1.200000        5.705076E-05       -0.0001157353       -5.868450E-05        3.607909E-10          0.03765995         -0.07407804         -0.03641809          0.01856983
1.250000        5.672392E-05       -0.0001154096       -5.868563E-05        3.607800E-10          0.03757332         -0.07399212         -0.03641880          0.01856949
1.300000        5.656467E-05       -0.0001152512       -5.868652E-05        3.607826E-10          0.03748569         -0.07390564         -0.03641995          0.01856892
1.350000        5.658512E-05       -0.0001152723       -5.868717E-05        3.607988E-10          0.03739732         -0.07381869         -0.03642137          0.01856821
