#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94173E-05        -0.000137301        -7.78833E-05        3.609689E-10            3.936247           -7.579116           -3.642869            185.6445
0.05000000        5.844953E-05       -0.0001363592       -7.790962E-05        3.586070E-10            3.931081           -7.573960           -3.642879            185.6440
0.1000000        5.806228E-05       -0.0001359762       -7.791392E-05        3.576749E-10            3.925744           -7.568584           -3.642840            185.6459
0.1500000        5.830234E-05       -0.0001361988       -7.789650E-05        3.581422E-10            3.920197           -7.562995           -3.642798            185.6480
0.2000000        5.914195E-05       -0.0001369991       -7.785712E-05        3.600202E-10            3.914441           -7.557198           -3.642756            185.6501
0.2500000        6.047531E-05       -0.0001382704       -7.779504E-05        3.633588E-10            3.908478           -7.551199           -3.642721            185.6518
0.3000000        6.210857E-05       -0.0001398179       -7.770928E-05        3.682320E-10            3.902308           -7.545004           -3.642696            185.6531
0.3500000        6.375236E-05       -0.0001413514       -7.759902E-05        3.747040E-10            3.895935           -7.538621           -3.642686            185.6537
0.4000000        6.503306E-05       -0.0001424977       -7.746468E-05        3.827573E-10            3.889362           -7.532054           -3.642691            185.6535
0.4500000        6.553984E-05       -0.0001428494       -7.730958E-05        3.921636E-10            3.882597           -7.525310           -3.642712            185.6526
0.5000000        6.491026E-05       -0.0001420527       -7.714243E-05        4.022997E-10            3.875650           -7.518396           -3.642746            185.6511
0.5500000        6.292971E-05       -0.0001399091       -7.697935E-05        4.119864E-10            3.868531           -7.511318           -3.642788            185.6491
0.6000000        5.960158E-05       -0.0001364447       -7.684313E-05        4.195383E-10            3.861252           -7.504084           -3.642832            185.6470
0.6500000        5.515489E-05       -0.0001319125       -7.675760E-05        4.231925E-10            3.853828           -7.496700           -3.642871            185.6451
0.7000000        4.998292E-05       -0.0001267221       -7.673916E-05        4.217789E-10            3.846273           -7.489173           -3.642900            185.6438
0.7500000        4.453614E-05       -0.0001213273       -7.679121E-05        4.151664E-10            3.838600           -7.481511           -3.642911            185.6432
0.8000000        3.921736E-05       -0.0001161225       -7.690516E-05        4.041683E-10            3.830822           -7.473722           -3.642900            185.6438
0.8500000        3.432271E-05       -0.0001113886       -7.706587E-05        3.900796E-10            3.822949           -7.465814           -3.642865            185.6456
0.9000000        3.003610E-05       -0.0001072932       -7.725709E-05        3.742187E-10            3.814990           -7.457794           -3.642804            185.6486
0.9500000        2.645590E-05       -0.0001039206       -7.746470E-05        3.576726E-10            3.806952           -7.449670           -3.642718            185.6529
1.000000        2.363021E-05       -0.0001013080       -7.767777E-05        3.412296E-10            3.798842           -7.441449           -3.642608            185.6584
1.050000        2.158793E-05       -9.947627E-05       -7.788835E-05        3.254139E-10            3.790667           -7.433140           -3.642472            185.6652
1.100000        2.036342E-05       -9.845430E-05       -7.809088E-05        3.105506E-10            3.782435           -7.424748           -3.642313            185.6733
1.150000        2.001772E-05       -9.829924E-05       -7.828152E-05        2.968298E-10            3.774154           -7.416283           -3.642129            185.6826
1.200000        2.066156E-05       -9.911908E-05       -7.845752E-05        2.843554E-10            3.765831           -7.407751           -3.641920            185.6931
1.250000        2.248832E-05       -0.0001011052       -7.861688E-05        2.731815E-10            3.757475           -7.399158           -3.641684            185.7051
1.300000        2.583110E-05       -0.0001045890       -7.875794E-05        2.633371E-10            3.749093           -7.390514           -3.641421            185.7184
1.350000        3.127437E-05       -0.0001101535       -7.887913E-05        2.548445E-10            3.740694           -7.381823           -3.641129            185.7332
1.400000        3.989507E-05       -0.0001188737       -7.897862E-05        2.477338E-10            3.732280           -7.373093           -3.640813            185.7492
1.450000        5.384204E-05       -0.0001328956       -7.905352E-05        2.420585E-10            3.723844           -7.364332           -3.640488            185.7658
1.500000        7.789240E-05       -0.0001569900       -7.909764E-05        2.379152E-10            3.715327           -7.355545           -3.640218            185.7796
1.550000        0.0001236351       -0.0002027527       -7.911764E-05        2.354569E-10            3.706468           -7.346738           -3.640270            185.7771
1.600000        0.0002043955       -0.0002843884       -7.999283E-05        2.342760E-10            3.696236           -7.337916           -3.641679            185.7058
1.650000        0.0001916995       -0.0002843253       -9.262577E-05        2.238195E-10            3.684991           -7.329080           -3.644089            185.5829
1.700000        0.0001159637       -0.0002124412       -9.647747E-05        2.213877E-10            3.676219           -7.320241           -3.644022            185.5865
1.750000        7.408753E-05       -0.0001707093       -9.662174E-05        2.231587E-10            3.668110           -7.311414           -3.643304            185.6235
1.800000        5.121786E-05       -0.0001478340       -9.661619E-05        2.226841E-10            3.660069           -7.302605           -3.642536            185.6631
1.850000        3.739934E-05       -0.0001340417       -9.664233E-05        2.192624E-10            3.651943           -7.293818           -3.641875            185.6971
1.900000        2.848377E-05       -0.0001251967       -9.671292E-05        2.132205E-10            3.643726           -7.285060           -3.641334            185.7250
1.950000        2.267600E-05       -0.0001194958       -9.681976E-05        2.053054E-10            3.635438           -7.276334           -3.640896            185.7476
2.000000        1.918516E-05       -0.0001161355       -9.695034E-05        1.963462E-10            3.627101           -7.267648           -3.640547            185.7657
2.050000        1.773092E-05       -0.0001148234       -9.709247E-05        1.870739E-10            3.618728           -7.259005           -3.640277            185.7797
2.100000        1.838908E-05       -0.0001156247       -9.723565E-05        1.780600E-10            3.610324           -7.250412           -3.640089            185.7896
2.150000        2.163043E-05       -0.0001190017       -9.737127E-05        1.697224E-10            3.601882           -7.241874           -3.639992            185.7947
2.200000        2.859920E-05       -0.0001260913       -9.749207E-05        1.623601E-10            3.593377           -7.233397           -3.640020            185.7935
2.250000        4.199834E-05       -0.0001395885       -9.759014E-05        1.561952E-10            3.584745           -7.224985           -3.640240            185.7822
2.300000        6.930564E-05       -0.0001669494       -9.764375E-05        1.514219E-10            3.575826           -7.216644           -3.640818            185.7523
2.350000        0.0001396208       -0.0002370646       -9.744386E-05        1.482440E-10            3.566181           -7.208382           -3.642201            185.6805
2.400000        0.0003343228       -0.0004642899       -0.0001299672        1.420876E-10            3.555498           -7.200205           -3.644708            185.5503
2.450000        0.0001348822       -0.0002312186       -9.633644E-05        1.108703E-10            3.548270           -7.192121           -3.643851            185.5949
2.500000        6.363389E-05       -0.0001607370       -9.710315E-05        1.137495E-10            3.543234           -7.184125           -3.640891            185.7498
2.550000        3.776247E-05       -0.0001347704       -9.700791E-05        1.179997E-10            3.537402           -7.176222           -3.638820            185.8586
2.600000        2.492682E-05       -0.0001217866       -9.685977E-05        1.230322E-10            3.531048           -7.168416           -3.637368            185.9352
2.650000        1.775360E-05       -0.0001144501       -9.669646E-05        1.285492E-10            3.524426           -7.160711           -3.636285            185.9925
2.700000        1.360531E-05       -0.0001101346       -9.652932E-05        1.342349E-10            3.517669           -7.153110           -3.635441            186.0374
2.750000        1.130960E-05       -0.0001076766       -9.636702E-05        1.397458E-10            3.510847           -7.145618           -3.634771            186.0731
2.800000        1.028757E-05       -0.0001065051       -9.621750E-05        1.447263E-10            3.503993           -7.138239           -3.634246            186.1013
2.850000        1.025751E-05       -0.0001063453       -9.608780E-05        1.488380E-10            3.497117           -7.130976           -3.633858            186.1223
2.900000        1.112632E-05       -0.0001071099       -9.598360E-05        1.517983E-10            3.490209           -7.123832           -3.633623            186.1351
2.950000        1.296324E-05       -0.0001088719       -9.590867E-05        1.534195E-10            3.483239           -7.116813           -3.633574            186.1381
3.000000        1.603252E-05       -0.0001118969       -9.586442E-05        1.536415E-10            3.476155           -7.109922           -3.633767            186.1283
3.050000        2.090813E-05       -0.0001167577       -9.584956E-05        1.525480E-10            3.468879           -7.103164           -3.634285            186.1010
3.100000        2.877396E-05       -0.0001246338       -9.585981E-05        1.503654E-10            3.461288           -7.096543           -3.635256            186.0496
3.150000        4.228174E-05       -0.0001381683       -9.588659E-05        1.474433E-10            3.453194           -7.090068           -3.636874            185.9635
3.200000        6.862465E-05       -0.0001645288       -9.590412E-05        1.442311E-10            3.444319           -7.083746           -3.639428            185.8274
3.250000        0.0001359944       -0.0002316536       -9.565920E-05        1.412542E-10            3.434630           -7.077597           -3.642967            185.6397
3.300000        0.0003447475       -0.0004786032       -0.0001338557        1.345675E-10            3.431971           -7.071664           -3.639693            185.8264
3.350000        0.0001554883       -0.0002219617       -6.647339E-05        1.152533E-10            3.425806           -7.065869           -3.640063            185.7945
3.400000        7.906568E-05       -0.0001463636       -6.729797E-05        1.176163E-10            3.434989           -7.060131           -3.625142            186.5984
3.450000        5.058065E-05       -0.0001178114       -6.723079E-05        1.215764E-10            3.437262           -7.054498           -3.617236            187.0267
3.500000        3.551275E-05       -0.0001026189       -6.710610E-05        1.266900E-10            3.436168           -7.048994           -3.612826            187.2666
3.550000        2.622340E-05       -9.318142E-05       -6.695802E-05        1.328294E-10            3.433465           -7.043626           -3.610161            187.4122
3.600000        2.000543E-05       -8.679837E-05       -6.679294E-05        1.399143E-10            3.429905           -7.038399           -3.608494            187.5039
3.650000        1.564673E-05       -8.226064E-05       -6.661391E-05        1.478880E-10            3.425856           -7.033317           -3.607461            187.5612
3.700000        1.252153E-05       -7.894460E-05       -6.642307E-05        1.567090E-10            3.421522           -7.028384           -3.606862            187.5949
3.750000        1.027469E-05       -7.649677E-05       -6.622208E-05        1.663461E-10            3.417020           -7.023601           -3.606581            187.6113
3.800000        8.691211E-06       -7.470353E-05       -6.601232E-05        1.767761E-10            3.412429           -7.018972           -3.606543            187.6144
3.850000        7.635349E-06       -7.343025E-05       -6.579490E-05        1.879814E-10            3.407800           -7.014499           -3.606699            187.6070
3.900000        7.019602E-06       -7.259038E-05       -6.557078E-05        1.999494E-10            3.403169           -7.010184           -3.607016            187.5907
3.950000        6.787844E-06       -7.212857E-05       -6.534073E-05        2.126707E-10            3.398562           -7.006031           -3.607469            187.5669
4.000000        6.905788E-06       -7.201122E-05       -6.510543E-05        2.261379E-10            3.394000           -7.002041           -3.608041            187.5364
4.050000        7.355496E-06       -7.222099E-05       -6.486549E-05        2.403439E-10            3.389496           -6.998217           -3.608720            187.5001
4.100000        8.132342E-06       -7.275380E-05       -6.462146E-05        2.552797E-10            3.385063           -6.994561           -3.609498            187.4584
4.150000        9.243552E-06       -7.361749E-05       -6.437393E-05        2.709313E-10            3.380707           -6.991075           -3.610368            187.4114
4.200000        1.070795E-05       -7.483151E-05       -6.412356E-05        2.872754E-10            3.376433           -6.987762           -3.611329            187.3594
4.250000        1.255670E-05       -7.642783E-05       -6.387113E-05        3.042725E-10            3.372242           -6.984625           -3.612383            187.3022
4.300000        1.483502E-05       -7.845274E-05       -6.361772E-05        3.218582E-10            3.368130           -6.981666           -3.613536            187.2394
4.350000        1.760496E-05       -8.096975E-05       -6.336479E-05        3.399288E-10            3.364089           -6.978887           -3.614798            187.1706
4.400000        2.094943E-05       -8.406383E-05       -6.311440E-05        3.583224E-10            3.360103           -6.976292           -3.616189            187.0945
4.450000        2.497744E-05       -8.784693E-05       -6.286949E-05        3.767909E-10            3.356150           -6.973884           -3.617734            187.0099
4.500000        2.983036E-05       -9.246458E-05       -6.263423E-05        3.949635E-10            3.352197           -6.971668           -3.619470            186.9146
