#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94222E-05        -0.000117898        -5.84760E-05        3.610031E-10         0.003936531        -0.007578954        -0.003642424        0.0001856658
0.05000000        5.860336E-05       -0.0001170574       -5.845405E-05        3.610008E-10         0.003931394        -0.007573816        -0.003642422        0.0001856658
0.1000000        5.753516E-05       -0.0001159621       -5.842690E-05        3.610000E-10         0.003926036        -0.007568456        -0.003642421        0.0001856658
0.1500000        5.633762E-05       -0.0001147360       -5.839834E-05        3.610006E-10         0.003920461        -0.007562881        -0.003642420        0.0001856658
0.2000000        5.513178E-05       -0.0001135033       -5.837147E-05        3.610026E-10         0.003914676        -0.007557095        -0.003642419        0.0001856658
0.2500000        5.402574E-05       -0.0001123741       -5.834839E-05        3.610060E-10         0.003908687        -0.007551105        -0.003642418        0.0001856658
0.3000000        5.310709E-05       -0.0001114374       -5.833028E-05        3.610108E-10         0.003902500        -0.007544917        -0.003642417        0.0001856658
0.3500000        5.244058E-05       -0.0001107583       -5.831768E-05        3.610172E-10         0.003896122        -0.007538538        -0.003642417        0.0001856658
0.4000000        5.206876E-05       -0.0001103795       -5.831079E-05        3.610249E-10         0.003889558        -0.007531975        -0.003642416        0.0001856658
0.4500000        5.201371E-05       -0.0001103233       -5.830964E-05        3.610340E-10         0.003882817        -0.007525233        -0.003642416        0.0001856657
0.5000000        5.227839E-05       -0.0001105926       -5.831423E-05        3.610441E-10         0.003875903        -0.007518320        -0.003642416        0.0001856657
0.5500000        5.284679E-05       -0.0001111714       -5.832456E-05        3.610544E-10         0.003868825        -0.007511242        -0.003642416        0.0001856657
0.6000000        5.368300E-05       -0.0001120235       -5.834053E-05        3.610638E-10         0.003861590        -0.007504006        -0.003642416        0.0001856657
0.6500000        5.472954E-05       -0.0001130913       -5.836173E-05        3.610709E-10         0.003854204        -0.007496620        -0.003642416        0.0001856657
0.7000000        5.590633E-05       -0.0001142936       -5.838724E-05        3.610742E-10         0.003846675        -0.007489089        -0.003642415        0.0001856657
0.7500000        5.711199E-05       -0.0001155273       -5.841529E-05        3.610731E-10         0.003839009        -0.007481422        -0.003642413        0.0001856657
0.8000000        5.822960E-05       -0.0001166727       -5.844312E-05        3.610678E-10         0.003831215        -0.007473625        -0.003642410        0.0001856657
0.8500000        5.913835E-05       -0.0001176055       -5.846712E-05        3.610597E-10         0.003823298        -0.007465706        -0.003642407        0.0001856657
0.9000000        5.973082E-05       -0.0001182143       -5.848348E-05        3.610505E-10         0.003815268        -0.007457672        -0.003642404        0.0001856657
0.9500000        5.993242E-05       -0.0001184217       -5.848924E-05        3.610413E-10         0.003807130        -0.007449531        -0.003642401        0.0001856657
1.000000        5.971712E-05       -0.0001182004       -5.848330E-05        3.610331E-10         0.003798893        -0.007441291        -0.003642398        0.0001856658
1.050000        5.911333E-05       -0.0001175802       -5.846684E-05        3.610263E-10         0.003790564        -0.007432958        -0.003642395        0.0001856658
1.100000        5.819757E-05       -0.0001166404       -5.844284E-05        3.610209E-10         0.003782149        -0.007424541        -0.003642392        0.0001856658
1.150000        5.707839E-05       -0.0001154935       -5.841512E-05        3.610170E-10         0.003773657        -0.007416047        -0.003642390        0.0001856658
1.200000        5.587677E-05       -0.0001142640       -5.838724E-05        3.610145E-10         0.003765094        -0.007407482        -0.003642388        0.0001856658
1.250000        5.470893E-05       -0.0001130708       -5.836192E-05        3.610133E-10         0.003756468        -0.007398854        -0.003642386        0.0001856658
1.300000        5.367492E-05       -0.0001120158       -5.834086E-05        3.610135E-10         0.003747786        -0.007390171        -0.003642384        0.0001856658
1.350000        5.285323E-05       -0.0001111782       -5.832498E-05        3.610150E-10         0.003739056        -0.007381439        -0.003642383        0.0001856658
1.400000        5.229978E-05       -0.0001106145       -5.831468E-05        3.610178E-10         0.003730284        -0.007372665        -0.003642381        0.0001856658
1.450000        5.204909E-05       -0.0001103591       -5.831006E-05        3.610219E-10         0.003721477        -0.007363858        -0.003642380        0.0001856658
1.500000        5.211595E-05       -0.0001104271       -5.831115E-05        3.610273E-10         0.003712643        -0.007355023        -0.003642380        0.0001856658
1.550000        5.249634E-05       -0.0001108143       -5.831793E-05        3.610342E-10         0.003703788        -0.007346167        -0.003642379        0.0001856657
1.600000        5.316714E-05       -0.0001114975       -5.833038E-05        3.610422E-10         0.003694919        -0.007337298        -0.003642378        0.0001856657
1.650000        5.408480E-05       -0.0001124331       -5.834827E-05        3.610513E-10         0.003686043        -0.007328422        -0.003642378        0.0001856657
1.700000        5.518375E-05       -0.0001135548       -5.837104E-05        3.610608E-10         0.003677167        -0.007319545        -0.003642378        0.0001856657
1.750000        5.637585E-05       -0.0001147733       -5.839749E-05        3.610697E-10         0.003668297        -0.007310675        -0.003642378        0.0001856657
1.800000        5.755311E-05       -0.0001159786       -5.842549E-05        3.610767E-10         0.003659440        -0.007301817        -0.003642377        0.0001856657
1.850000        5.859562E-05       -0.0001170476       -5.845194E-05        3.610803E-10         0.003650601        -0.007292978        -0.003642376        0.0001856657
1.900000        5.938583E-05       -0.0001178589       -5.847309E-05        3.610798E-10         0.003641788        -0.007284163        -0.003642375        0.0001856657
1.950000        5.982735E-05       -0.0001183127       -5.848536E-05        3.610752E-10         0.003633006        -0.007275379        -0.003642372        0.0001856657
2.000000        5.986377E-05       -0.0001183502       -5.848646E-05        3.610678E-10         0.003624262        -0.007266632        -0.003642369        0.0001856657
2.050000        5.949077E-05       -0.0001179669       -5.847617E-05        3.610592E-10         0.003615561        -0.007257928        -0.003642366        0.0001856657
2.100000        5.875706E-05       -0.0001172135       -5.845647E-05        3.610505E-10         0.003606909        -0.007249273        -0.003642364        0.0001856657
2.150000        5.775350E-05       -0.0001161843       -5.843079E-05        3.610426E-10         0.003598312        -0.007240673        -0.003642361        0.0001856657
2.200000        5.659509E-05       -0.0001149980       -5.840287E-05        3.610359E-10         0.003589775        -0.007232134        -0.003642358        0.0001856658
2.250000        5.540186E-05       -0.0001137778       -5.837598E-05        3.610305E-10         0.003581304        -0.007223660        -0.003642356        0.0001856658
2.300000        5.428393E-05       -0.0001126363       -5.835239E-05        3.610265E-10         0.003572905        -0.007215258        -0.003642354        0.0001856658
2.350000        5.333264E-05       -0.0001116661       -5.833349E-05        3.610238E-10         0.003564581        -0.007206933        -0.003642352        0.0001856658
2.400000        5.261716E-05       -0.0001109371       -5.831994E-05        3.610223E-10         0.003556339        -0.007198689        -0.003642350        0.0001856658
