#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94173E-05        -0.000118074        -5.86565E-05        3.609689E-10          0.03936247         -0.07579116         -0.03642869          0.01856445
0.05000000        5.859793E-05       -0.0001172326       -5.863470E-05        3.609461E-10          0.03931110         -0.07573978         -0.03642868          0.01856445
0.1000000        5.753484E-05       -0.0001161425       -5.860764E-05        3.609379E-10          0.03925753         -0.07568619         -0.03642866          0.01856445
0.1500000        5.634733E-05       -0.0001149264       -5.857904E-05        3.609438E-10          0.03920180         -0.07563045         -0.03642865          0.01856445
0.2000000        5.515512E-05       -0.0001137071       -5.855196E-05        3.609637E-10          0.03914397         -0.07557261         -0.03642864          0.01856445
0.2500000        5.406476E-05       -0.0001125932       -5.852846E-05        3.609979E-10          0.03908410         -0.07551274         -0.03642863          0.01856445
0.3000000        5.316219E-05       -0.0001116719       -5.850969E-05        3.610466E-10          0.03902227         -0.07545089         -0.03642863          0.01856445
0.3500000        5.251042E-05       -0.0001110066       -5.849619E-05        3.611099E-10          0.03895852         -0.07538714         -0.03642862          0.01856444
0.4000000        5.215014E-05       -0.0001106383       -5.848813E-05        3.611877E-10          0.03889292         -0.07532155         -0.03642862          0.01856444
0.4500000        5.210124E-05       -0.0001105868       -5.848558E-05        3.612786E-10          0.03882555         -0.07525417         -0.03642862          0.01856444
0.5000000        5.236396E-05       -0.0001108525       -5.848857E-05        3.613790E-10          0.03875647         -0.07518509         -0.03642862          0.01856444
0.5500000        5.291898E-05       -0.0001114162       -5.849718E-05        3.614821E-10          0.03868575         -0.07511437         -0.03642862          0.01856444
0.6000000        5.372663E-05       -0.0001122380       -5.851138E-05        3.615764E-10          0.03861346         -0.07504208         -0.03642862          0.01856444
0.6500000        5.472608E-05       -0.0001132569       -5.853081E-05        3.616472E-10          0.03853966         -0.07496828         -0.03642861          0.01856444
0.7000000        5.583607E-05       -0.0001143906       -5.855450E-05        3.616803E-10          0.03846444         -0.07489305         -0.03642860          0.01856444
0.7500000        5.695853E-05       -0.0001155391       -5.858062E-05        3.616683E-10          0.03838786         -0.07481645         -0.03642858          0.01856444
0.8000000        5.798586E-05       -0.0001165923       -5.860648E-05        3.616152E-10          0.03831000         -0.07473856         -0.03642856          0.01856444
0.8500000        5.881179E-05       -0.0001174406       -5.862879E-05        3.615341E-10          0.03823092         -0.07465945         -0.03642853          0.01856444
0.9000000        5.934518E-05       -0.0001179894       -5.864422E-05        3.614411E-10          0.03815071         -0.07457920         -0.03642850          0.01856444
0.9500000        5.952488E-05       -0.0001181751       -5.865025E-05        3.613491E-10          0.03806943         -0.07449789         -0.03642846          0.01856444
1.000000        5.933170E-05       -0.0001179776       -5.864592E-05        3.612666E-10          0.03798715         -0.07441559         -0.03642843          0.01856444
1.050000        5.879266E-05       -0.0001174249       -5.863222E-05        3.611973E-10          0.03790396         -0.07433236         -0.03642841          0.01856444
1.100000        5.797570E-05       -0.0001165874       -5.861165E-05        3.611428E-10          0.03781992         -0.07424830         -0.03642838          0.01856445
1.150000        5.697645E-05       -0.0001155639       -5.858744E-05        3.611029E-10          0.03773510         -0.07416346         -0.03642836          0.01856445
1.200000        5.590207E-05       -0.0001144647       -5.856267E-05        3.610773E-10          0.03764959         -0.07407792         -0.03642834          0.01856445
1.250000        5.485654E-05       -0.0001133963       -5.853979E-05        3.610652E-10          0.03756345         -0.07399176         -0.03642832          0.01856445
1.300000        5.393047E-05       -0.0001124509       -5.852043E-05        3.610663E-10          0.03747675         -0.07390505         -0.03642830          0.01856445
1.350000        5.319583E-05       -0.0001117014       -5.850552E-05        3.610805E-10          0.03738957         -0.07381785         -0.03642828          0.01856445
1.400000        5.270424E-05       -0.0001111998       -5.849552E-05        3.611078E-10          0.03730197         -0.07373024         -0.03642827          0.01856445
1.450000        5.248748E-05       -0.0001109781       -5.849058E-05        3.611484E-10          0.03721403         -0.07364229         -0.03642826          0.01856444
1.500000        5.255837E-05       -0.0001110491       -5.849076E-05        3.612027E-10          0.03712582         -0.07355407         -0.03642825          0.01856444
1.550000        5.291137E-05       -0.0001114074       -5.849601E-05        3.612705E-10          0.03703741         -0.07346565         -0.03642825          0.01856444
1.600000        5.352230E-05       -0.0001120285       -5.850624E-05        3.613510E-10          0.03694886         -0.07337710         -0.03642824          0.01856444
1.650000        5.434734E-05       -0.0001128685       -5.852116E-05        3.614414E-10          0.03686024         -0.07328848         -0.03642824          0.01856444
1.700000        5.532219E-05       -0.0001138624       -5.854017E-05        3.615362E-10          0.03677161         -0.07319985         -0.03642824          0.01856444
1.750000        5.636272E-05       -0.0001149248       -5.856210E-05        3.616254E-10          0.03668306         -0.07311129         -0.03642824          0.01856444
1.800000        5.736900E-05       -0.0001159540       -5.858502E-05        3.616953E-10          0.03659463         -0.07302286         -0.03642823          0.01856444
1.850000        5.823465E-05       -0.0001168409       -5.860623E-05        3.617315E-10          0.03650639         -0.07293461         -0.03642822          0.01856444
1.900000        5.886131E-05       -0.0001174839       -5.862261E-05        3.617258E-10          0.03641841         -0.07284661         -0.03642820          0.01856444
1.950000        5.917537E-05       -0.0001178068       -5.863144E-05        3.616801E-10          0.03633074         -0.07275892         -0.03642818          0.01856444
2.000000        5.914150E-05       -0.0001177727       -5.863123E-05        3.616060E-10          0.03624345         -0.07267160         -0.03642815          0.01856444
2.050000        5.876864E-05       -0.0001173908       -5.862214E-05        3.615187E-10          0.03615660         -0.07258472         -0.03642812          0.01856444
2.100000        5.810689E-05       -0.0001167128       -5.860587E-05        3.614308E-10          0.03607023         -0.07249833         -0.03642809          0.01856444
2.150000        5.723712E-05       -0.0001158222       -5.858507E-05        3.613506E-10          0.03598442         -0.07241248         -0.03642807          0.01856444
2.200000        5.625657E-05       -0.0001148192       -5.856262E-05        3.612822E-10          0.03589921         -0.07232725         -0.03642804          0.01856444
2.250000        5.526474E-05       -0.0001138058       -5.854101E-05        3.612272E-10          0.03581466         -0.07224267         -0.03642802          0.01856444
2.300000        5.435238E-05       -0.0001128745       -5.852209E-05        3.611857E-10          0.03573082         -0.07215881         -0.03642800          0.01856444
2.350000        5.359471E-05       -0.0001121017       -5.850700E-05        3.611575E-10          0.03564774         -0.07207572         -0.03642798          0.01856444
2.400000        5.304850E-05       -0.0001115449       -5.849640E-05        3.611420E-10          0.03556548         -0.07199344         -0.03642796          0.01856444
2.450000        5.275157E-05       -0.0001112422       -5.849059E-05        3.611390E-10          0.03548409         -0.07191203         -0.03642795          0.01856444
2.500000        5.272335E-05       -0.0001112130       -5.848967E-05        3.611482E-10          0.03540360         -0.07183154         -0.03642794          0.01856444
