#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ju                U_Ju             Etot_Ju                L_Ju
0.00000         5.94173E-05        -0.000137301        -7.78833E-05        3.609689E-10            3.936247           -7.579116           -3.642869            185.6445
0.05000000        5.836295E-05       -0.0001362369       -7.787392E-05        3.586956E-10            3.931110           -7.573978           -3.642868            185.6445
0.1000000        5.762141E-05       -0.0001354699       -7.784851E-05        3.578754E-10            3.925753           -7.568619           -3.642866            185.6445
0.1500000        5.727330E-05       -0.0001350817       -7.780837E-05        3.584741E-10            3.920180           -7.563045           -3.642865            185.6445
0.2000000        5.733580E-05       -0.0001350888       -7.775301E-05        3.604979E-10            3.914397           -7.557261           -3.642864            185.6445
0.2500000        5.776457E-05       -0.0001354451       -7.768058E-05        3.639907E-10            3.908410           -7.551274           -3.642864            185.6445
0.3000000        5.845421E-05       -0.0001360422       -7.758802E-05        3.690203E-10            3.902227           -7.545090           -3.642863            185.6445
0.3500000        5.923912E-05       -0.0001367105       -7.747133E-05        3.756497E-10            3.895852           -7.538714           -3.642863            185.6444
0.4000000        5.989964E-05       -0.0001372262       -7.732656E-05        3.838794E-10            3.889292           -7.532155           -3.642863            185.6444
0.4500000        6.017894E-05       -0.0001373311       -7.715211E-05        3.935459E-10            3.882555           -7.525418           -3.642863            185.6444
0.5000000        5.981503E-05       -0.0001367676       -7.695257E-05        4.041771E-10            3.875647           -7.518510           -3.642863            185.6444
0.5500000        5.858684E-05       -0.0001353290       -7.674216E-05        4.148448E-10            3.868575           -7.511438           -3.642863            185.6444
0.6000000        5.636800E-05       -0.0001329126       -7.654460E-05        4.241332E-10            3.861346           -7.504209           -3.642863            185.6444
0.6500000        5.317263E-05       -0.0001295602       -7.638759E-05        4.303634E-10            3.853967           -7.496829           -3.642863            185.6444
0.7000000        4.916958E-05       -0.0001254640       -7.629437E-05        4.320837E-10            3.846444           -7.489306           -3.642862            185.6444
0.7500000        4.464708E-05       -0.0001209242       -7.627714E-05        4.285764E-10            3.838786           -7.481647           -3.642860            185.6444
0.8000000        3.993883E-05       -0.0001162738       -7.633499E-05        4.200547E-10            3.831000           -7.473859           -3.642858            185.6444
0.8500000        3.534933E-05       -0.0001118059       -7.645659E-05        4.074572E-10            3.823093           -7.465949           -3.642856            185.6444
0.9000000        3.111050E-05       -0.0001077359       -7.662540E-05        3.920434E-10            3.815071           -7.457925           -3.642854            185.6444
