#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169940         0.000198187             1.00586             3.55378             3.47587          -0.0939615             4.97191
0.0500000           -0.897492           -0.467782         0.000216594             1.01208             3.45437             3.57942          -0.0927520             4.97529
0.100000           -0.718776           -0.721521         0.000282466             1.01845             3.35220             3.68009          -0.0914434             4.97882
0.150000           -0.473356           -0.908422         0.000404562             1.02435             3.24734             3.77783          -0.0900276             4.98250
0.200000           -0.184727            -1.01256         0.000567992             1.02927             3.13990             3.87255          -0.0885197             4.98632
0.250000            0.120557            -1.02571         0.000752878             1.03277             3.02995             3.96418          -0.0869393             4.99028
0.300000            0.415149           -0.947608         0.000936613             1.03456             2.91760             4.05267          -0.0853084             4.99438
0.350000            0.673006           -0.785625          0.00109626             1.03448             2.80294             4.13795          -0.0836490             4.99861
0.400000            0.871270           -0.554099          0.00121091             1.03254             2.68606             4.21996          -0.0819813             5.00297
0.450000            0.991951           -0.273276          0.00126392             1.02891             2.56707             4.29865          -0.0803213             5.00746
0.500000             1.02339           0.0320736          0.00124486             1.02389             2.44606             4.37395          -0.0786790             5.01207
0.550000            0.961423            0.334420          0.00115110             1.01793             2.32313             4.44583          -0.0770574             5.01680
0.600000            0.810221            0.605631         0.000988744             1.01156             2.19838             4.51423          -0.0754514             5.02164
0.650000            0.582439            0.819482         0.000772738             1.00538             2.07192             4.57911          -0.0738476             5.02659
0.700000            0.298636            0.954354         0.000525787            0.999988             1.94385             4.64044          -0.0722258             5.03164
0.750000          -0.0143132            0.995818         0.000276051            0.995921             1.81428             4.69817          -0.0705610             5.03680
0.800000           -0.325786            0.938662         5.36239E-05            0.993591             1.68330             4.75227          -0.0688268             5.04205
0.850000           -0.604742            0.787910        -0.000113714            0.993235             1.55103             4.80271          -0.0669990             5.04740
0.900000           -0.823329            0.558500        -0.000204739            0.994884             1.41757             4.84947          -0.0650600             5.05283
0.950000           -0.960141            0.273580        -0.000208144            0.998357             1.28302             4.89252          -0.0630015             5.05834
1.00000            -1.00256          -0.0382987        -0.000124297             1.00329             1.14749             4.93183          -0.0608260             5.06393
1.05000           -0.947812           -0.346542         3.49158E-05             1.00918             1.01110             4.96740          -0.0585465             5.06960
1.10000           -0.802752           -0.621857         0.000247987             1.01544            0.873933             4.99921          -0.0561849             5.07533
1.15000           -0.582559           -0.839075         0.000486921             1.02148            0.736109             5.02724          -0.0537688             5.08113
1.20000           -0.308763           -0.979221         0.000720938             1.02675            0.597732             5.05149          -0.0513282             5.08699
1.25000         -0.00695970            -1.03075         0.000920165             1.03077            0.458907             5.07195          -0.0488917             5.09291
1.30000            0.295507           -0.990041          0.00105891             1.03320            0.319739             5.08863          -0.0464841             5.09887
1.35000            0.571734           -0.861358          0.00111827             1.03384            0.180332             5.10151          -0.0441237             5.10489
1.40000            0.797246           -0.656280          0.00108809             1.03262           0.0407920             5.11061          -0.0418206             5.11095
1.45000            0.951780           -0.392812         0.000968020             1.02965          -0.0987785             5.11594          -0.0395756             5.11704
1.50000             1.02086          -0.0941305         0.000767905             1.02519           -0.238276             5.11749          -0.0373803             5.12317
1.55000            0.997107            0.213040         0.000507195             1.01961           -0.377599             5.11529          -0.0352174             5.12933
1.60000            0.881238            0.500443         0.000213406             1.01342           -0.516646             5.10935          -0.0330625             5.13551
1.65000            0.682509            0.740685        -8.05041E-05             1.00719           -0.655316             5.09968          -0.0308864             5.14171
1.70000            0.418458            0.909904        -0.000339794             1.00152           -0.793511             5.08631          -0.0286584             5.14792
1.75000            0.113716            0.990451        -0.000532388            0.996957           -0.931132             5.06927          -0.0263507             5.15414
1.80000           -0.202190            0.973200        -0.000633545            0.993982            -1.06808             5.04857          -0.0239427             5.16037
