#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169900         0.000198180             1.00585             3.55370             3.47580          -0.0939600             4.97180
0.0500000           -0.897484           -0.467723         0.000216324             1.01205             3.45430             3.57934          -0.0927511             4.97518
0.100000           -0.718734           -0.721427         0.000281459             1.01835             3.35213             3.68001          -0.0914435             4.97872
0.150000           -0.473251           -0.908265         0.000402444             1.02416             3.24727             3.77774          -0.0900290             4.98239
0.200000           -0.184531            -1.01229         0.000564509             1.02897             3.13983             3.87246          -0.0885226             4.98621
0.250000            0.120854            -1.02525         0.000747894             1.03235             3.02989             3.96409          -0.0869438             4.99017
0.300000            0.415518           -0.946867         0.000930095             1.03403             2.91754             4.05258          -0.0853145             4.99427
0.350000            0.673369           -0.784518          0.00108826             1.03387             2.80288             4.13785          -0.0836568             4.99850
0.400000            0.871504           -0.552577          0.00120153             1.03192             2.68601             4.21986          -0.0819905             5.00285
0.450000            0.991909           -0.271358          0.00125333             1.02836             2.56701             4.29854          -0.0803318             5.00734
0.500000             1.02294           0.0342891          0.00123329             1.02352             2.44600             4.37384          -0.0786906             5.01194
0.550000            0.960540            0.336769          0.00113886             1.01787             2.32308             4.44571          -0.0770698             5.01666
0.600000            0.808977            0.607938         0.000976253             1.01195             2.19833             4.51410          -0.0754641             5.02150
0.650000            0.581053            0.821649         0.000760496             1.00635             2.07188             4.57898          -0.0738602             5.02645
0.700000            0.297415            0.956454         0.000514372             1.00163             1.94381             4.64030          -0.0722377             5.03150
0.750000          -0.0150983            0.998152         0.000266034            0.998267             1.81424             4.69802          -0.0705718             5.03665
0.800000           -0.326058            0.941731         4.54512E-05            0.996580             1.68326             4.75212          -0.0688360             5.04190
0.850000           -0.604749            0.792277        -0.000119840            0.996707             1.55099             4.80256          -0.0670065             5.04724
0.900000           -0.823675            0.564574        -0.000208921            0.998592             1.41753             4.84931          -0.0650660             5.05266
0.950000           -0.961671            0.281400        -0.000210738             1.00200             1.28298             4.89235          -0.0630063             5.05817
1.00000            -1.00612          -0.0291714        -0.000125765             1.00654             1.14746             4.93165          -0.0608299             5.06375
1.05000           -0.953972           -0.336984         3.41683E-05             1.01174             1.01106             4.96722          -0.0585500             5.06941
1.10000           -0.811602           -0.612981         0.000247700             1.01708            0.873901             4.99901          -0.0561882             5.07514
1.15000           -0.593633           -0.831949         0.000486946             1.02203            0.736079             5.02704          -0.0537721             5.08093
1.20000           -0.321138           -0.974588         0.000721090             1.02613            0.597703             5.05128          -0.0513315             5.08678
1.25000          -0.0194767            -1.02884         0.000920047             1.02903            0.458879             5.07173          -0.0488954             5.09268
1.30000            0.283965           -0.990557          0.00105779             1.03046            0.319712             5.08840          -0.0464890             5.09864
1.35000            0.561981           -0.863531          0.00111513             1.03030            0.180306             5.10127          -0.0441306             5.10465
1.40000            0.789629           -0.659117          0.00108174             1.02857           0.0407674             5.11036          -0.0418306             5.11070
1.45000            0.946149           -0.395354         0.000957475             1.02543          -0.0988020             5.11568          -0.0395895             5.11678
1.50000             1.01667          -0.0956892         0.000752710             1.02117           -0.238299             5.11722          -0.0373985             5.12290
1.55000            0.993665            0.212740         0.000487750             1.01618           -0.377620             5.11501          -0.0352395             5.12905
1.60000            0.877929            0.501274         0.000191084             1.01096           -0.516666             5.10906          -0.0330872             5.13522
1.65000            0.679032            0.742278        -0.000103513             1.00601           -0.655335             5.09938          -0.0309115             5.14141
1.70000            0.414896            0.911916        -0.000360914             1.00186           -0.793528             5.08600          -0.0286815             5.14761
1.75000            0.110426            0.992835        -0.000549270            0.998957           -0.931148             5.06894          -0.0263698             5.15382
1.80000           -0.204857            0.976352        -0.000644654            0.997612            -1.06810             5.04823          -0.0239563             5.16004
1.85000           -0.499953            0.863713        -0.000634894            0.997975            -1.20428             5.02389          -0.0214323             5.16625
1.90000           -0.745856            0.666099        -0.000521752            0.999995            -1.33960             4.99595          -0.0188017             5.17246
1.95000           -0.918809            0.403324        -0.000320925             1.00343            -1.47396             4.96445          -0.0160814             5.17867
2.00000            -1.00279            0.101472        -5.98387E-05             1.00791            -1.60728             4.92942          -0.0132988             5.18486
2.05000           -0.990907           -0.210110         0.000226300             1.01294            -1.73945             4.89091          -0.0104883             5.19103
2.10000           -0.885662           -0.501932         0.000499377             1.01800            -1.87040             4.84894         -0.00768661             5.19718
2.15000           -0.698171           -0.747184         0.000723306             1.02261            -2.00004             4.80356         -0.00492808             5.20331
2.20000           -0.446690           -0.924000         0.000868343             1.02631            -2.12828             4.75482         -0.00224103             5.20940
2.25000           -0.154697            -1.01706         0.000914349             1.02876            -2.25503             4.70276         0.000355366             5.21547
2.30000            0.151230            -1.01858         0.000852835             1.02974            -2.38021             4.64743          0.00285281             5.22149
2.35000            0.443575           -0.928659         0.000687775             1.02916            -2.50374             4.58887          0.00525455             5.22747
2.40000            0.696015           -0.755249         0.000435231             1.02705            -2.62554             4.52715          0.00757496             5.23341
2.45000            0.885465           -0.513544         0.000121877             1.02361            -2.74553             4.46231          0.00983803             5.23930
2.50000            0.993992           -0.224962        -0.000217551             1.01913            -2.86364             4.39440           0.0120750             5.24513
2.55000             1.01051           0.0843855        -0.000543804             1.01403            -2.97979             4.32349           0.0143208             5.25090
2.60000            0.932115            0.385749        -0.000817504             1.00878            -3.09391             4.24964           0.0166104             5.25661
2.65000            0.764840            0.650272         -0.00100407             1.00391            -3.20593             4.17289           0.0189738             5.26226
2.70000            0.523600            0.851858         -0.00107861            0.999911            -3.31578             4.09332           0.0214319             5.26784
2.75000            0.231131            0.970059         -0.00103003            0.997215            -3.42338             4.01099           0.0239923             5.27334
2.80000          -0.0841387            0.992572        -0.000863459            0.996132            -3.52869             3.92595           0.0266481             5.27877
2.85000           -0.391108            0.916874        -0.000600341            0.996807            -3.63162             3.83829           0.0293771             5.28413
2.90000           -0.659499            0.750634        -0.000275821            0.999195            -3.73213             3.74805           0.0321447             5.28940
2.95000           -0.863274            0.510774         6.61463E-05             1.00306            -3.83015             3.65532           0.0349090             5.29458
3.00000           -0.983401            0.221364         0.000379108             1.00801            -3.92562             3.56015           0.0376257             5.29968
