#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169900         0.000198180             1.00585             3.55370             3.47580          -0.0939600             4.97180
0.0500000           -0.896428           -0.466848         0.000187542             1.01071             3.45430             3.57934          -0.0927799             4.97518
0.100000           -0.714422           -0.717731         0.000171399             1.01269             3.35213             3.68001          -0.0915489             4.97872
0.150000           -0.463233           -0.898977         0.000169973             1.01131             3.24727             3.77774          -0.0902478             4.98240
0.200000           -0.166571           -0.992978         0.000182748             1.00685             3.13983             3.87246          -0.0888783             4.98622
0.250000            0.147508           -0.989436         0.000205312             1.00037             3.02989             3.96409          -0.0874453             4.99018
0.300000            0.448485           -0.886697         0.000229725            0.993665             2.91754             4.05258          -0.0859572             4.99428
0.350000            0.706028           -0.692855         0.000245255            0.989204             2.80288             4.13785          -0.0844249             4.99851
0.400000            0.893601           -0.425996         0.000239562            0.989947             2.68601             4.21986          -0.0828605             5.00287
0.450000            0.992610           -0.112672         0.000200242            0.998984             2.56701             4.29854          -0.0812763             5.00735
0.500000            0.995882            0.215921         0.000116453             1.01902             2.44600             4.37384          -0.0796829             5.01196
0.550000            0.908756            0.529511        -1.97389E-05             1.05177             2.32308             4.44571          -0.0780883             5.01668
0.600000            0.746856            0.804105        -0.000212364             1.09744             2.19833             4.51410          -0.0764967             5.02152
0.650000            0.531370             1.02496        -0.000460680             1.15451             2.07188             4.57898          -0.0749083             5.02647
0.700000            0.284029             1.18640        -0.000758435             1.21993             1.94381             4.64030          -0.0733183             5.03152
0.750000           0.0236499             1.28944         -0.00109385             1.28966             1.81424             4.69803          -0.0717170             5.03667
0.800000           -0.235213             1.33888         -0.00145080             1.35939             1.68326             4.75212          -0.0700909             5.04192
0.850000           -0.482096             1.34108         -0.00181082             1.42511             1.55099             4.80256          -0.0684243             5.04726
0.900000           -0.709767             1.30255         -0.00215516             1.48337             1.41753             4.84931          -0.0667014             5.05269
0.950000           -0.913265             1.22928         -0.00246620             1.53140             1.28299             4.89235          -0.0649074             5.05820
1.00000            -1.08908             1.12661         -0.00272814             1.56695             1.14746             4.93166          -0.0630292             5.06378
1.05000            -1.23453            0.999151         -0.00292712             1.58820             1.01107             4.96722          -0.0610555             5.06944
1.10000            -1.34735            0.850990         -0.00305101             1.59359            0.873904             4.99902          -0.0589767             5.07517
1.15000            -1.42528            0.685810         -0.00308906             1.58169            0.736082             5.02704          -0.0567845             5.08096
1.20000            -1.46582            0.507115         -0.00303157             1.55107            0.597706             5.05129          -0.0544716             5.08682
1.25000            -1.46597            0.318486         -0.00286947             1.50017            0.458882             5.07174          -0.0520314             5.09272
1.30000            -1.42181            0.123948         -0.00259411             1.42720            0.319716             5.08841          -0.0494578             5.09868
1.35000            -1.32808          -0.0714167         -0.00219727             1.33000            0.180311             5.10128          -0.0467456             5.10468
1.40000            -1.17747           -0.260313         -0.00167184             1.20591           0.0407717             5.11037          -0.0438906             5.11073
1.45000           -0.959536           -0.430724         -0.00101478             1.05178          -0.0987973             5.11569          -0.0408932             5.11681
1.50000           -0.659348           -0.559562        -0.000238052            0.864783           -0.238294             5.11723          -0.0377695             5.12292
1.55000           -0.259672           -0.593867         0.000584666            0.648157           -0.377615             5.11502          -0.0345963             5.12906
1.60000            0.211352           -0.396270          0.00109231            0.449111           -0.516661             5.10907          -0.0317290             5.13523
1.65000            0.435494            0.122366         0.000411107            0.452359           -0.655329             5.09940          -0.0299584             5.14142
1.70000            0.250858            0.578722         -0.00103053            0.630753           -0.793522             5.08602          -0.0288068             5.14763
1.75000          -0.0563644            0.817847         -0.00214601            0.819790           -0.931141             5.06896          -0.0272964             5.15384
1.80000           -0.360472            0.912398         -0.00274837            0.981029            -1.06809             5.04825          -0.0252758             5.16006
1.85000           -0.629303            0.915068         -0.00295529             1.11058            -1.20427             5.02391          -0.0228685             5.16628
1.90000           -0.853965            0.856301         -0.00287319             1.20934            -1.33959             4.99597          -0.0201798             5.17249
1.95000            -1.03170            0.754637         -0.00257625             1.27824            -1.47395             4.96448          -0.0172820             5.17869
2.00000            -1.16122            0.622264         -0.00211691             1.31744            -1.60727             4.92945          -0.0142263             5.18488
2.05000            -1.24105            0.467884         -0.00153510             1.32632            -1.73945             4.89093          -0.0110518             5.19105
2.10000            -1.26879            0.298388        -0.000865000             1.30340            -1.87040             4.84897         -0.00779236             5.19721
2.15000            -1.24034            0.120077        -0.000140620             1.24614            -2.00003             4.80359         -0.00448156             5.20333
2.20000            -1.14895          -0.0600044         0.000597290             1.15051            -2.12827             4.75485         -0.00115935             5.20943
2.25000           -0.983198           -0.231736          0.00128871             1.01014            -2.25502             4.70279          0.00211628             5.21549
2.30000           -0.722790           -0.375714          0.00182176            0.814610            -2.38020             4.64746          0.00523907             5.22152
2.35000           -0.328630           -0.438409          0.00191125            0.547908            -2.50373             4.58891          0.00794216             5.22751
2.40000            0.216197           -0.157135         0.000397938            0.267269            -2.62553             4.52719          0.00916366             5.23344
2.45000            0.291926            0.487723         -0.00272418            0.568420            -2.74552             4.46235           0.0100002             5.23933
2.50000            0.164792            0.853186         -0.00440069            0.868966            -2.86363             4.39444           0.0123069             5.24516
2.55000          0.00366844             1.08718         -0.00494927             1.08720            -2.97979             4.32354           0.0156931             5.25094
2.60000           -0.162181             1.23945         -0.00489698             1.25003            -3.09391             4.24968           0.0196340             5.25666
2.65000           -0.323880             1.33218         -0.00445516             1.37100            -3.20592             4.17294           0.0239250             5.26231
2.70000           -0.477378             1.37757         -0.00373287             1.45795            -3.31577             4.09337           0.0284611             5.26791
2.75000           -0.620111             1.38311         -0.00279670             1.51576            -3.42338             4.01104           0.0331776             5.27343
2.80000           -0.749915             1.35368         -0.00169364             1.54752            -3.52868             3.92601           0.0380284             5.27888
2.85000           -0.864536             1.29258        -0.000462415             1.55505            -3.63162             3.83834           0.0429751             5.28426
2.90000           -0.961311             1.20199         0.000859364             1.53913            -3.73213             3.74811           0.0479805             5.28956
2.95000            -1.03687             1.08332          0.00222934             1.49957            -3.83015             3.65538           0.0530029             5.29477
3.00000            -1.08675            0.937328          0.00359418             1.43514            -3.92562             3.56022           0.0579904             5.29990
3.05000            -1.10475            0.764289          0.00488095             1.34337            -4.01849             3.46269           0.0628732             5.30495
3.10000            -1.08174            0.564205          0.00598250             1.22005            -4.10870             3.36288           0.0675503             5.30990
3.15000            -1.00314            0.337371          0.00672678             1.05838            -4.19621             3.26085           0.0718614             5.31474
3.20000           -0.842581           0.0866282          0.00679789            0.847050            -4.28096             3.15668           0.0755153             5.31949
3.25000           -0.541223           -0.169899          0.00546590            0.567290            -4.36290             3.05044           0.0778486             5.32411
3.30000           0.0670257           -0.249988         0.000367031            0.258818            -4.44198             2.94220           0.0767958             5.32857
3.35000            0.523785            0.265078         -0.00769755            0.587092            -4.51817             2.83204           0.0766877             5.33294
