#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169940         0.000198187             1.00586             3.55378             3.47587          -0.0939615             4.97191
0.0500000           -0.896067           -0.472651         0.000197928             1.01308             3.45436             3.57943          -0.0921653             4.97528
0.100000           -0.715676           -0.730496         0.000178840             1.02265             3.35217             3.68012          -0.0902953             4.97880
0.150000           -0.469239           -0.920927         0.000143208             1.03358             3.24730             3.77786          -0.0883531             4.98247
0.200000           -0.180857            -1.02904         9.47367E-05             1.04481             3.13984             3.87260          -0.0863403             4.98629
0.250000            0.123176            -1.04810         3.80271E-05             1.05531             3.02988             3.96425          -0.0842588             4.99024
0.300000            0.416868           -0.979147        -2.19173E-05             1.06419             2.91751             4.05275          -0.0821105             4.99434
0.350000            0.676422           -0.830006        -8.01114E-05             1.07073             2.80284             4.13804          -0.0798970             4.99856
0.400000            0.881593           -0.614129        -0.000131913             1.07441             2.68594             4.22006          -0.0776204             5.00292
0.450000             1.01661           -0.349377        -0.000173272             1.07497             2.56693             4.29875          -0.0752827             5.00740
0.500000             1.07086          -0.0568630        -0.000200926             1.07236             2.44591             4.37407          -0.0728857             5.01201
0.550000             1.03940            0.240206        -0.000212569             1.06679             2.32296             4.44595          -0.0704316             5.01673
0.600000            0.923447            0.517753        -0.000207012             1.05869             2.19820             4.51436          -0.0679225             5.02157
0.650000            0.730688            0.752240        -0.000184325             1.04870             2.07173             4.57925          -0.0653604             5.02652
0.700000            0.475402            0.922360        -0.000145959             1.03767             1.94364             4.64059          -0.0627476             5.03157
0.750000            0.178126             1.01101        -9.47946E-05             1.02658             1.81405             4.69832          -0.0600861             5.03673
0.800000           -0.135399             1.00744        -3.50703E-05             1.01649             1.68306             4.75243          -0.0573782             5.04198
0.850000           -0.436197            0.909198         2.78732E-05             1.00842             1.55077             4.80288          -0.0546261             5.04733
0.900000           -0.695011            0.723459         8.80713E-05             1.00321             1.41730             4.84964          -0.0518321             5.05277
0.950000           -0.885886            0.467005         0.000139610             1.00144             1.28273             4.89270          -0.0489984             5.05829
1.00000           -0.989702            0.164661         0.000177390             1.00331             1.14719             4.93202          -0.0461274             5.06389
1.05000           -0.996800           -0.153770         0.000197804             1.00859             1.01078             4.96759          -0.0432213             5.06956
1.10000           -0.908008           -0.457407         0.000199164             1.01671            0.873603             4.99940          -0.0402824             5.07531
1.15000           -0.733946           -0.718086         0.000181800             1.02680            0.735766             5.02743          -0.0373132             5.08112
1.20000           -0.492971           -0.913297         0.000147844             1.03785            0.597375             5.05168          -0.0343159             5.08700
1.25000           -0.208473            -1.02787         0.000100821             1.04880            0.458536             5.07215          -0.0312928             5.09293
1.30000           0.0938608            -1.05451         4.51588E-05             1.05868            0.319355             5.08883          -0.0282464             5.09891
1.35000            0.388387           -0.993437        -1.42717E-05             1.06666            0.179936             5.10171          -0.0251790             5.10495
1.40000            0.651328           -0.851569        -7.25527E-05             1.07210           0.0403829             5.11081          -0.0220928             5.11102
1.45000            0.862102           -0.641493        -0.000125033             1.07459          -0.0991997             5.11614          -0.0189904             5.11714
1.50000             1.00431           -0.380391        -0.000167578             1.07393           -0.238709             5.11769          -0.0158739             5.12328
1.55000             1.06648          -0.0889755        -0.000196779             1.07019           -0.378043             5.11549          -0.0127458             5.12946
1.60000             1.04278            0.209608        -0.000210144             1.06364           -0.517101             5.10955         -0.00960838             5.13566
1.65000            0.933548            0.491003        -0.000206280             1.05480           -0.655782             5.09989         -0.00646396             5.14188
1.70000            0.745804            0.731108        -0.000185074             1.04439           -0.793987             5.08652         -0.00331484             5.14812
1.75000            0.493442            0.907875        -0.000147838             1.03331           -0.931618             5.06947        -0.000163325             5.15437
1.80000            0.196938             1.00343        -9.73791E-05             1.02257            -1.06858             5.04877          0.00298831             5.16062
1.85000           -0.117746             1.00637        -3.79298E-05             1.01324            -1.20477             5.02445          0.00613780             5.16687
1.90000           -0.421260            0.913837         2.51242E-05             1.00626            -1.34010             4.99653          0.00928289             5.17313
1.95000           -0.683969            0.732788         8.57544E-05             1.00239            -1.47447             4.96504           0.0124214             5.17937
2.00000           -0.879656            0.479936         0.000137994             1.00207            -1.60780             4.93003           0.0155510             5.18561
2.05000           -0.989062            0.180014         0.000176713             1.00531            -1.73999             4.89154           0.0186697             5.19182
2.10000            -1.00239           -0.137391         0.000198280             1.01176            -1.87095             4.84959           0.0217752             5.19802
2.15000           -0.920196           -0.441699         0.000200966             1.02071            -2.00060             4.80423           0.0248653             5.20419
2.20000           -0.752602           -0.705012         0.000185016             1.03124            -2.12884             4.75551           0.0279381             5.21034
2.25000           -0.517277           -0.904873         0.000152428             1.04229            -2.25560             4.70347           0.0309914             5.21645
2.30000           -0.236865            -1.02586         0.000106568             1.05285            -2.38080             4.64816           0.0340231             5.22252
2.35000           0.0635768            -1.06009         5.17099E-05             1.06199            -2.50434             4.58963           0.0370313             5.22856
2.40000            0.358779            -1.00697        -7.39565E-06             1.06897            -2.62615             4.52793           0.0400138             5.23454
2.45000            0.624991           -0.872479        -6.58890E-05             1.07323            -2.74616             4.46312           0.0429689             5.24048
2.50000            0.841303           -0.668332        -0.000119106             1.07446            -2.86428             4.39524           0.0458945             5.24637
2.55000            0.990675           -0.411006        -0.000162830             1.07255            -2.98045             4.32436           0.0487887             5.25219
2.60000             1.06080           -0.120801        -0.000193509             1.06765            -3.09458             4.25053           0.0516497             5.25796
