#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169900         0.000198180             1.00585             3.55370             3.47580          -0.0939600             4.97180
0.0500000           -0.896060           -0.472593         0.000197716             1.01305             3.45428             3.57935          -0.0921643             4.97517
0.100000           -0.715635           -0.730403         0.000178065             1.02256             3.35210             3.68004          -0.0902947             4.97870
0.150000           -0.469135           -0.920774         0.000141578             1.03340             3.24723             3.77778          -0.0883529             4.98236
0.200000           -0.180662            -1.02878         9.20367E-05             1.04452             3.13977             3.87251          -0.0863406             4.98618
0.250000            0.123474            -1.04766         3.41259E-05             1.05491             3.02982             3.96416          -0.0842595             4.99013
0.300000            0.417242           -0.978435        -2.70697E-05             1.06369             2.91745             4.05265          -0.0821115             4.99422
0.350000            0.676807           -0.828946        -8.64903E-05             1.07015             2.80278             4.13794          -0.0798985             4.99845
0.400000            0.881881           -0.612670        -0.000139433             1.07382             2.68589             4.21995          -0.0776223             5.00280
0.450000             1.01667           -0.347526        -0.000181807             1.07443             2.56688             4.29864          -0.0752850             5.00728
0.500000             1.07058          -0.0546906        -0.000210332             1.07197             2.44585             4.37395          -0.0728884             5.01188
0.550000             1.03872            0.242569        -0.000222710             1.06667             2.32291             4.44583          -0.0704347             5.01660
0.600000            0.922408            0.520148        -0.000217778             1.05896             2.19815             4.51423          -0.0679260             5.02143
0.650000            0.729449            0.754548        -0.000195635             1.04949             2.07168             4.57912          -0.0653643             5.02638
0.700000            0.474229            0.924578        -0.000157734             1.03910             1.94360             4.64045          -0.0627518             5.03143
0.750000            0.177315             1.01333        -0.000106903             1.02873             1.81401             4.69818          -0.0600906             5.03658
0.800000           -0.135650             1.01027        -4.72617E-05             1.01934             1.68302             4.75228          -0.0573831             5.04183
0.850000           -0.435949            0.913115         1.60198E-05             1.01184             1.55074             4.80272          -0.0546314             5.04717
0.900000           -0.694692            0.729010         7.71457E-05             1.00700             1.41726             4.84948          -0.0518377             5.05260
0.950000           -0.886272            0.474485         0.000130313             1.00529             1.28270             4.89252          -0.0490043             5.05811
1.00000           -0.991737            0.173900         0.000170425             1.00687             1.14716             4.93184          -0.0461336             5.06371
1.05000            -1.00130           -0.143468         0.000193743             1.01152             1.01075             4.96740          -0.0432278             5.06937
1.10000           -0.915359           -0.447126         0.000198332             1.01873            0.873572             4.99920          -0.0402893             5.07511
1.15000           -0.743960           -0.709017         0.000184197             1.02771            0.735736             5.02723          -0.0373204             5.08092
1.20000           -0.504909           -0.906413         0.000153138             1.03755            0.597346             5.05147          -0.0343233             5.08679
1.25000           -0.221238            -1.02369         0.000108394             1.04732            0.458508             5.07193          -0.0313006             5.09271
1.30000           0.0814433            -1.05300         5.42039E-05             1.05614            0.319328             5.08860          -0.0282544             5.09868
1.35000            0.377303           -0.994057        -4.64889E-06             1.06325            0.179910             5.10147          -0.0251872             5.10471
1.40000            0.642182           -0.853472        -6.32314E-05             1.06809           0.0403582             5.11057          -0.0221013             5.11077
1.45000            0.855042           -0.643731        -0.000116796             1.07027          -0.0992232             5.11588          -0.0189991             5.11688
1.50000            0.999065           -0.382140        -0.000161055             1.06965           -0.238732             5.11742          -0.0158829             5.12301
