#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ju                Y_Ju                Z_Ju           R_Jupiter
0.00000           -0.991400           -0.169900         0.000198180             1.00585             3.55370             3.47580          -0.0939600             4.97180
0.0500000           -0.894989           -0.471733         0.000175528             1.01170             3.45428             3.57935          -0.0921643             4.97517
0.100000           -0.711304           -0.726814         9.43718E-05             1.01696             3.35210             3.68004          -0.0902947             4.97870
0.150000           -0.459070           -0.911784        -3.55996E-05             1.02083             3.24723             3.77778          -0.0883529             4.98236
0.200000           -0.162584            -1.01011        -0.000201740             1.02311             3.13977             3.87251          -0.0863406             4.98618
0.250000            0.150436            -1.01311        -0.000389531             1.02422             3.02982             3.96416          -0.0842595             4.99013
0.300000            0.451099           -0.920599        -0.000583851             1.02518             2.91745             4.05265          -0.0821115             4.99422
0.350000            0.711840           -0.741022        -0.000770509             1.02754             2.80278             4.13794          -0.0798985             4.99845
0.400000            0.909188           -0.490960        -0.000938051             1.03328             2.68589             4.21995          -0.0776223             5.00280
0.450000             1.02657           -0.193495         -0.00107968             1.04464             2.56688             4.29864          -0.0752850             5.00728
0.500000             1.05649            0.124679         -0.00119485             1.06382             2.44585             4.37395          -0.0728884             5.01188
0.550000             1.00135            0.437119         -0.00128972             1.09260             2.32291             4.44583          -0.0704347             5.01660
0.600000            0.872194            0.721506         -0.00137601             1.13194             2.19815             4.51423          -0.0679260             5.02143
0.650000            0.685714            0.962294         -0.00146789             1.18162             2.07168             4.57912          -0.0653643             5.02638
0.700000            0.460574             1.15135         -0.00157812             1.24006             1.94360             4.64045          -0.0627518             5.03143
0.750000            0.214273             1.28680         -0.00171479             1.30452             1.81401             4.69818          -0.0600906             5.03658
0.800000          -0.0386308             1.37099         -0.00188011             1.37153             1.68302             4.75228          -0.0573831             5.04183
0.850000           -0.286993             1.40848         -0.00207098             1.43742             1.55073             4.80272          -0.0546314             5.04717
0.900000           -0.522726             1.40463         -0.00228062             1.49875             1.41726             4.84948          -0.0518377             5.05260
0.950000           -0.740109             1.36477         -0.00250024             1.55254             1.28270             4.89252          -0.0490043             5.05811
1.00000           -0.935079             1.29378         -0.00272025             1.59632             1.14716             4.93184          -0.0461336             5.06371
1.05000            -1.10465             1.19595         -0.00293086             1.62805             1.01075             4.96740          -0.0432278             5.06937
1.10000            -1.24644             1.07510         -0.00312243             1.64604            0.873572             4.99920          -0.0402893             5.07511
1.15000            -1.35836            0.934543         -0.00328536             1.64880            0.735736             5.02723          -0.0373204             5.08092
1.20000            -1.43830            0.777316         -0.00340993             1.63491            0.597346             5.05147          -0.0343233             5.08678
1.25000            -1.48391            0.606270         -0.00348589             1.60299            0.458508             5.07193          -0.0313006             5.09271
1.30000            -1.49234            0.424289         -0.00350195             1.55149            0.319328             5.08860          -0.0282544             5.09868
1.35000            -1.45994            0.234558         -0.00344499             1.47867            0.179909             5.10147          -0.0251872             5.10471
1.40000            -1.38179           0.0410138         -0.00329888             1.38240           0.0403578             5.11057          -0.0221013             5.11077
1.45000            -1.25107           -0.150822         -0.00304254             1.26013          -0.0992237             5.11588          -0.0189991             5.11688
1.50000            -1.05791           -0.332078         -0.00264658             1.10881           -0.238732             5.11742          -0.0158829             5.12301
1.55000           -0.787657           -0.486241         -0.00206727            0.925655           -0.378065             5.11521          -0.0127550             5.12918
1.60000           -0.419139           -0.576930         -0.00123721            0.713111           -0.517122             5.10926         -0.00961779             5.13537
1.65000           0.0634382           -0.507690        -7.55145E-05            0.511638           -0.655802             5.09958         -0.00647357             5.14158
1.70000            0.498928          -0.0613992          0.00113767            0.502693           -0.794005             5.08620         -0.00332465             5.14781
1.75000            0.546003            0.435860          0.00146311            0.698638           -0.931634             5.06914        -0.000173326             5.15404
1.80000            0.433886            0.810799          0.00136243            0.919594            -1.06859             5.04843          0.00297812             5.16029
1.85000            0.265205             1.08727          0.00108886             1.11915            -1.20478             5.02409          0.00612743             5.16653
1.90000           0.0760579             1.29225         0.000743050             1.29449            -1.34011             4.99616          0.00927236             5.17277
1.95000           -0.118602             1.44409         0.000373999             1.44895            -1.47448             4.96466           0.0124107             5.17901
2.00000           -0.311689             1.55532         1.12800E-05             1.58624            -1.60781             4.92963           0.0155402             5.18523
2.05000           -0.499533             1.63489        -0.000323736             1.70950            -1.73999             4.89112           0.0186587             5.19143
2.10000           -0.680132             1.68948        -0.000613435             1.82124            -1.87095             4.84916           0.0217640             5.19762
2.15000           -0.852377             1.72427        -0.000842072             1.92344            -2.00060             4.80378           0.0248540             5.20378
2.20000            -1.01567             1.74337        -0.000994951             2.01765            -2.12884             4.75504           0.0279267             5.20991
2.25000            -1.16975             1.75014         -0.00105809             2.10507            -2.25559             4.70299           0.0309798             5.21601
2.30000            -1.31453             1.74738         -0.00101809             2.18662            -2.38078             4.64766           0.0340114             5.22207
2.35000            -1.45008             1.73741        -0.000862068             2.26304            -2.50432             4.58911           0.0370194             5.22809
2.40000            -1.57659             1.72223        -0.000577658             2.33489            -2.62613             4.52739           0.0400018             5.23407
2.45000            -1.69431             1.70355        -0.000152935             2.40266            -2.74613             4.46256           0.0429568             5.23999
2.50000            -1.80357             1.68285         0.000423641             2.46675            -2.86425             4.39466           0.0458822             5.24586
2.55000            -1.90475             1.66143          0.00116333             2.52753            -2.98041             4.32376           0.0487763             5.25168
2.60000            -1.99828             1.64044          0.00207721             2.58538            -3.09453             4.24992           0.0516371             5.25743
2.65000            -2.08466             1.62092          0.00317639             2.64068            -3.20656             4.17318           0.0544629             5.26312
2.70000            -2.16443             1.60380          0.00447210             2.69387            -3.31642             4.09362           0.0572518             5.26874
2.75000            -2.23820             1.58993          0.00597598             2.74544            -3.42403             4.01130           0.0600020             5.27429
2.80000            -2.30665             1.58012          0.00770029             2.79597            -3.52935             3.92628           0.0627119             5.27977
2.85000            -2.37054             1.57510          0.00965819             2.84614            -3.63229             3.83863           0.0653798             5.28516
2.90000            -2.43072             1.57561           0.0118641             2.89674            -3.73281             3.74841           0.0680039             5.29048
2.95000            -2.48817             1.58235           0.0143342             2.94873            -3.83085             3.65570           0.0705827             5.29570
3.00000            -2.54399             1.59602           0.0170868             3.00324            -3.92633             3.56055           0.0731146             5.30084
3.05000            -2.59946             1.61730           0.0201432             3.06158            -4.01921             3.46305           0.0755981             5.30589
3.10000            -2.65607             1.64692           0.0235283             3.12532            -4.10944             3.36325           0.0780316             5.31084
3.15000            -2.71559             1.68562           0.0272721             3.19633            -4.19696             3.26124           0.0804137             5.31570
3.20000            -2.78012             1.73416           0.0314110             3.27679            -4.28172             3.15709           0.0827429             5.32045
3.25000            -2.85221             1.79336           0.0359897             3.36935            -4.36368             3.05087           0.0850180             5.32510
3.30000            -2.93502             1.86403           0.0410645             3.47716            -4.44279             2.94265           0.0872374             5.32965
3.35000            -3.03257             1.94701           0.0467067             3.60409            -4.51899             2.83252           0.0894000             5.33408
3.40000            -3.15013             2.04304           0.0530092             3.75501            -4.59226             2.72054           0.0915044             5.33841
3.45000            -3.29492             2.15256           0.0600947             3.93620            -4.66255             2.60680           0.0935495             5.34262
3.50000            -3.47739             2.27516           0.0681296             4.15611            -4.72982             2.49137           0.0955340             5.34671
3.55000            -3.71372             2.40795           0.0773410             4.42673            -4.79404             2.37434           0.0974569             5.35068
3.60000            -4.03125             2.54046           0.0880227             4.76578            -4.85517             2.25577           0.0993169             5.35453
3.65000            -4.47917             2.63397            0.100361             5.19720            -4.91318             2.13575            0.101113             5.35826
3.70000            -5.11157             2.52684            0.112427             5.70313            -4.96803             2.01437            0.102844             5.36186
3.75000            -5.58572             2.04008            0.115128             5.94773            -5.01971             1.89169            0.104510             5.36534
3.80000            -5.80118             1.51238            0.112832             5.99614            -5.06817             1.76781            0.106109             5.36869
3.85000            -5.88403             1.03695            0.109210             5.97571            -5.11341             1.64280            0.107640             5.37190
3.90000            -5.89639            0.617536            0.105347             5.92957            -5.15539             1.51674            0.109102             5.37498
