#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         0.000102954        -0.000118569        -1.56153E-05        6.184250E-10
0.01000000        0.0001027822       -0.0001183975       -1.561533E-05        6.184250E-10
0.02000000        0.0001022714       -0.0001178867       -1.561533E-05        6.184250E-10
0.03000000        0.0001014367       -0.0001170521       -1.561533E-05        6.184250E-10
0.04000000        0.0001003018       -0.0001159171       -1.561533E-05        6.184250E-10
0.05000000        9.889691E-05       -0.0001145122       -1.561534E-05        6.184250E-10
0.06000000        9.725728E-05       -0.0001128726       -1.561534E-05        6.184250E-10
0.07000000        9.542054E-05       -0.0001110359       -1.561534E-05        6.184250E-10
0.08000000        9.342481E-05       -0.0001090402       -1.561534E-05        6.184250E-10
0.09000000        9.130703E-05       -0.0001069224       -1.561534E-05        6.184250E-10
0.1000000        8.910159E-05       -0.0001047169       -1.561534E-05        6.184250E-10
0.1100000        8.683956E-05       -0.0001024549       -1.561534E-05        6.184250E-10
0.1200000        8.454812E-05       -0.0001001635       -1.561534E-05        6.184250E-10
0.1300000        8.225047E-05       -9.786581E-05       -1.561534E-05        6.184250E-10
0.1400000        7.996591E-05       -9.558125E-05       -1.561534E-05        6.184250E-10
0.1500000        7.771008E-05       -9.332543E-05       -1.561534E-05        6.184250E-10
0.1600000        7.549536E-05       -9.111070E-05       -1.561534E-05        6.184250E-10
0.1700000        7.333120E-05       -8.894655E-05       -1.561534E-05        6.184250E-10
0.1800000        7.122462E-05       -8.683997E-05       -1.561534E-05        6.184250E-10
0.1900000        6.918054E-05       -8.479589E-05       -1.561534E-05        6.184250E-10
0.2000000        6.720216E-05       -8.281751E-05       -1.561534E-05        6.184250E-10
0.2100000        6.529131E-05       -8.090665E-05       -1.561534E-05        6.184250E-10
0.2200000        6.344868E-05       -7.906402E-05       -1.561534E-05        6.184250E-10
0.2300000        6.167410E-05       -7.728945E-05       -1.561534E-05        6.184250E-10
0.2400000        5.996675E-05       -7.558209E-05       -1.561534E-05        6.184250E-10
0.2500000        5.832526E-05       -7.394060E-05       -1.561534E-05        6.184250E-10
0.2600000        5.674791E-05       -7.236325E-05       -1.561534E-05        6.184250E-10
0.2700000        5.523271E-05       -7.084805E-05       -1.561534E-05        6.184250E-10
0.2800000        5.377749E-05       -6.939284E-05       -1.561534E-05        6.184250E-10
0.2900000        5.237998E-05       -6.799532E-05       -1.561534E-05        6.184250E-10
0.3000000        5.103784E-05       -6.665318E-05       -1.561534E-05        6.184250E-10
0.3100000        4.974871E-05       -6.536406E-05       -1.561534E-05        6.184250E-10
0.3200000        4.851027E-05       -6.412562E-05       -1.561534E-05        6.184250E-10
0.3300000        4.732023E-05       -6.293558E-05       -1.561534E-05        6.184250E-10
0.3400000        4.617635E-05       -6.179169E-05       -1.561534E-05        6.184250E-10
0.3500000        4.507647E-05       -6.069181E-05       -1.561534E-05        6.184250E-10
0.3600000        4.401849E-05       -5.963384E-05       -1.561534E-05        6.184250E-10
0.3700000        4.300044E-05       -5.861578E-05       -1.561534E-05        6.184250E-10
0.3800000        4.202038E-05       -5.763572E-05       -1.561534E-05        6.184250E-10
0.3900000        4.107649E-05       -5.669183E-05       -1.561534E-05        6.184250E-10
0.4000000        4.016703E-05       -5.578238E-05       -1.561534E-05        6.184250E-10
0.4100000        3.929036E-05       -5.490571E-05       -1.561534E-05        6.184250E-10
0.4200000        3.844490E-05       -5.406025E-05       -1.561534E-05        6.184250E-10
0.4300000        3.762917E-05       -5.324452E-05       -1.561534E-05        6.184250E-10
0.4400000        3.684176E-05       -5.245710E-05       -1.561534E-05        6.184250E-10
0.4500000        3.608133E-05       -5.169667E-05       -1.561534E-05        6.184250E-10
0.4600000        3.534662E-05       -5.096196E-05       -1.561534E-05        6.184250E-10
0.4700000        3.463644E-05       -5.025178E-05       -1.561534E-05        6.184250E-10
0.4800000        3.394966E-05       -4.956500E-05       -1.561534E-05        6.184250E-10
0.4900000        3.328521E-05       -4.890055E-05       -1.561534E-05        6.184250E-10
0.5000000        3.264208E-05       -4.825743E-05       -1.561534E-05        6.184250E-10
0.5100000        3.201932E-05       -4.763466E-05       -1.561534E-05        6.184250E-10
0.5200000        3.141602E-05       -4.703136E-05       -1.561534E-05        6.184250E-10
0.5300000        3.083132E-05       -4.644667E-05       -1.561534E-05        6.184250E-10
0.5400000        3.026443E-05       -4.587977E-05       -1.561534E-05        6.184250E-10
0.5500000        2.971456E-05       -4.532990E-05       -1.561534E-05        6.184250E-10
0.5600000        2.918100E-05       -4.479634E-05       -1.561534E-05        6.184250E-10
0.5700000        2.866306E-05       -4.427840E-05       -1.561534E-05        6.184250E-10
0.5800000        2.816008E-05       -4.377543E-05       -1.561534E-05        6.184250E-10
0.5900000        2.767146E-05       -4.328680E-05       -1.561534E-05        6.184250E-10
0.6000000        2.719660E-05       -4.281194E-05       -1.561534E-05        6.184250E-10
0.6100000        2.673495E-05       -4.235029E-05       -1.561534E-05        6.184250E-10
0.6200000        2.628598E-05       -4.190132E-05       -1.561534E-05        6.184250E-10
