#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         0.000102954        -0.000118569        -1.56153E-05        6.184250E-10
0.01000000        0.0001027824       -0.0001183972       -1.561478E-05        6.184250E-10
0.02000000        0.0001022724       -0.0001178856       -1.561319E-05        6.184250E-10
0.03000000        0.0001014389       -0.0001170496       -1.561067E-05        6.184250E-10
0.04000000        0.0001003054       -0.0001159128       -1.560740E-05        6.184250E-10
0.05000000        9.890223E-05       -0.0001145058       -1.560359E-05        6.184250E-10
0.06000000        9.726432E-05       -0.0001128638       -1.559948E-05        6.184250E-10
0.07000000        9.542923E-05       -0.0001110245       -1.559526E-05        6.184250E-10
0.08000000        9.343502E-05       -0.0001090261       -1.559111E-05        6.184250E-10
0.09000000        9.131855E-05       -0.0001069057       -1.558717E-05        6.184250E-10
0.1000000        8.911421E-05       -0.0001046978       -1.558355E-05        6.184250E-10
0.1100000        8.685302E-05       -0.0001024333       -1.558028E-05        6.184250E-10
0.1200000        8.456220E-05       -0.0001001396       -1.557741E-05        6.184250E-10
0.1300000        8.226498E-05       -9.783990E-05       -1.557492E-05        6.184250E-10
0.1400000        7.998066E-05       -9.555347E-05       -1.557281E-05        6.184250E-10
0.1500000        7.772494E-05       -9.329598E-05       -1.557103E-05        6.184250E-10
0.1600000        7.551021E-05       -9.107978E-05       -1.556956E-05        6.184250E-10
0.1700000        7.334598E-05       -8.891434E-05       -1.556836E-05        6.184250E-10
0.1800000        7.123926E-05       -8.680665E-05       -1.556739E-05        6.184250E-10
0.1900000        6.919500E-05       -8.476162E-05       -1.556662E-05        6.184250E-10
0.2000000        6.721643E-05       -8.278244E-05       -1.556601E-05        6.184250E-10
0.2100000        6.530537E-05       -8.087092E-05       -1.556555E-05        6.184250E-10
0.2200000        6.346255E-05       -7.902774E-05       -1.556519E-05        6.184250E-10
0.2300000        6.168780E-05       -7.725273E-05       -1.556493E-05        6.184250E-10
0.2400000        5.998028E-05       -7.554503E-05       -1.556474E-05        6.184250E-10
0.2500000        5.833865E-05       -7.390327E-05       -1.556462E-05        6.184250E-10
0.2600000        5.676119E-05       -7.232573E-05       -1.556454E-05        6.184250E-10
0.2700000        5.524590E-05       -7.081040E-05       -1.556451E-05        6.184250E-10
0.2800000        5.379061E-05       -6.935511E-05       -1.556450E-05        6.184250E-10
0.2900000        5.239305E-05       -6.795757E-05       -1.556452E-05        6.184250E-10
0.3000000        5.105088E-05       -6.661543E-05       -1.556455E-05        6.184250E-10
0.3100000        4.976175E-05       -6.532635E-05       -1.556460E-05        6.184250E-10
0.3200000        4.852332E-05       -6.408798E-05       -1.556466E-05        6.184250E-10
0.3300000        4.733331E-05       -6.289804E-05       -1.556473E-05        6.184250E-10
0.3400000        4.618947E-05       -6.175427E-05       -1.556480E-05        6.184250E-10
0.3500000        4.508964E-05       -6.065452E-05       -1.556488E-05        6.184250E-10
0.3600000        4.403174E-05       -5.959669E-05       -1.556495E-05        6.184250E-10
0.3700000        4.301376E-05       -5.857879E-05       -1.556503E-05        6.184250E-10
0.3800000        4.203378E-05       -5.759889E-05       -1.556511E-05        6.184250E-10
0.3900000        4.108999E-05       -5.665517E-05       -1.556518E-05        6.184250E-10
0.4000000        4.018064E-05       -5.574589E-05       -1.556526E-05        6.184250E-10
0.4100000        3.930407E-05       -5.486940E-05       -1.556533E-05        6.184250E-10
0.4200000        3.845872E-05       -5.402412E-05       -1.556540E-05        6.184250E-10
0.4300000        3.764311E-05       -5.320857E-05       -1.556547E-05        6.184250E-10
0.4400000        3.685581E-05       -5.242134E-05       -1.556553E-05        6.184250E-10
0.4500000        3.609550E-05       -5.166109E-05       -1.556559E-05        6.184250E-10
0.4600000        3.536091E-05       -5.092656E-05       -1.556565E-05        6.184250E-10
0.4700000        3.465085E-05       -5.021656E-05       -1.556571E-05        6.184250E-10
0.4800000        3.396419E-05       -4.952996E-05       -1.556577E-05        6.184250E-10
0.4900000        3.329986E-05       -4.886568E-05       -1.556582E-05        6.184250E-10
0.5000000        3.265686E-05       -4.822273E-05       -1.556587E-05        6.184250E-10
0.5100000        3.203421E-05       -4.760013E-05       -1.556592E-05        6.184250E-10
0.5200000        3.143103E-05       -4.699700E-05       -1.556597E-05        6.184250E-10
0.5300000        3.084645E-05       -4.641246E-05       -1.556601E-05        6.184250E-10
0.5400000        3.027967E-05       -4.584572E-05       -1.556605E-05        6.184250E-10
0.5500000        2.972992E-05       -4.529601E-05       -1.556609E-05        6.184250E-10
0.5600000        2.919647E-05       -4.476260E-05       -1.556613E-05        6.184250E-10
0.5700000        2.867864E-05       -4.424481E-05       -1.556617E-05        6.184250E-10
0.5800000        2.817577E-05       -4.374197E-05       -1.556620E-05        6.184250E-10
0.5900000        2.768725E-05       -4.325349E-05       -1.556623E-05        6.184250E-10
0.6000000        2.721250E-05       -4.277876E-05       -1.556626E-05        6.184250E-10
0.6100000        2.675094E-05       -4.231724E-05       -1.556629E-05        6.184250E-10
0.6200000        2.630207E-05       -4.186840E-05       -1.556632E-05        6.184250E-10
0.6300000        2.586538E-05       -4.143173E-05       -1.556635E-05        6.184250E-10
0.6400000        2.544039E-05       -4.100676E-05       -1.556638E-05        6.184250E-10
0.6500000        2.502665E-05       -4.059305E-05       -1.556640E-05        6.184250E-10
0.6600000        2.462373E-05       -4.019015E-05       -1.556642E-05        6.184250E-10
0.6700000        2.423122E-05       -3.979767E-05       -1.556645E-05        6.184250E-10
0.6800000        2.384873E-05       -3.941520E-05       -1.556647E-05        6.184250E-10
0.6900000        2.347590E-05       -3.904239E-05       -1.556649E-05        6.184250E-10
0.7000000        2.311237E-05       -3.867888E-05       -1.556651E-05        6.184250E-10
0.7100000        2.275780E-05       -3.832432E-05       -1.556653E-05        6.184250E-10
0.7200000        2.241187E-05       -3.797841E-05       -1.556655E-05        6.184250E-10
0.7300000        2.207428E-05       -3.764084E-05       -1.556656E-05        6.184250E-10
0.7400000        2.174473E-05       -3.731131E-05       -1.556658E-05        6.184250E-10
0.7500000        2.142295E-05       -3.698954E-05       -1.556659E-05        6.184250E-10
0.7600000        2.110867E-05       -3.667528E-05       -1.556661E-05        6.184250E-10
0.7700000        2.080163E-05       -3.636825E-05       -1.556662E-05        6.184250E-10
0.7800000        2.050160E-05       -3.606823E-05       -1.556664E-05        6.184250E-10
0.7900000        2.020833E-05       -3.577498E-05       -1.556665E-05        6.184250E-10
0.8000000        1.992162E-05       -3.548828E-05       -1.556666E-05        6.184250E-10
0.8100000        1.964124E-05       -3.520791E-05       -1.556668E-05        6.184250E-10
0.8200000        1.936699E-05       -3.493367E-05       -1.556669E-05        6.184250E-10
0.8300000        1.909867E-05       -3.466537E-05       -1.556670E-05        6.184250E-10
0.8400000        1.883610E-05       -3.440281E-05       -1.556671E-05        6.184250E-10
0.8500000        1.857910E-05       -3.414582E-05       -1.556672E-05        6.184250E-10
0.8600000        1.832750E-05       -3.389423E-05       -1.556673E-05        6.184250E-10
0.8700000        1.808113E-05       -3.364787E-05       -1.556674E-05        6.184250E-10
0.8800000        1.783984E-05       -3.340659E-05       -1.556675E-05        6.184250E-10
0.8900000        1.760346E-05       -3.317022E-05       -1.556676E-05        6.184250E-10
0.9000000        1.737186E-05       -3.293863E-05       -1.556676E-05        6.184250E-10
0.9100000        1.714490E-05       -3.271167E-05       -1.556677E-05        6.184250E-10
0.9200000        1.692243E-05       -3.248921E-05       -1.556678E-05        6.184250E-10
0.9300000        1.670434E-05       -3.227113E-05       -1.556679E-05        6.184250E-10
0.9400000        1.649049E-05       -3.205728E-05       -1.556679E-05        6.184250E-10
0.9500000        1.628076E-05       -3.184757E-05       -1.556680E-05        6.184250E-10
0.9600000        1.607505E-05       -3.164186E-05       -1.556681E-05        6.184250E-10
0.9700000        1.587323E-05       -3.144005E-05       -1.556682E-05        6.184250E-10
0.9800000        1.567520E-05       -3.124202E-05       -1.556682E-05        6.184250E-10
0.9900000        1.548086E-05       -3.104769E-05       -1.556683E-05        6.184250E-10
1.000000        1.529011E-05       -3.085695E-05       -1.556683E-05        6.184250E-10
1.010000        1.510285E-05       -3.066969E-05       -1.556684E-05        6.184250E-10
1.020000        1.491899E-05       -3.048584E-05       -1.556684E-05        6.184250E-10
1.030000        1.473845E-05       -3.030529E-05       -1.556685E-05        6.184250E-10
1.040000        1.456112E-05       -3.012797E-05       -1.556685E-05        6.184250E-10
1.050000        1.438694E-05       -2.995379E-05       -1.556686E-05        6.184250E-10
1.060000        1.421581E-05       -2.978267E-05       -1.556686E-05        6.184250E-10
1.070000        1.404767E-05       -2.961454E-05       -1.556687E-05        6.184250E-10
1.080000        1.388244E-05       -2.944931E-05       -1.556687E-05        6.184250E-10
1.090000        1.372004E-05       -2.928691E-05       -1.556688E-05        6.184250E-10
1.100000        1.356040E-05       -2.912729E-05       -1.556688E-05        6.184250E-10
1.110000        1.340347E-05       -2.897035E-05       -1.556688E-05        6.184250E-10
1.120000        1.324917E-05       -2.881606E-05       -1.556689E-05        6.184250E-10
1.130000        1.309743E-05       -2.866432E-05       -1.556689E-05        6.184250E-10
1.140000        1.294821E-05       -2.851510E-05       -1.556690E-05        6.184250E-10
1.150000        1.280143E-05       -2.836833E-05       -1.556690E-05        6.184250E-10
1.160000        1.265704E-05       -2.822394E-05       -1.556690E-05        6.184250E-10
1.170000        1.251499E-05       -2.808189E-05       -1.556691E-05        6.184250E-10
1.180000        1.237522E-05       -2.794213E-05       -1.556691E-05        6.184250E-10
1.190000        1.223767E-05       -2.780459E-05       -1.556691E-05        6.184250E-10
1.200000        1.210231E-05       -2.766922E-05       -1.556691E-05        6.184250E-10
1.210000        1.196908E-05       -2.753599E-05       -1.556692E-05        6.184250E-10
1.220000        1.183792E-05       -2.740484E-05       -1.556692E-05        6.184250E-10
1.230000        1.170880E-05       -2.727573E-05       -1.556692E-05        6.184250E-10
1.240000        1.158168E-05       -2.714860E-05       -1.556693E-05        6.184250E-10
1.250000        1.145650E-05       -2.702343E-05       -1.556693E-05        6.184250E-10
1.260000        1.133322E-05       -2.690015E-05       -1.556693E-05        6.184250E-10
1.270000        1.121181E-05       -2.677875E-05       -1.556693E-05        6.184250E-10
1.280000        1.109223E-05       -2.665916E-05       -1.556694E-05        6.184250E-10
1.290000        1.097443E-05       -2.654137E-05       -1.556694E-05        6.184250E-10
1.300000        1.085838E-05       -2.642532E-05       -1.556694E-05        6.184250E-10
1.310000        1.074404E-05       -2.631098E-05       -1.556694E-05        6.184250E-10
