#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0100000            0.998028           0.0827456             0.00000             1.00145
0.0200000            0.992137            0.165167             0.00000             1.00579
0.0300000            0.982401            0.246949             0.00000             1.01296
0.0400000            0.968936            0.327795             0.00000             1.02288
0.0500000            0.951900            0.407434             0.00000             1.03543
0.0600000            0.931481            0.485628             0.00000             1.05047
0.0700000            0.907890            0.562170             0.00000             1.06785
0.0800000            0.881357            0.636893             0.00000             1.08739
0.0900000            0.852118            0.709663             0.00000             1.10893
0.100000            0.820411            0.780382             0.00000             1.13229
0.110000            0.786473            0.848980             0.00000             1.15728
0.120000            0.750531            0.915418             0.00000             1.18376
0.130000            0.712801            0.979679             0.00000             1.21155
0.140000            0.673488             1.04177             0.00000             1.24051
0.150000            0.632781             1.10170             0.00000             1.27049
0.160000            0.590854             1.15952             0.00000             1.30138
0.170000            0.547868             1.21525             0.00000             1.33304
0.180000            0.503968             1.26897             0.00000             1.36538
0.190000            0.459285             1.32071             0.00000             1.39829
0.200000            0.413938             1.37055             0.00000             1.43170
0.210000            0.368033             1.41855             0.00000             1.46551
0.220000            0.321665             1.46476             0.00000             1.49966
0.230000            0.274920             1.50926             0.00000             1.53410
0.240000            0.227874             1.55211             0.00000             1.56875
0.250000            0.180594             1.59338             0.00000             1.60358
0.260000            0.133141             1.63311             0.00000             1.63853
0.270000           0.0855679             1.67139             0.00000             1.67357
0.280000           0.0379221             1.70825             0.00000             1.70867
0.290000         -0.00975398             1.74376             0.00000             1.74379
0.300000          -0.0574232             1.77798             0.00000             1.77890
0.310000           -0.105052             1.81094             0.00000             1.81399
0.320000           -0.152613             1.84271             0.00000             1.84902
0.330000           -0.200078             1.87333             0.00000             1.88398
0.340000           -0.247425             1.90284             0.00000             1.91886
0.350000           -0.294634             1.93129             0.00000             1.95363
0.360000           -0.341687             1.95871             0.00000             1.98829
0.370000           -0.388569             1.98515             0.00000             2.02283
0.380000           -0.435265             2.01065             0.00000             2.05722
0.390000           -0.481765             2.03523             0.00000             2.09147
0.400000           -0.528056             2.05894             0.00000             2.12557
0.410000           -0.574131             2.08179             0.00000             2.15951
0.420000           -0.619980             2.10383             0.00000             2.19328
0.430000           -0.665598             2.12509             0.00000             2.22689
0.440000           -0.710978             2.14558             0.00000             2.26031
0.450000           -0.756115             2.16534             0.00000             2.29356
0.460000           -0.801004             2.18440             0.00000             2.32663
0.470000           -0.845643             2.20276             0.00000             2.35951
0.480000           -0.890027             2.22047             0.00000             2.39220
0.490000           -0.934155             2.23753             0.00000             2.42471
0.500000           -0.978024             2.25398             0.00000             2.45702
0.510000            -1.02163             2.26982             0.00000             2.48914
0.520000            -1.06498             2.28509             0.00000             2.52107
0.530000            -1.10807             2.29979             0.00000             2.55281
0.540000            -1.15089             2.31394             0.00000             2.58435
0.550000            -1.19345             2.32757             0.00000             2.61570
0.560000            -1.23574             2.34068             0.00000             2.64686
0.570000            -1.27777             2.35330             0.00000             2.67782
0.580000            -1.31954             2.36543             0.00000             2.70859
0.590000            -1.36105             2.37709             0.00000             2.73916
0.600000            -1.40230             2.38829             0.00000             2.76954
0.610000            -1.44328             2.39905             0.00000             2.79973
0.620000            -1.48401             2.40938             0.00000             2.82973
0.630000            -1.52448             2.41928             0.00000             2.85954
0.640000            -1.56469             2.42878             0.00000             2.88916
0.650000            -1.60464             2.43789             0.00000             2.91859
0.660000            -1.64434             2.44660             0.00000             2.94783
0.670000            -1.68379             2.45494             0.00000             2.97689
0.680000            -1.72298             2.46291             0.00000             3.00576
0.690000            -1.76192             2.47052             0.00000             3.03444
0.700000            -1.80062             2.47778             0.00000             3.06295
0.710000            -1.83906             2.48471             0.00000             3.09127
0.720000            -1.87727             2.49130             0.00000             3.11941
0.730000            -1.91522             2.49756             0.00000             3.14736
0.740000            -1.95294             2.50351             0.00000             3.17515
0.750000            -1.99041             2.50916             0.00000             3.20275
0.760000            -2.02764             2.51450             0.00000             3.23018
0.770000            -2.06464             2.51954             0.00000             3.25743
0.780000            -2.10140             2.52430             0.00000             3.28451
0.790000            -2.13793             2.52878             0.00000             3.31141
0.800000            -2.17422             2.53298             0.00000             3.33815
0.810000            -2.21029             2.53691             0.00000             3.36471
0.820000            -2.24612             2.54058             0.00000             3.39111
0.830000            -2.28173             2.54399             0.00000             3.41734
0.840000            -2.31711             2.54715             0.00000             3.44340
0.850000            -2.35227             2.55007             0.00000             3.46930
0.860000            -2.38720             2.55274             0.00000             3.49503
0.870000            -2.42192             2.55518             0.00000             3.52060
0.880000            -2.45641             2.55738             0.00000             3.54601
0.890000            -2.49069             2.55936             0.00000             3.57126
0.900000            -2.52475             2.56112             0.00000             3.59635
0.910000            -2.55860             2.56266             0.00000             3.62128
0.920000            -2.59224             2.56399             0.00000             3.64606
0.930000            -2.62566             2.56511             0.00000             3.67068
0.940000            -2.65887             2.56602             0.00000             3.69514
0.950000            -2.69188             2.56673             0.00000             3.71945
0.960000            -2.72468             2.56725             0.00000             3.74362
0.970000            -2.75728             2.56757             0.00000             3.76762
0.980000            -2.78967             2.56771             0.00000             3.79148
0.990000            -2.82186             2.56765             0.00000             3.81519
1.00000            -2.85384             2.56742             0.00000             3.83876
1.01000            -2.88563             2.56700             0.00000             3.86217
1.02000            -2.91722             2.56641             0.00000             3.88544
1.03000            -2.94862             2.56565             0.00000             3.90857
1.04000            -2.97982             2.56472             0.00000             3.93155
1.05000            -3.01083             2.56362             0.00000             3.95439
1.06000            -3.04164             2.56235             0.00000             3.97709
1.07000            -3.07226             2.56093             0.00000             3.99965
1.08000            -3.10270             2.55935             0.00000             4.02206
1.09000            -3.13294             2.55761             0.00000             4.04434
1.10000            -3.16300             2.55572             0.00000             4.06649
1.11000            -3.19288             2.55368             0.00000             4.08849
1.12000            -3.22256             2.55149             0.00000             4.11036
1.13000            -3.25207             2.54916             0.00000             4.13209
1.14000            -3.28139             2.54669             0.00000             4.15369
1.15000            -3.31054             2.54407             0.00000             4.17516
1.16000            -3.33950             2.54132             0.00000             4.19649
1.17000            -3.36828             2.53843             0.00000             4.21770
1.18000            -3.39689             2.53541             0.00000             4.23877
1.19000            -3.42532             2.53225             0.00000             4.25971
1.20000            -3.45358             2.52897             0.00000             4.28052
1.21000            -3.48166             2.52556             0.00000             4.30121
1.22000            -3.50957             2.52202             0.00000             4.32177
1.23000            -3.53731             2.51836             0.00000             4.34220
1.24000            -3.56488             2.51458             0.00000             4.36251
1.25000            -3.59228             2.51068             0.00000             4.38269
