#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0100000            0.998026           0.0828000             0.00000             1.00145
0.0200000            0.992129            0.165275             0.00000             1.00580
0.0300000            0.982383            0.247108             0.00000             1.01299
0.0400000            0.968906            0.328003             0.00000             1.02292
0.0500000            0.951855            0.407688             0.00000             1.03549
0.0600000            0.931419            0.485923             0.00000             1.05055
0.0700000            0.907813            0.562504             0.00000             1.06796
0.0800000            0.881263            0.637262             0.00000             1.08753
0.0900000            0.852009            0.710063             0.00000             1.10910
0.100000            0.820290            0.780810             0.00000             1.13249
0.110000            0.786341            0.849435             0.00000             1.15753
0.120000            0.750390            0.915898             0.00000             1.18404
0.130000            0.712655            0.980182             0.00000             1.21187
0.140000            0.673339             1.04229             0.00000             1.24087
0.150000            0.632632             1.10225             0.00000             1.27090
0.160000            0.590708             1.16009             0.00000             1.30182
0.170000            0.547727             1.21585             0.00000             1.33352
0.180000            0.503834             1.26958             0.00000             1.36590
0.190000            0.459161             1.32135             0.00000             1.39886
0.200000            0.413825             1.37122             0.00000             1.43230
0.210000            0.367934             1.41924             0.00000             1.46616
0.220000            0.321581             1.46548             0.00000             1.50035
0.230000            0.274853             1.51002             0.00000             1.53483
0.240000            0.227825             1.55290             0.00000             1.56952
0.250000            0.180564             1.59419             0.00000             1.60439
0.260000            0.133130             1.63397             0.00000             1.63938
0.270000           0.0855770             1.67228             0.00000             1.67446
0.280000           0.0379521             1.70918             0.00000             1.70960
0.290000         -0.00970277             1.74473             0.00000             1.74476
0.300000          -0.0573505             1.77899             0.00000             1.77991
0.310000           -0.104958             1.81200             0.00000             1.81503
0.320000           -0.152496             1.84381             0.00000             1.85010
0.330000           -0.199939             1.87447             0.00000             1.88511
0.340000           -0.247265             1.90403             0.00000             1.92002
0.350000           -0.294452             1.93253             0.00000             1.95483
0.360000           -0.341484             1.96001             0.00000             1.98953
0.370000           -0.388345             1.98650             0.00000             2.02410
0.380000           -0.435020             2.01205             0.00000             2.05854
0.390000           -0.481499             2.03668             0.00000             2.09283
0.400000           -0.527771             2.06044             0.00000             2.12696
0.410000           -0.573826             2.08336             0.00000             2.16094
0.420000           -0.619656             2.10546             0.00000             2.19475
0.430000           -0.665255             2.12677             0.00000             2.22839
0.440000           -0.710617             2.14733             0.00000             2.26186
0.450000           -0.755736             2.16715             0.00000             2.29514
0.460000           -0.800609             2.18626             0.00000             2.32824
0.470000           -0.845231             2.20469             0.00000             2.36116
0.480000           -0.889599             2.22246             0.00000             2.39389
0.490000           -0.933712             2.23959             0.00000             2.42644
0.500000           -0.977567             2.25610             0.00000             2.45879
0.510000            -1.02116             2.27202             0.00000             2.49095
0.520000            -1.06450             2.28735             0.00000             2.52292
0.530000            -1.10757             2.30212             0.00000             2.55469
0.540000            -1.15038             2.31634             0.00000             2.58627
0.550000            -1.19293             2.33003             0.00000             2.61766
0.560000            -1.23521             2.34322             0.00000             2.64885
0.570000            -1.27723             2.35590             0.00000             2.67985
0.580000            -1.31899             2.36810             0.00000             2.71066
0.590000            -1.36049             2.37984             0.00000             2.74127
0.600000            -1.40173             2.39111             0.00000             2.77169
0.610000            -1.44271             2.40194             0.00000             2.80192
0.620000            -1.48343             2.41235             0.00000             2.83196
0.630000            -1.52389             2.42233             0.00000             2.86180
0.640000            -1.56410             2.43190             0.00000             2.89146
0.650000            -1.60405             2.44108             0.00000             2.92093
0.660000            -1.64374             2.44987             0.00000             2.95021
0.670000            -1.68319             2.45828             0.00000             2.97931
0.680000            -1.72238             2.46633             0.00000             3.00822
0.690000            -1.76132             2.47402             0.00000             3.03694
0.700000            -1.80001             2.48136             0.00000             3.06548
0.710000            -1.83846             2.48836             0.00000             3.09384
0.720000            -1.87666             2.49503             0.00000             3.12202
0.730000            -1.91462             2.50137             0.00000             3.15002
0.740000            -1.95234             2.50740             0.00000             3.17784
0.750000            -1.98981             2.51312             0.00000             3.20549
0.760000            -2.02705             2.51854             0.00000             3.23295
0.770000            -2.06405             2.52367             0.00000             3.26025
0.780000            -2.10082             2.52851             0.00000             3.28737
0.790000            -2.13735             2.53306             0.00000             3.31431
0.800000            -2.17365             2.53734             0.00000             3.34109
0.810000            -2.20972             2.54136             0.00000             3.36769
0.820000            -2.24556             2.54511             0.00000             3.39413
0.830000            -2.28118             2.54860             0.00000             3.42040
0.840000            -2.31657             2.55184             0.00000             3.44651
0.850000            -2.35174             2.55484             0.00000             3.47244
0.860000            -2.38668             2.55759             0.00000             3.49822
0.870000            -2.42141             2.56011             0.00000             3.52383
0.880000            -2.45591             2.56240             0.00000             3.54928
0.890000            -2.49020             2.56446             0.00000             3.57458
0.900000            -2.52428             2.56631             0.00000             3.59971
0.910000            -2.55814             2.56793             0.00000             3.62468
0.920000            -2.59179             2.56934             0.00000             3.64950
0.930000            -2.62523             2.57054             0.00000             3.67417
0.940000            -2.65846             2.57154             0.00000             3.69868
0.950000            -2.69148             2.57233             0.00000             3.72303
0.960000            -2.72429             2.57293             0.00000             3.74724
0.970000            -2.75691             2.57334             0.00000             3.77129
0.980000            -2.78932             2.57356             0.00000             3.79519
0.990000            -2.82152             2.57359             0.00000             3.81895
1.00000            -2.85353             2.57344             0.00000             3.84255
1.01000            -2.88534             2.57311             0.00000             3.86601
1.02000            -2.91695             2.57260             0.00000             3.88933
1.03000            -2.94837             2.57192             0.00000             3.91250
1.04000            -2.97959             2.57108             0.00000             3.93553
1.05000            -3.01062             2.57006             0.00000             3.95841
1.06000            -3.04145             2.56888             0.00000             3.98116
1.07000            -3.07210             2.56754             0.00000             4.00376
1.08000            -3.10256             2.56605             0.00000             4.02622
1.09000            -3.13283             2.56440             0.00000             4.04855
1.10000            -3.16291             2.56259             0.00000             4.07074
