#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         0.000118570        -0.000118569         9.10678E-10        7.122286E-10
0.01000000        0.0001183371       -0.0001183362        9.097729E-10        7.122286E-10
0.02000000        0.0001176463       -0.0001176454        9.080565E-10        7.122286E-10
0.03000000        0.0001165243       -0.0001165234        9.057572E-10        7.122286E-10
0.04000000        0.0001150118       -0.0001150109        9.031729E-10        7.122286E-10
0.05000000        0.0001131600       -0.0001131591        9.005947E-10        7.122286E-10
0.06000000        0.0001110263       -0.0001110254        8.982483E-10        7.122286E-10
0.07000000        0.0001086700       -0.0001086691        8.962675E-10        7.122286E-10
0.08000000        0.0001061485       -0.0001061476        8.946984E-10        7.122286E-10
0.09000000        0.0001035148       -0.0001035139        8.935216E-10        7.122286E-10
0.1000000        0.0001008157       -0.0001008148        8.926798E-10        7.122286E-10
0.1100000        9.809126E-05       -9.809036E-05        8.921018E-10        7.122286E-10
0.1200000        9.537418E-05       -9.537329E-05        8.917181E-10        7.122286E-10
0.1300000        9.269066E-05       -9.268976E-05        8.914696E-10        7.122286E-10
0.1400000        9.006082E-05       -9.005993E-05        8.913106E-10        7.122286E-10
0.1500000        8.749959E-05       -8.749870E-05        8.912081E-10        7.122286E-10
0.1600000        8.501750E-05       -8.501661E-05        8.911393E-10        7.122286E-10
0.1700000        8.262153E-05       -8.262064E-05        8.910896E-10        7.122286E-10
0.1800000        8.031577E-05       -8.031487E-05        8.910503E-10        7.122286E-10
0.1900000        7.810208E-05       -7.810119E-05        8.910160E-10        7.122286E-10
0.2000000        7.598062E-05       -7.597973E-05        8.909841E-10        7.122286E-10
0.2100000        7.395027E-05       -7.394937E-05        8.909533E-10        7.122286E-10
0.2200000        7.200895E-05       -7.200806E-05        8.909233E-10        7.122286E-10
0.2300000        7.015395E-05       -7.015306E-05        8.908939E-10        7.122286E-10
0.2400000        6.838210E-05       -6.838121E-05        8.908653E-10        7.122286E-10
0.2500000        6.668998E-05       -6.668908E-05        8.908379E-10        7.122286E-10
0.2600000        6.507398E-05       -6.507309E-05        8.908117E-10        7.122286E-10
0.2700000        6.353049E-05       -6.352960E-05        8.907870E-10        7.122286E-10
0.2800000        6.205587E-05       -6.205498E-05        8.907639E-10        7.122286E-10
0.2900000        6.064658E-05       -6.064569E-05        8.907423E-10        7.122286E-10
0.3000000        5.929917E-05       -5.929828E-05        8.907224E-10        7.122286E-10
0.3100000        5.801032E-05       -5.800942E-05        8.907040E-10        7.122286E-10
0.3200000        5.677684E-05       -5.677595E-05        8.906872E-10        7.122286E-10
0.3300000        5.559573E-05       -5.559483E-05        8.906718E-10        7.122286E-10
0.3400000        5.446410E-05       -5.446321E-05        8.906578E-10        7.122286E-10
0.3500000        5.337924E-05       -5.337835E-05        8.906450E-10        7.122286E-10
0.3600000        5.233860E-05       -5.233771E-05        8.906334E-10        7.122286E-10
0.3700000        5.133976E-05       -5.133887E-05        8.906228E-10        7.122286E-10
0.3800000        5.038045E-05       -5.037956E-05        8.906133E-10        7.122286E-10
0.3900000        4.945854E-05       -4.945765E-05        8.906046E-10        7.122286E-10
0.4000000        4.857203E-05       -4.857114E-05        8.905968E-10        7.122286E-10
0.4100000        4.771903E-05       -4.771814E-05        8.905897E-10        7.122286E-10
0.4200000        4.689780E-05       -4.689690E-05        8.905832E-10        7.122286E-10
0.4300000        4.610666E-05       -4.610577E-05        8.905774E-10        7.122286E-10
0.4400000        4.534407E-05       -4.534318E-05        8.905721E-10        7.122286E-10
0.4500000        4.460858E-05       -4.460769E-05        8.905673E-10        7.122286E-10
0.4600000        4.389881E-05       -4.389792E-05        8.905630E-10        7.122286E-10
