#Time(Yr)                K_Ea                U_Ea             Etot_Ea                L_Ea
0.00000         0.000118570        -0.000118569         9.10678E-10        7.122286E-10
0.01000000        0.0001183377       -0.0001183359        1.831045E-09        7.122286E-10
0.02000000        0.0001176487       -0.0001176442        4.498018E-09        7.122286E-10
0.03000000        0.0001165294       -0.0001165208        8.648186E-09        7.122286E-10
0.04000000        0.0001150203       -0.0001150064        1.389961E-08        7.122286E-10
0.05000000        0.0001131722       -0.0001131524        1.981868E-08        7.122286E-10
0.06000000        0.0001110423       -0.0001110163        2.598484E-08        7.122286E-10
0.07000000        0.0001086896       -0.0001086576        3.203936E-08        7.122286E-10
0.08000000        0.0001061713       -0.0001061336        3.771191E-08        7.122286E-10
0.09000000        0.0001035403       -0.0001034975        4.282634E-08        7.122286E-10
0.1000000        0.0001008436       -0.0001007963        4.729150E-08        7.122286E-10
0.1100000        9.812083E-05       -9.806974E-05        5.108380E-08        7.122286E-10
0.1200000        9.540507E-05       -9.535084E-05        5.422762E-08        7.122286E-10
0.1300000        9.272248E-05       -9.266570E-05        5.677733E-08        7.122286E-10
0.1400000        9.009327E-05       -9.003447E-05        5.880279E-08        7.122286E-10
0.1500000        8.753242E-05       -8.747205E-05        6.037887E-08        7.122286E-10
0.1600000        8.505054E-05       -8.498896E-05        6.157853E-08        7.122286E-10
0.1700000        8.265463E-05       -8.259216E-05        6.246879E-08        7.122286E-10
0.1800000        8.034884E-05       -8.028573E-05        6.310879E-08        7.122286E-10
0.1900000        7.813506E-05       -7.807151E-05        6.354916E-08        7.122286E-10
0.2000000        7.601348E-05       -7.594965E-05        6.383236E-08        7.122286E-10
0.2100000        7.398299E-05       -7.391900E-05        6.399332E-08        7.122286E-10
0.2200000        7.204153E-05       -7.197747E-05        6.406045E-08        7.122286E-10
0.2300000        7.018640E-05       -7.012234E-05        6.405655E-08        7.122286E-10
0.2400000        6.841443E-05       -6.835043E-05        6.399978E-08        7.122286E-10
0.2500000        6.672221E-05       -6.665830E-05        6.390446E-08        7.122286E-10
0.2600000        6.510614E-05       -6.504236E-05        6.378180E-08        7.122286E-10
0.2700000        6.356259E-05       -6.349895E-05        6.364052E-08        7.122286E-10
