#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0100000            0.998029           0.0887996             0.00000             1.00197
0.0200000            0.992146            0.177252             0.00000             1.00785
0.0300000            0.982441            0.265023             0.00000             1.01756
0.0400000            0.969059            0.351803             0.00000             1.03094
0.0500000            0.952188            0.437320             0.00000             1.04781
0.0600000            0.932052            0.521340             0.00000             1.06795
0.0700000            0.908895            0.603673             0.00000             1.09111
0.0800000            0.882977            0.684176             0.00000             1.11702
0.0900000            0.854557            0.762743             0.00000             1.14545
0.100000            0.823891            0.839310             0.00000             1.17611
0.110000            0.791225            0.913842             0.00000             1.20878
0.120000            0.756789            0.986333             0.00000             1.24321
0.130000            0.720796             1.05680             0.00000             1.27921
0.140000            0.683443             1.12527             0.00000             1.31656
0.150000            0.644905             1.19180             0.00000             1.35510
0.160000            0.605343             1.25644             0.00000             1.39466
0.170000            0.564899             1.31925             0.00000             1.43511
0.180000            0.523699             1.38030             0.00000             1.47631
0.190000            0.481855             1.43965             0.00000             1.51815
0.200000            0.439467             1.49738             0.00000             1.56054
0.210000            0.396622             1.55356             0.00000             1.60339
0.220000            0.353395             1.60824             0.00000             1.64661
0.230000            0.309856             1.66151             0.00000             1.69015
0.240000            0.266062             1.71341             0.00000             1.73395
0.250000            0.222067             1.76402             0.00000             1.77794
0.260000            0.177915             1.81339             0.00000             1.82210
0.270000            0.133647             1.86157             0.00000             1.86637
0.280000           0.0892967             1.90863             0.00000             1.91072
0.290000           0.0448959             1.95460             0.00000             1.95512
0.300000         0.000471152             1.99954             0.00000             1.99954
0.310000          -0.0439541             2.04350             0.00000             2.04397
0.320000          -0.0883592             2.08650             0.00000             2.08838
0.330000           -0.132726             2.12861             0.00000             2.13274
0.340000           -0.177039             2.16985             0.00000             2.17706
0.350000           -0.221285             2.21025             0.00000             2.22130
0.360000           -0.265451             2.24986             0.00000             2.26547
0.370000           -0.309527             2.28871             0.00000             2.30955
0.380000           -0.353504             2.32682             0.00000             2.35352
0.390000           -0.397374             2.36423             0.00000             2.39739
0.400000           -0.441130             2.40096             0.00000             2.44115
0.410000           -0.484767             2.43704             0.00000             2.48479
0.420000           -0.528279             2.47249             0.00000             2.52830
0.430000           -0.571661             2.50734             0.00000             2.57168
0.440000           -0.614912             2.54161             0.00000             2.61494
0.450000           -0.658026             2.57531             0.00000             2.65805
0.460000           -0.701002             2.60848             0.00000             2.70103
0.470000           -0.743838             2.64112             0.00000             2.74386
0.480000           -0.786532             2.67325             0.00000             2.78656
0.490000           -0.829082             2.70490             0.00000             2.82911
0.500000           -0.871488             2.73608             0.00000             2.87151
0.510000           -0.913748             2.76679             0.00000             2.91378
0.520000           -0.955863             2.79707             0.00000             2.95589
0.530000           -0.997831             2.82692             0.00000             2.99786
0.540000            -1.03965             2.85636             0.00000             3.03968
0.550000            -1.08133             2.88540             0.00000             3.08136
0.560000            -1.12286             2.91404             0.00000             3.12289
0.570000            -1.16424             2.94231             0.00000             3.16428
0.580000            -1.20548             2.97021             0.00000             3.20552
0.590000            -1.24658             2.99775             0.00000             3.24661
0.600000            -1.28753             3.02495             0.00000             3.28756
0.610000            -1.32834             3.05182             0.00000             3.32837
0.620000            -1.36901             3.07835             0.00000             3.36904
0.630000            -1.40953             3.10457             0.00000             3.40957
0.640000            -1.44991             3.13048             0.00000             3.44995
0.650000            -1.49016             3.15609             0.00000             3.49020
0.660000            -1.53027             3.18140             0.00000             3.53030
0.670000            -1.57024             3.20643             0.00000             3.57027
0.680000            -1.61007             3.23118             0.00000             3.61011
0.690000            -1.64977             3.25566             0.00000             3.64981
0.700000            -1.68933             3.27988             0.00000             3.68937
0.710000            -1.72876             3.30384             0.00000             3.72880
0.720000            -1.76806             3.32754             0.00000             3.76810
0.730000            -1.80723             3.35100             0.00000             3.80727
0.740000            -1.84627             3.37423             0.00000             3.84631
0.750000            -1.88518             3.39721             0.00000             3.88522
0.760000            -1.92397             3.41997             0.00000             3.92401
0.770000            -1.96263             3.44251             0.00000             3.96267
0.780000            -2.00116             3.46482             0.00000             4.00120
0.790000            -2.03957             3.48693             0.00000             4.03962
0.800000            -2.07786             3.50882             0.00000             4.07791
0.810000            -2.11603             3.53051             0.00000             4.11607
0.820000            -2.15408             3.55200             0.00000             4.15412
0.830000            -2.19201             3.57329             0.00000             4.19205
0.840000            -2.22982             3.59440             0.00000             4.22987
0.850000            -2.26752             3.61531             0.00000             4.26756
0.860000            -2.30510             3.63604             0.00000             4.30515
0.870000            -2.34256             3.65659             0.00000             4.34261
0.880000            -2.37992             3.67697             0.00000             4.37997
0.890000            -2.41716             3.69717             0.00000             4.41721
0.900000            -2.45429             3.71721             0.00000             4.45434
0.910000            -2.49131             3.73707             0.00000             4.49136
0.920000            -2.52823             3.75678             0.00000             4.52828
0.930000            -2.56503             3.77632             0.00000             4.56508
0.940000            -2.60173             3.79571             0.00000             4.60178
0.950000            -2.63832             3.81494             0.00000             4.63838
0.960000            -2.67481             3.83403             0.00000             4.67487
0.970000            -2.71120             3.85296             0.00000             4.71125
0.980000            -2.74748             3.87175             0.00000             4.74754
0.990000            -2.78367             3.89040             0.00000             4.78372
1.00000            -2.81975             3.90890             0.00000             4.81980
1.01000            -2.85573             3.92727             0.00000             4.85579
1.02000            -2.89161             3.94551             0.00000             4.89167
1.03000            -2.92740             3.96361             0.00000             4.92746
1.04000            -2.96309             3.98157             0.00000             4.96315
1.05000            -2.99868             3.99942             0.00000             4.99874
1.06000            -3.03418             4.01713             0.00000             5.03424
1.07000            -3.06959             4.03472             0.00000             5.06965
1.08000            -3.10490             4.05219             0.00000             5.10496
1.09000            -3.14012             4.06954             0.00000             5.14018
1.10000            -3.17525             4.08676             0.00000             5.17531
1.11000            -3.21029             4.10388             0.00000             5.21035
1.12000            -3.24524             4.12088             0.00000             5.24530
1.13000            -3.28010             4.13776             0.00000             5.28016
1.14000            -3.31487             4.15454             0.00000             5.31494
1.15000            -3.34956             4.17120             0.00000             5.34962
1.16000            -3.38416             4.18776             0.00000             5.38422
1.17000            -3.41867             4.20421             0.00000             5.41873
1.18000            -3.45310             4.22056             0.00000             5.45316
1.19000            -3.48744             4.23680             0.00000             5.48751
1.20000            -3.52170             4.25295             0.00000             5.52177
1.21000            -3.55588             4.26899             0.00000             5.55595
1.22000            -3.58998             4.28493             0.00000             5.59005
1.23000            -3.62399             4.30078             0.00000             5.62406
1.24000            -3.65793             4.31654             0.00000             5.65800
1.25000            -3.69178             4.33220             0.00000             5.69185
1.26000            -3.72556             4.34776             0.00000             5.72563
1.27000            -3.75926             4.36324             0.00000             5.75933
1.28000            -3.79288             4.37862             0.00000             5.79295
1.29000            -3.82642             4.39392             0.00000             5.82649
1.30000            -3.85989             4.40913             0.00000             5.85996
1.31000            -3.89328             4.42425             0.00000             5.89335
1.32000            -3.92660             4.43928             0.00000             5.92667
1.33000            -3.95984             4.45424             0.00000             5.95991
1.34000            -3.99300             4.46910             0.00000             5.99308
1.35000            -4.02610             4.48389             0.00000             6.02617
1.36000            -4.05912             4.49860             0.00000             6.05920
1.37000            -4.09207             4.51322             0.00000             6.09215
1.38000            -4.12495             4.52777             0.00000             6.12502
1.39000            -4.15776             4.54224             0.00000             6.15783
1.40000            -4.19049             4.55663             0.00000             6.19057
