#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0100000            0.998026           0.0888580             0.00000             1.00197
0.0200000            0.992135            0.177367             0.00000             1.00786
0.0300000            0.982419            0.265193             0.00000             1.01758
0.0400000            0.969021            0.352024             0.00000             1.03098
0.0500000            0.952133            0.437588             0.00000             1.04787
0.0600000            0.931978            0.521650             0.00000             1.06804
0.0700000            0.908803            0.604022             0.00000             1.09122
0.0800000            0.882866            0.684558             0.00000             1.11717
0.0900000            0.854430            0.763157             0.00000             1.14563
0.100000            0.823751            0.839751             0.00000             1.17633
0.110000            0.791074            0.914309             0.00000             1.20903
0.120000            0.756629            0.986825             0.00000             1.24351
0.130000            0.720631             1.05731             0.00000             1.27954
0.140000            0.683275             1.12581             0.00000             1.31693
0.150000            0.644738             1.19236             0.00000             1.35551
0.160000            0.605179             1.25702             0.00000             1.39512
0.170000            0.564741             1.31986             0.00000             1.43560
0.180000            0.523548             1.38093             0.00000             1.47684
0.190000            0.481714             1.44031             0.00000             1.51873
0.200000            0.439337             1.49807             0.00000             1.56116
0.210000            0.396505             1.55427             0.00000             1.60405
0.220000            0.353293             1.60898             0.00000             1.64731
0.230000            0.309769             1.66228             0.00000             1.69089
0.240000            0.265992             1.71422             0.00000             1.73473
0.250000            0.222014             1.76486             0.00000             1.77877
0.260000            0.177880             1.81426             0.00000             1.82296
0.270000            0.133630             1.86248             0.00000             1.86727
0.280000           0.0892990             1.90957             0.00000             1.91166
0.290000           0.0449178             1.95558             0.00000             1.95610
0.300000         0.000512800             2.00056             0.00000             2.00056
0.310000          -0.0438924             2.04456             0.00000             2.04503
0.320000          -0.0882774             2.08761             0.00000             2.08947
0.330000           -0.132624             2.12975             0.00000             2.13388
0.340000           -0.176917             2.17104             0.00000             2.17823
0.350000           -0.221142             2.21149             0.00000             2.22252
0.360000           -0.265288             2.25115             0.00000             2.26672
0.370000           -0.309344             2.29004             0.00000             2.31084
0.380000           -0.353301             2.32820             0.00000             2.35485
0.390000           -0.397151             2.36566             0.00000             2.39876
0.400000           -0.440887             2.40244             0.00000             2.44256
0.410000           -0.484504             2.43857             0.00000             2.48623
0.420000           -0.527997             2.47407             0.00000             2.52979
0.430000           -0.571361             2.50897             0.00000             2.57321
0.440000           -0.614592             2.54329             0.00000             2.61650
0.450000           -0.657688             2.57705             0.00000             2.65965
0.460000           -0.700646             2.61027             0.00000             2.70267
0.470000           -0.743464             2.64296             0.00000             2.74554
0.480000           -0.786140             2.67516             0.00000             2.78827
0.490000           -0.828673             2.70686             0.00000             2.83086
0.500000           -0.871062             2.73809             0.00000             2.87331
0.510000           -0.913305             2.76887             0.00000             2.91561
0.520000           -0.955404             2.79921             0.00000             2.95776
0.530000           -0.997356             2.82912             0.00000             2.99977
0.540000            -1.03916             2.85861             0.00000             3.04163
0.550000            -1.08082             2.88771             0.00000             3.08335
0.560000            -1.12234             2.91641             0.00000             3.12492
0.570000            -1.16371             2.94474             0.00000             3.16634
0.580000            -1.20493             2.97270             0.00000             3.20762
0.590000            -1.24602             3.00031             0.00000             3.24876
0.600000            -1.28695             3.02757             0.00000             3.28975
0.610000            -1.32775             3.05450             0.00000             3.33060
0.620000            -1.36840             3.08110             0.00000             3.37130
0.630000            -1.40891             3.10738             0.00000             3.41187
0.640000            -1.44929             3.13335             0.00000             3.45229
0.650000            -1.48952             3.15902             0.00000             3.49258
0.660000            -1.52961             3.18440             0.00000             3.53272
0.670000            -1.56957             3.20950             0.00000             3.57273
0.680000            -1.60939             3.23431             0.00000             3.61261
0.690000            -1.64908             3.25886             0.00000             3.65234
0.700000            -1.68863             3.28314             0.00000             3.69195
0.710000            -1.72806             3.30716             0.00000             3.73142
0.720000            -1.76735             3.33094             0.00000             3.77076
0.730000            -1.80651             3.35446             0.00000             3.80997
0.740000            -1.84554             3.37775             0.00000             3.84905
0.750000            -1.88444             3.40081             0.00000             3.88801
0.760000            -1.92322             3.42363             0.00000             3.92683
0.770000            -1.96187             3.44623             0.00000             3.96553
0.780000            -2.00040             3.46862             0.00000             4.00411
0.790000            -2.03880             3.49079             0.00000             4.04256
0.800000            -2.07708             3.51275             0.00000             4.08089
0.810000            -2.11524             3.53451             0.00000             4.11910
0.820000            -2.15328             3.55607             0.00000             4.15719
0.830000            -2.19121             3.57743             0.00000             4.19517
0.840000            -2.22901             3.59860             0.00000             4.23302
0.850000            -2.26671             3.61959             0.00000             4.27076
0.860000            -2.30428             3.64039             0.00000             4.30838
0.870000            -2.34174             3.66101             0.00000             4.34589
0.880000            -2.37909             3.68146             0.00000             4.38329
0.890000            -2.41633             3.70173             0.00000             4.42057
0.900000            -2.45346             3.72183             0.00000             4.45775
0.910000            -2.49048             3.74177             0.00000             4.49481
0.920000            -2.52738             3.76155             0.00000             4.53177
0.930000            -2.56419             3.78116             0.00000             4.56862
0.940000            -2.60088             3.80062             0.00000             4.60536
0.950000            -2.63747             3.81993             0.00000             4.64199
0.960000            -2.67396             3.83908             0.00000             4.67853
0.970000            -2.71035             3.85809             0.00000             4.71496
0.980000            -2.74663             3.87695             0.00000             4.75128
0.990000            -2.78281             3.89567             0.00000             4.78751
1.00000            -2.81889             3.91425             0.00000             4.82364
1.01000            -2.85487             3.93269             0.00000             4.85966
1.02000            -2.89075             3.95099             0.00000             4.89559
1.03000            -2.92654             3.96917             0.00000             4.93142
