#Time(Yr)                X_Ea                Y_Ea                Z_Ea             R_earth
0.00000             1.00000             0.00000             0.00000             1.00000
0.0100000            0.998026           0.0888570             0.00000             1.00197
0.0200000            0.992135            0.177365             0.00000             1.00786
0.0300000            0.982419            0.265190             0.00000             1.01758
0.0400000            0.969021            0.352020             0.00000             1.03098
0.0500000            0.952133            0.437583             0.00000             1.04787
0.0600000            0.931978            0.521644             0.00000             1.06803
0.0700000            0.908803            0.604015             0.00000             1.09122
0.0800000            0.882866            0.684551             0.00000             1.11717
0.0900000            0.854430            0.763148             0.00000             1.14562
0.100000            0.823750            0.839742             0.00000             1.17632
0.110000            0.791073            0.914299             0.00000             1.20902
0.120000            0.756628            0.986813             0.00000             1.24350
0.130000            0.720630             1.05730             0.00000             1.27953
0.140000            0.683274             1.12580             0.00000             1.31692
0.150000            0.644736             1.19235             0.00000             1.35550
0.160000            0.605177             1.25701             0.00000             1.39510
0.170000            0.564738             1.31984             0.00000             1.43559
0.180000            0.523545             1.38091             0.00000             1.47683
0.190000            0.481711             1.44029             0.00000             1.51871
0.200000            0.439333             1.49804             0.00000             1.56114
0.210000            0.396500             1.55425             0.00000             1.60402
0.220000            0.353288             1.60896             0.00000             1.64729
0.230000            0.309763             1.66225             0.00000             1.69087
0.240000            0.265986             1.71419             0.00000             1.73470
0.250000            0.222007             1.76483             0.00000             1.77874
0.260000            0.177873             1.81423             0.00000             1.82293
0.270000            0.133622             1.86245             0.00000             1.86724
0.280000           0.0892911             1.90954             0.00000             1.91162
0.290000           0.0449093             1.95555             0.00000             1.95606
0.300000         0.000503807             2.00053             0.00000             2.00053
0.310000          -0.0439019             2.04452             0.00000             2.04499
0.320000          -0.0882874             2.08757             0.00000             2.08943
0.330000           -0.132635             2.12971             0.00000             2.13384
0.340000           -0.176928             2.17099             0.00000             2.17819
0.350000           -0.221154             2.21144             0.00000             2.22247
0.360000           -0.265300             2.25110             0.00000             2.26668
0.370000           -0.309356             2.28999             0.00000             2.31079
0.380000           -0.353314             2.32815             0.00000             2.35481
0.390000           -0.397164             2.36561             0.00000             2.39871
0.400000           -0.440901             2.40238             0.00000             2.44251
0.410000           -0.484518             2.43851             0.00000             2.48618
0.420000           -0.528011             2.47401             0.00000             2.52973
0.430000           -0.571376             2.50891             0.00000             2.57315
0.440000           -0.614607             2.54323             0.00000             2.61644
0.450000           -0.657704             2.57699             0.00000             2.65959
0.460000           -0.700662             2.61020             0.00000             2.70261
