#Time(Yr)                K_Me                U_Me             Etot_Me                L_Me                K_Ve                U_Ve             Etot_Ve                L_Ve                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ma                U_Ma             Etot_Ma                L_Ma                K_Ju                U_Ju             Etot_Ju                L_Ju                K_Sa                U_Sa             Etot_Sa                L_Sa                K_Ur                U_Ur             Etot_Ur                L_Ur                K_Ne                U_Ne             Etot_Ne                L_Ne                K_Pl                U_Pl             Etot_pl                L_Pl
0.00000         5.57718E-06        -1.39010E-05        -8.32384E-06        4.119781E-13        6.582935E-05       -0.0001333713       -6.754191E-05        1.693322E-10        5.942220E-05       -0.0001179022       -5.848005E-05        3.610031E-10        4.434513E-06       -8.672019E-06       -4.237507E-06        6.136500E-12         0.003936531        -0.007581671        -0.003645140        0.0001856658        0.0006395503        -0.001234591       -0.0005950407        3.062323E-05        4.156134E-05       -8.658860E-05       -4.502725E-05        1.440277E-06        3.368842E-05       -6.760584E-05       -3.391742E-05        3.147207E-06        5.301877E-08       -8.586556E-08       -3.284679E-08        6.334386E-12
0.05000000        7.019147E-06       -1.554423E-05       -8.525085E-06        3.991568E-13        6.946468E-05       -0.0001344997       -6.503504E-05        1.756536E-10        6.267466E-05       -0.0001171237       -5.444908E-05        3.856879E-10        4.809755E-06       -8.530849E-06       -3.721094E-06        6.870592E-12         0.005245505        -0.007577244        -0.002331739        0.0002477704         0.001037119        -0.001235252       -0.0001981332        4.955031E-05        9.858168E-05       -8.658138E-05        1.200030E-05        3.419028E-06        9.877170E-05       -6.760633E-05        3.116537E-05        9.227802E-06        1.117775E-07       -8.583146E-08        2.594600E-08        1.276550E-11
0.1000000        1.200744E-05       -2.131823E-05       -9.310789E-06        3.688675E-13        7.368945E-05       -0.0001354069       -6.171745E-05        1.839185E-10        6.509507E-05       -0.0001159031       -5.080804E-05        4.082836E-10        5.023976E-06       -8.378425E-06       -3.354449E-06        7.411674E-12         0.006210851        -0.007572437        -0.001361586        0.0002936821         0.001329815        -0.001236033        9.378233E-05        6.348431E-05        0.0001420196       -8.657522E-05        5.544438E-05        4.926287E-06        0.0001493121       -6.760628E-05        8.170585E-05        1.394942E-05        1.682941E-07       -8.577864E-08        8.251543E-08        1.920275E-11
0.1500000        5.839251E-06       -1.997525E-05       -1.413600E-05        2.077578E-13        7.092406E-05       -0.0001361272       -6.520315E-05        1.750884E-10        6.071144E-05       -0.0001150175       -5.430603E-05        3.877061E-10        4.379738E-06       -8.248998E-06       -3.869260E-06        6.722409E-12         0.005122290        -0.007566810        -0.002444521        0.0002425488        0.0009967810        -0.001236532       -0.0002397510        4.763554E-05        9.951212E-05       -8.656668E-05        1.294545E-05        3.450895E-06        0.0001042903       -6.760706E-05        3.668323E-05        9.741920E-06        1.673709E-07       -8.576017E-08        8.161074E-08        2.002100E-11
0.2000000        2.703956E-05       -7.350233E-05       -4.646277E-05        6.970774E-14        6.955371E-05       -0.0001362676       -6.671387E-05        1.713982E-10        5.663370E-05       -0.0001141941       -5.756042E-05        3.665316E-10        3.970277E-06       -8.132038E-06       -4.161761E-06        6.241363E-12         0.004025720        -0.007560979        -0.003535259        0.0001908771        0.0006760541        -0.001236990       -0.0005609359        3.223927E-05        4.579949E-05       -8.655790E-05       -4.075840E-05        1.588532E-06        3.811850E-05       -6.760800E-05       -2.948950E-05        3.560865E-06        5.182960E-08       -8.574651E-08       -3.391690E-08        6.103112E-12
0.2500000        0.0001662797       -3.197608E-06        0.0001630821        1.087372E-11        0.0003467358       -0.0001297305        0.0002170053        8.697895E-10        0.0004086248       -0.0001118950        0.0002967297        2.666760E-09        4.140668E-05       -7.995773E-06        3.341091E-05        6.679037E-11           0.1165343        -0.007541825           0.1089925         0.005535440          0.03431872        -0.001235684          0.03308304         0.001637371         0.005220209       -8.653019E-05         0.005133679        0.0001811592         0.006164497       -6.761001E-05         0.006096887        0.0005758364        8.108251E-06       -8.588526E-08        8.022365E-06        9.462357E-10
0.3000000        0.0001603178       -1.568234E-06        0.0001587495        1.611311E-11        0.0002382020       -9.558113E-05        0.0001426209        6.801409E-10        0.0002628683       -9.574905E-05        0.0001671193        1.825564E-09        2.539302E-05       -7.407734E-06        1.798528E-05        4.207624E-11          0.06916316        -0.007467015          0.06169615         0.003289652          0.02014357        -0.001231048          0.01891253        0.0009613056         0.003046672       -8.645659E-05         0.002960216        0.0001057336         0.003595149       -6.760024E-05         0.003527548        0.0003358277        4.774504E-06       -8.609022E-08        4.688414E-06        5.579180E-10
0.3500000        0.0001554564       -1.041146E-06        0.0001544153        1.315946E-11        0.0001523674       -7.179095E-05        8.057645E-05        5.098278E-10        0.0001520659       -8.065992E-05        7.140595E-05        1.188523E-09        1.345477E-05       -6.776698E-06        6.678073E-06        2.360585E-11          0.03392726        -0.007377508          0.02654975         0.001619082         0.009605555        -0.001226097         0.008379458        0.0004589926         0.001428511       -8.637464E-05         0.001342136        4.957536E-05         0.001680913       -6.758416E-05         0.001613328        0.0001570194        2.275167E-06       -8.622101E-08        2.188946E-06        2.664463E-10
0.4000000        0.0001523486       -7.794313E-07        0.0001515691        8.312267E-12        0.0001038934       -5.805140E-05        4.584202E-05        4.186779E-10        9.316217E-05       -7.039015E-05        2.277203E-05        8.723565E-10        7.351310E-06       -6.306968E-06        1.044342E-06        1.439505E-11          0.01593031        -0.007302276         0.008628036        0.0007670781         0.004228563        -0.001222216         0.003006347        0.0002027655        0.0006005879       -8.630572E-05        0.0005142822        2.084272E-05        0.0007001712       -6.756959E-05        0.0006326016        6.540996E-05        9.797799E-07       -8.629519E-08        8.934848E-07        1.151255E-10
0.4500000        0.0001502849       -6.235026E-07        0.0001496614        4.029002E-12        7.560002E-05       -4.942519E-05        2.617483E-05        3.832271E-10        6.240379E-05       -6.340408E-05       -1.000285E-06        7.480670E-10        4.473149E-06       -5.986423E-06       -1.513274E-06        1.044523E-11         0.007461784        -0.007249610        0.0002121746        0.0003676028         0.001703815        -0.001219788        0.0004840266        8.241760E-05        0.0002097182       -8.625670E-05        0.0001234615        7.280048E-06        0.0002359254       -6.755958E-05        0.0001683658        2.204533E-05        3.528427E-07       -8.632942E-08        2.665132E-07        4.169247E-11
