#Time(Yr)                K_Me                U_Me             Etot_Me                L_Me                K_Ve                U_Ve             Etot_Ve                L_Ve                K_Ea                U_Ea             Etot_Ea                L_Ea                K_Ma                U_Ma             Etot_Ma                L_Ma                K_Ju                U_Ju             Etot_Ju                L_Ju                K_Sa                U_Sa             Etot_Sa                L_Sa                K_Ur                U_Ur             Etot_Ur                L_Ur                K_Ne                U_Ne             Etot_Ne                L_Ne                K_Pl                U_Pl             Etot_pl                L_Pl
0.00000         5.57718E-06        -1.39010E-05        -8.32384E-06        4.119781E-13        6.582935E-05       -0.0001333713       -6.754191E-05        1.693322E-10        5.942220E-05       -0.0001179022       -5.848005E-05        3.610031E-10        4.434513E-06       -8.672019E-06       -4.237507E-06        6.136500E-12         0.003936531        -0.007581671        -0.003645140        0.0001856658        0.0006395503        -0.001234591       -0.0005950407        3.062323E-05        4.156134E-05       -8.658860E-05       -4.502725E-05        1.440277E-06        3.368842E-05       -6.760584E-05       -3.391742E-05        3.147207E-06        5.301877E-08       -8.586556E-08       -3.284679E-08        6.334386E-12
0.05000000        5.410677E-06       -1.367525E-05       -8.264572E-06        4.119855E-13        6.555100E-05       -0.0001330700       -6.751898E-05        1.693360E-10        5.860334E-05       -0.0001170615       -5.845811E-05        3.610006E-10        4.297333E-06       -8.533781E-06       -4.236449E-06        6.136384E-12         0.003931406        -0.007576545        -0.003645138        0.0001856663        0.0006400484        -0.001235104       -0.0005950552        3.062302E-05        4.155327E-05       -8.657989E-05       -4.502662E-05        1.440279E-06        3.368956E-05       -6.760664E-05       -3.391708E-05        3.147210E-06        5.300357E-08       -8.585021E-08       -3.284664E-08        6.334389E-12
0.1000000        5.100388E-06       -1.328472E-05       -8.184330E-06        4.119918E-13        6.373127E-05       -0.0001311098       -6.737853E-05        1.693391E-10        5.753519E-05       -0.0001159661       -5.843095E-05        3.609997E-10        4.162742E-06       -8.398262E-06       -4.235520E-06        6.136201E-12         0.003926055        -0.007571192        -0.003645138        0.0001856667        0.0006405430        -0.001235610       -0.0005950667        3.062286E-05        4.154524E-05       -8.657123E-05       -4.502599E-05        1.440282E-06        3.369069E-05       -6.760744E-05       -3.391675E-05        3.147214E-06        5.298831E-08       -8.583481E-08       -3.284650E-08        6.334392E-12
0.1500000        5.032871E-06       -1.320327E-05       -8.170396E-06        4.119947E-13        6.100215E-05       -0.0001281967       -6.719457E-05        1.693402E-10        5.633776E-05       -0.0001147401       -5.840239E-05        3.610003E-10        4.034472E-06       -8.269200E-06       -4.234727E-06        6.135970E-12         0.003920481        -0.007565619        -0.003645137        0.0001856670        0.0006410341        -0.001236109       -0.0005950750        3.062278E-05        4.153725E-05       -8.656262E-05       -4.502537E-05        1.440284E-06        3.369183E-05       -6.760825E-05       -3.391642E-05        3.147218E-06        5.297298E-08       -8.581935E-08       -3.284637E-08        6.334395E-12
0.2000000        5.287368E-06       -1.351635E-05       -8.228983E-06        4.119874E-13        5.817498E-05       -0.0001252081       -6.703315E-05        1.693386E-10        5.513206E-05       -0.0001135076       -5.837552E-05        3.610026E-10        3.915428E-06       -8.149492E-06       -4.234064E-06        6.135712E-12         0.003914692        -0.007559830        -0.003645138        0.0001856670        0.0006415215        -0.001236601       -0.0005950800        3.062275E-05        4.152931E-05       -8.655407E-05       -4.502477E-05        1.440286E-06        3.369297E-05       -6.760906E-05       -3.391609E-05        3.147221E-06        5.295759E-08       -8.580383E-08       -3.284624E-08        6.334398E-12
0.2500000        5.554735E-06       -1.386963E-05       -8.314895E-06        4.119789E-13        5.592273E-05       -0.0001228456       -6.692283E-05        1.693350E-10        5.402620E-05       -0.0001123786       -5.835245E-05        3.610063E-10        3.807780E-06       -8.041292E-06       -4.233513E-06        6.135444E-12         0.003908694        -0.007553832        -0.003645139        0.0001856670        0.0006420052        -0.001237087       -0.0005950817        3.062279E-05        4.152141E-05       -8.654558E-05       -4.502417E-05        1.440288E-06        3.369411E-05       -6.760988E-05       -3.391577E-05        3.147225E-06        5.294213E-08       -8.578825E-08       -3.284612E-08        6.334400E-12
0.3000000        5.495344E-06       -1.378815E-05       -8.292802E-06        4.119757E-13        5.466611E-05       -0.0001215336       -6.686752E-05        1.693307E-10        5.310773E-05       -0.0001114421       -5.833435E-05        3.610117E-10        3.713089E-06       -7.946152E-06       -4.233063E-06        6.135176E-12         0.003902491        -0.007547632        -0.003645141        0.0001856667        0.0006424851        -0.001237565       -0.0005950802        3.062290E-05        4.151355E-05       -8.653714E-05       -4.502359E-05        1.440290E-06        3.369524E-05       -6.761070E-05       -3.391546E-05        3.147229E-06        5.292662E-08       -8.577262E-08       -3.284601E-08        6.334403E-12
0.3500000        5.184355E-06       -1.338753E-05       -8.203176E-06        4.119787E-13        5.459812E-05       -0.0001214628       -6.686470E-05        1.693267E-10        5.244137E-05       -0.0001107631       -5.832178E-05        3.610186E-10        3.632442E-06       -7.865151E-06       -4.232709E-06        6.134914E-12         0.003896092        -0.007541237        -0.003645145        0.0001856664        0.0006429612        -0.001238037       -0.0005950755        3.062307E-05        4.150574E-05       -8.652876E-05       -4.502301E-05        1.440292E-06        3.369638E-05       -6.761154E-05       -3.391515E-05        3.147232E-06        5.291103E-08       -8.575693E-08       -3.284590E-08        6.334406E-12
0.4000000        5.014699E-06       -1.318152E-05       -8.166819E-06        4.119858E-13        5.572905E-05       -0.0001226432       -6.691415E-05        1.693235E-10        5.206966E-05       -0.0001103846       -5.831489E-05        3.610271E-10        3.566566E-06       -7.799007E-06       -4.232441E-06        6.134663E-12         0.003889502        -0.007534653        -0.003645151        0.0001856658        0.0006434333        -0.001238501       -0.0005950675        3.062330E-05        4.149797E-05       -8.652043E-05       -4.502245E-05        1.440294E-06        3.369752E-05       -6.761237E-05       -3.391485E-05        3.147235E-06        5.289539E-08       -8.574119E-08       -3.284580E-08        6.334408E-12
0.4500000        5.188193E-06       -1.339228E-05       -8.204087E-06        4.119920E-13        5.788933E-05       -0.0001249078       -6.701846E-05        1.693215E-10        5.201466E-05       -0.0001103284       -5.831374E-05        3.610370E-10        3.515934E-06       -7.748183E-06       -4.232250E-06        6.134426E-12         0.003882728        -0.007527887        -0.003645159        0.0001856651        0.0006439013        -0.001238958       -0.0005950564        3.062360E-05        4.149025E-05       -8.651215E-05       -4.502190E-05        1.440296E-06        3.369866E-05       -6.761321E-05       -3.391455E-05        3.147239E-06        5.287968E-08       -8.572539E-08       -3.284571E-08        6.334411E-12
