#Time(Yr)                X_Me                Y_Me                Z_Me           R_Mercury                X_Ve                Y_Ve                Z_Ve             R_Venus                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ma                Y_Ma                Z_Ma              R_Mars                X_Ju                Y_Ju                Z_Ju           R_Jupiter                X_Sa                Y_Sa                Z_Sa            R_Saturn                X_Ur                Y_Ur                Z_Ur            R_Uranus                X_Ne                Y_Ne                Z_Ne           R_Neptune                X_Pu                Y_Pu                Z_Pu             R_Pluto
0.00000           -0.125329           -0.453940          -0.0257118            0.471625            0.578350           -0.435120          -0.0394689            0.724828           -0.991400           -0.169940         0.000198187             1.00586            0.902330             1.16060          0.00223830             1.47010             3.55378             3.47587          -0.0939615             4.97191             6.01042             6.90070           -0.359215             9.15827             14.6600            -13.4990           -0.240100             19.9298             17.0329            -24.8360            0.118927             30.1158            -9.61350            -28.0971             5.78738             30.2549
0.0500000            0.255888           -0.334061          -0.0284826            0.421766            0.712015          -0.0970795          -0.0147116            0.718754           -0.897494           -0.467782           0.0304672             1.01254            0.698102             1.32081           0.0380489             1.49443             3.45437             3.57942          -0.0625912             4.97482             5.92793             6.96691           -0.327595             9.15345             14.7080            -13.4495           -0.210179             19.9313             17.0797            -24.8032            0.147972             30.1154            -9.55777            -28.1246             5.80886             30.2669
0.100000            0.274737            0.137983          0.00721382            0.307525            0.660963            0.265623           0.0478279            0.713944           -0.719017           -0.721693           0.0955316             1.02321            0.473243             1.44212            0.107951             1.52162             3.35220             3.68009          0.00291208             4.97799             5.84468             7.03222           -0.261821             9.14773             14.7558            -13.3997           -0.146108             19.9326             17.1265            -24.7704            0.211166             30.1153            -9.50200            -28.1520             5.86447             30.2855
0.150000           -0.170887            0.280178          0.00373427            0.328201            0.435621            0.558167           0.0549710            0.710167           -0.474792           -0.909884           0.0991272             1.03109            0.235107             1.52318            0.114762             1.54548             3.24735             3.77783          0.00544507             4.98170             5.76067             7.09663           -0.259000             9.14409             14.8035            -13.3499           -0.144994             19.9344             17.1732            -24.7374            0.211403             30.1148            -9.44621            -28.1792             5.85711             30.2920
0.200000         -0.00652154          -0.0887120          0.00649200           0.0891880           0.0940751            0.700684           0.0590384            0.709432           -0.188227            -1.01692           0.0947369             1.03853         -0.00932596             1.56364            0.112351             1.56770             3.13990             3.87255        -0.000931471             4.98554             5.67591             7.16011           -0.265067             9.14075             14.8509            -13.2998           -0.152769             19.9363             17.2199            -24.7044            0.202750             30.1143            -9.39037            -28.2064             5.84084             30.2968
0.250000            0.955663             1.79299           -0.284689             2.05162           -0.273287            0.655808           -0.224771            0.745179            0.114969            -1.03498           -0.197309             1.05987           -0.253563             1.56407           -0.177490             1.59440             3.02996             3.96419           -0.294374             4.99821             5.59041             7.22266           -0.558170             9.15047             14.8982            -13.2496           -0.447583             19.9426             17.2665            -24.6713          -0.0929429             30.1133            -9.33451            -28.2335             5.53752             30.2477
0.300000             1.81496             3.70581           -0.759226             4.19565           -0.591446            0.469631           -0.672833             1.01147            0.410846           -0.974202           -0.645283             1.23865           -0.492060             1.52799           -0.620454             1.72100             2.91763             4.05272           -0.740502             5.04831             5.50420             7.28428            -1.00391             9.18503             14.9453            -13.1992           -0.895038             19.9595             17.3130            -24.6380           -0.541277             30.1175            -9.27861            -28.2604             5.08155             30.1756
0.350000             2.67153             5.61298            -1.17070             6.32560           -0.851182            0.231460            -1.01764             1.34673            0.686300           -0.861895           -0.973834             1.47045           -0.721314             1.46258           -0.938006             1.88130             2.80307             4.13814            -1.06130             5.10958             5.41728             7.34496            -1.32427             9.22221             14.9922            -13.1487            -1.21710             19.9783             17.3594            -24.6047           -0.864221             30.1246            -9.22268            -28.2873             4.75096             30.1298
0.400000             3.52704             7.51780            -1.51909             8.44186            -1.07473          -0.0178320            -1.27229             1.66555            0.940282           -0.721698            -1.19771             1.68508           -0.939928             1.37532            -1.14511             2.02144             2.68645             4.22051            -1.27240             5.16224             5.32967             7.40472            -1.53488             9.25155             15.0389            -13.0980            -1.42943             19.9942             17.4058            -24.5713            -1.07743             30.1310            -9.16671            -28.3141             4.53009             30.1038
0.450000             4.38196             9.42134            -1.81832             10.5484            -1.27475           -0.267151            -1.45974             1.95632             1.17476           -0.566173            -1.34144             1.87085            -1.14731             1.27151            -1.26592             2.12970             2.56789             4.29985            -1.39808             5.19975             5.24140             7.46355            -1.66003             9.26998             15.0854            -13.0471            -1.55630             20.0054             17.4522            -24.5379            -1.20517             30.1353            -9.11071            -28.3408             4.39467             30.0918
0.500000             5.23650             11.3241            -2.07865             12.6482            -1.45776           -0.513079            -1.59549             2.22124             1.39150           -0.401931            -1.42232             2.02998            -1.34297             1.15465            -1.31765             2.20748             2.44753             4.37618            -1.45545             5.22108             5.15247             7.52146            -1.71682             9.27727             15.1317            -12.9961            -1.61483             20.0119             17.4984            -24.5043            -1.26458             30.1373            -9.05468            -28.3673             4.32758             30.0902
0.550000             6.09078             13.2262            -2.30711             14.7429            -1.62756           -0.754442            -1.68980             2.46446             1.59183           -0.232855            -1.45225             2.16729            -1.52631             1.02717            -1.31227             2.25981             2.32548             4.44946            -1.45639             5.22749             5.06291             7.57843            -1.71716             9.27438             15.1779            -12.9449            -1.61691             20.0138             17.5447            -24.4706            -1.26753             30.1369            -8.99862            -28.3938             4.31693             30.0968
0.600000             6.94487             15.1280            -2.50881             16.8339            -1.78658           -0.990857            -1.74991             2.68996             1.77673          -0.0614655            -1.43986             2.28774            -1.69660            0.890898            -1.25868             2.29269             2.20182             4.51968            -1.40969             5.22137             4.97271             7.63445            -1.66983             9.26289             15.2238            -12.8935            -1.57133             20.0119             17.5908            -24.4369            -1.22283             30.1346            -8.94252            -28.4201             4.35393             30.1103
