#Time(Yr)                X_Me                Y_Me                Z_Me           R_Mercury                X_Ve                Y_Ve                Z_Ve             R_Venus                X_Ea                Y_Ea                Z_Ea             R_Earth                X_Ma                Y_Ma                Z_Ma              R_Mars                X_Ju                Y_Ju                Z_Ju           R_Jupiter                X_Sa                Y_Sa                Z_Sa            R_Saturn                X_Ur                Y_Ur                Z_Ur            R_Uranus                X_Ne                Y_Ne                Z_Ne           R_Neptune                X_Pu                Y_Pu                Z_Pu             R_Pluto
0.00000           -0.125329           -0.453940          -0.0257118            0.471625            0.578350           -0.435120          -0.0394689            0.724828           -0.991400           -0.169940         0.000198187             1.00586            0.902330             1.16060          0.00223830             1.47010             3.55378             3.47587          -0.0939615             4.97191             6.01042             6.90070           -0.359215             9.15827             14.6600            -13.4990           -0.240100             19.9298             17.0329            -24.8360            0.118927             30.1158            -9.61350            -28.0971             5.78738             30.2549
0.0500000            0.327186           -0.345526          -0.0583093            0.479415            0.720413          -0.0833101          -0.0428364            0.726478           -0.896067           -0.472651         0.000197922             1.01308            0.696875             1.32138           0.0106581             1.49392             3.45436             3.57943          -0.0921654             4.97528             5.92793             6.96691           -0.357081             9.15455             14.7080            -13.4495           -0.240538             19.9317             17.0797            -24.8032            0.117173             30.1153            -9.55777            -28.1246             5.77427             30.2603
0.100000            0.486644           0.0723798          -0.0386788            0.493515            0.677034            0.289949          -0.0351772            0.737349           -0.715675           -0.730495         0.000178816             1.02265            0.470798             1.44305           0.0187621             1.51802             3.35217             3.68012          -0.0902955             4.97881             5.84467             7.03223           -0.354901             9.15087             14.7558            -13.3997           -0.240974             19.9335             17.1265            -24.7704            0.115419             30.1148            -9.50200            -28.1520             5.76114             30.2657
0.150000            0.246523            0.430858           0.0127108            0.496562            0.466975            0.591828          -0.0188576            0.754110           -0.469237           -0.920926         0.000143157             1.03358            0.231444             1.52401           0.0263366             1.54171             3.24731             3.77787          -0.0883535             4.98248             5.76066             7.09663           -0.352675             9.14723             14.8035            -13.3499           -0.241406             19.9354             17.1732            -24.7374            0.113665             30.1143            -9.44621            -28.1792             5.74799             30.2711
0.200000           -0.192312            0.442033           0.0538541            0.485054            0.149450            0.757506          0.00180179            0.772110           -0.180854            -1.02904         9.46536E-05             1.04481          -0.0141384             1.56392           0.0332015             1.56434             3.13985             3.87261          -0.0863411             4.98630             5.67590             7.16012           -0.350402             9.14363             14.8509            -13.2998           -0.241835             19.9372             17.2199            -24.7044            0.111910             30.1138            -9.39037            -28.2064             5.73483             30.2765
0.250000           -0.464826           0.0709302           0.0484227            0.472693           -0.200117            0.760765           0.0220748            0.786955            0.123180            -1.04810         3.79104E-05             1.05531           -0.259351             1.56352           0.0392101             1.58537             3.02989             3.96426          -0.0842601             4.99026             5.59041             7.22267           -0.348085             9.14007             14.8982            -13.2496           -0.242261             19.9391             17.2665            -24.6713            0.110154             30.1133            -9.33451            -28.2335             5.72164             30.2820
0.300000           -0.302975           -0.366452         -0.00225796            0.475485           -0.509154            0.609964           0.0378772            0.795442            0.416872           -0.979139        -2.20668E-05             1.06419           -0.498135             1.52440           0.0442474             1.60433             2.91753             4.05277          -0.0821123             4.99437             5.50419             7.28429           -0.345722             9.13655             14.9453            -13.1992           -0.242685             19.9409             17.3130            -24.6380            0.108399             30.1129            -9.27861            -28.2604             5.70843             30.2875
0.350000            0.137038           -0.467392          -0.0508657            0.489717           -0.718344            0.339553           0.0462519            0.795898            0.676427           -0.829995        -8.02923E-05             1.07072           -0.725008             1.44884           0.0482270             1.62084             2.80286             4.13807          -0.0798995             4.99860             5.41725             7.34496           -0.343314             9.13307             14.9922            -13.1487           -0.243105             19.9427             17.3594            -24.6047            0.106643             30.1124            -9.22268            -28.2873             5.69520             30.2930
0.400000            0.461893           -0.175553          -0.0567279            0.497375           -0.786907          0.00267286           0.0455721            0.788230            0.881597           -0.614113        -0.000132123             1.07441           -0.935073             1.33971           0.0510886             1.63456             2.68598             4.22010          -0.0776237             5.00297             5.32961             7.40468           -0.340861             9.12963             15.0389            -13.0979           -0.243522             19.9445             17.4058            -24.5713            0.104886             30.1119            -9.16671            -28.3141             5.68194             30.2985
0.450000            0.416250            0.257106          -0.0170867            0.489550           -0.696881           -0.334743           0.0357081            0.773933             1.01661           -0.349357        -0.000173507             1.07496            -1.12400             1.20030           0.0527955             1.64526             2.56697             4.29880          -0.0752868             5.00747             5.24128             7.46343           -0.338363             9.12624             15.0854            -13.0471           -0.243936             19.9463             17.4522            -24.5379            0.103129             30.1114            -9.11071            -28.3408             5.66867             30.3041
0.500000           0.0204531            0.473488           0.0369280            0.475366           -0.458483           -0.600887           0.0182415            0.756046             1.07085          -0.0568393        -0.000201179             1.07236            -1.28802             1.03430           0.0533322             1.65276             2.44596             4.37413          -0.0728908             5.01209             5.15226             7.52121           -0.335821             9.12289             15.1317            -12.9960           -0.244347             19.9481             17.4984            -24.5043            0.101372             30.1109            -9.05468            -28.3673             5.65538             30.3097
0.550000           -0.394133            0.254838           0.0570137            0.472794           -0.115375           -0.729799         -0.00339116            0.738871             1.03939            0.240232        -0.000212835             1.06679            -1.42387            0.845681           0.0527029             1.65692             2.32302             4.44603          -0.0704378             5.01683             5.06256             7.57800           -0.333236             9.11958             15.1779            -12.9448           -0.244756             19.9499             17.5447            -24.4706           0.0996142             30.1104            -8.99862            -28.3938             5.64207             30.3153
0.600000           -0.440650           -0.201793           0.0238561            0.485244            0.255964           -0.680142          -0.0241941            0.727115            0.923436            0.517779        -0.000207286             1.05869            -1.52883            0.638721           0.0509301             1.65768             2.19827             4.51445          -0.0679299             5.02168             4.97221             7.63381           -0.330606             9.11631             15.2238            -12.8935           -0.245161             19.9516             17.5908            -24.4369           0.0978562             30.1099            -8.94253            -28.4202             5.62874             30.3209
0.650000           -0.106525           -0.484110          -0.0299088            0.496593            0.561589           -0.455863          -0.0387855            0.724360            0.730675            0.752264        -0.000184607             1.04871            -1.60066            0.417924           0.0480536             1.65502             2.07181             4.57936          -0.0653691             5.02665             4.88120             7.68862           -0.327933             9.11309             15.2696            -12.8420           -0.245563             19.9534             17.6369            -24.4030           0.0960979             30.1094            -8.88640            -28.4464             5.61539             30.3266
0.700000            0.313454           -0.376265          -0.0595693            0.493333            0.721382           -0.113203          -0.0433052            0.731493            0.475390            0.922382        -0.000146253             1.03768            -1.63764            0.188030           0.0441309             1.64899             1.94374             4.64071          -0.0627576             5.03173             4.78955             7.74242           -0.325217             9.10992             15.3152            -12.7903           -0.245962             19.9551             17.6829            -24.3691           0.0943391             30.1089            -8.83025            -28.4726             5.60202             30.3323
0.750000            0.475772           0.0408794          -0.0402627            0.479220            0.699276            0.258007          -0.0369052            0.746268            0.178117             1.01103        -9.51112E-05             1.02660            -1.63857          -0.0459993           0.0392367             1.63969             1.81417             4.69847          -0.0600976             5.03691             4.69728             7.79520           -0.322458             9.10679             15.3606            -12.7385           -0.246357             19.9568             17.7289            -24.3351           0.0925801             30.1084            -8.77406            -28.4987             5.58863             30.3380
0.800000            0.211421            0.421367           0.0151515            0.471677            0.511111            0.567952          -0.0217413            0.764380           -0.135401             1.00746        -3.54184E-05             1.01652            -1.60282           -0.278997           0.0334640             1.62726             1.68319             4.75260          -0.0573912             5.04218             4.60438             7.84697           -0.319657             9.10370             15.4058            -12.6865           -0.246750             19.9586             17.7747            -24.3010           0.0908207             30.1079            -8.71784            -28.5246             5.57522             30.3437
0.850000           -0.251773            0.405558           0.0563152            0.480664            0.209997            0.752391         -0.00177272            0.781149           -0.436193            0.909229         2.75047E-05             1.00844            -1.53035           -0.505602           0.0269248             1.61193             1.55092             4.80307          -0.0546408             5.04755             4.51088             7.89770           -0.316814             9.10067             15.4508            -12.6343           -0.247140             19.9603             17.8206            -24.2668           0.0890610             30.1074            -8.66159            -28.5505             5.56179             30.3494
0.900000           -0.491203           0.0293176           0.0474290            0.494358           -0.134598            0.781045           0.0185628            0.792775           -0.695003            0.723500         8.77700E-05             1.00324            -1.42182           -0.720290           0.0197511             1.59398             1.41747             4.84985          -0.0518485             5.05301             4.41679             7.94740           -0.313929             9.09768             15.4956            -12.5820           -0.247527             19.9620             17.8663            -24.2325           0.0873009             30.1069            -8.60531            -28.5763             5.54834             30.3552
0.950000           -0.329363           -0.370868        -0.000202556            0.496007           -0.452531            0.654993           0.0352211            0.796894           -0.885877            0.467057         0.000139665             1.00146            -1.27863           -0.917422           0.0120960             1.57376             1.28292             4.89293          -0.0490167             5.05856             4.32211             7.99605           -0.311002             9.09473             15.5402            -12.5295           -0.247910             19.9637             17.9120            -24.1981           0.0855406             30.1064            -8.54900            -28.6019             5.53487             30.3610
1.00000           0.0988645           -0.471095          -0.0476703            0.483712           -0.682208            0.401202           0.0450099            0.792715           -0.989694            0.164722         0.000178343             1.00331            -1.10307            -1.09132          0.00413459             1.55170             1.14740             4.93227          -0.0461475             5.06419             4.22687             8.04365           -0.308034             9.09184             15.5846            -12.4769           -0.248291             19.9653             17.9577            -24.1637           0.0837799             30.1060            -8.49266            -28.6275             5.52138             30.3668
1.05000            0.440878           -0.160503          -0.0535675            0.472233           -0.776723           0.0679264           0.0458800            0.781036           -0.996792           -0.153708         0.000200049             1.00857           -0.898372            -1.23639         -0.00393606             1.52831             1.01101             4.96787          -0.0432434             5.06989             4.13106             8.09019           -0.305026             9.08899             15.6289            -12.4241           -0.248668             19.9670             18.0032            -24.1291           0.0820189             30.1055            -8.43628            -28.6530             5.50787             30.3727
1.10000            0.369703            0.300516         -0.00926139            0.476525           -0.710340           -0.279417           0.0372453            0.764227           -0.907994           -0.457347         0.000202794             1.01667           -0.668832            -1.34727          -0.0118979             1.50420            0.873859             4.99971          -0.0403067             5.07566             4.03471             8.13566           -0.301977             9.08620             15.6729            -12.3712           -0.249043             19.9687             18.0487            -24.0945           0.0802577             30.1050            -8.37988            -28.6783             5.49434             30.3786
1.15000          -0.0386784            0.487438           0.0434920            0.490901           -0.486887           -0.564973           0.0203743            0.746102           -0.733915           -0.718028         0.000186724             1.02674           -0.419895            -1.41908          -0.0195147             1.48003            0.736045             5.02778          -0.0373395             5.08151             3.93782             8.18006           -0.298888             9.08345             15.7167            -12.3181           -0.249414             19.9703             18.0942            -24.0598           0.0784961             30.1045            -8.32345            -28.7036             5.48080             30.3845
1.20000           -0.414790            0.267699           0.0599602            0.497301           -0.147736           -0.716271         -0.00133849            0.731349           -0.492912           -0.913233         0.000153698             1.03777           -0.158175            -1.44768          -0.0265374             1.45654            0.597679             5.05206          -0.0343444             5.08741             3.84042             8.22337           -0.295760             9.08076             15.7604            -12.2649           -0.249782             19.9720             18.1395            -24.0250           0.0767342             30.1040            -8.26699            -28.7288             5.46723             30.3904
1.25000           -0.458034           -0.166864           0.0283106            0.488304            0.228689           -0.686847          -0.0227136            0.724275           -0.208379            -1.02779         0.000107064             1.04870            0.108597            -1.43004          -0.0327124             1.43453            0.458866             5.07256          -0.0313236             5.09337             3.74250             8.26560           -0.292592             9.07811             15.8038            -12.2115           -0.250147             19.9736             18.1848            -23.9901           0.0749721             30.1035            -8.21050            -28.7538             5.45364             30.3963
1.30000           -0.113013           -0.459977          -0.0273373            0.474445            0.545707           -0.478999          -0.0381884            0.727114           0.0939864            -1.05439         5.12137E-05             1.05857            0.371739            -1.36459          -0.0377936             1.41482            0.319712             5.08927          -0.0282795             5.09938             3.64408             8.30674           -0.289386             9.07552             15.8471            -12.1580           -0.250509             19.9752             18.2301            -23.9551           0.0732097             30.1030            -8.15399            -28.7788             5.44004             30.4023
1.35000            0.336451           -0.328001          -0.0577214            0.473408            0.722620           -0.148169          -0.0438587            0.738957            0.388533           -0.993258        -8.95362E-06             1.06655            0.621925            -1.25158          -0.0415576             1.39820            0.180320             5.10219          -0.0252144             5.10544             3.54519             8.34678           -0.286141             9.07298             15.8902            -12.1043           -0.250868             19.9768             18.2753            -23.9201           0.0714470             30.1025            -8.09744            -28.8036             5.42641             30.4083
1.40000            0.472938            0.109096          -0.0344108            0.486576            0.722785            0.218905          -0.0388014            0.756203            0.651472           -0.851322        -6.84503E-05             1.07199            0.849655            -1.09337          -0.0438208             1.38538           0.0407950             5.11133          -0.0221307             5.11154             3.44582             8.38571           -0.282858             9.07049             15.9330            -12.0504           -0.251224             19.9784             18.3204            -23.8849           0.0696841             30.1020            -8.04086            -28.8284             5.41277             30.4143
1.45000            0.204244            0.452729           0.0183807            0.497008            0.557984            0.536021          -0.0248883            0.774134            0.862216           -0.641177        -0.000122520             1.07449             1.04585           -0.894571          -0.0444572             1.37696          -0.0987589             5.11670          -0.0190307             5.11769             3.34599             8.42353           -0.279537             9.06806             15.9757            -11.9964           -0.251577             19.9800             18.3654            -23.8497           0.0679209             30.1015            -7.98426            -28.8530             5.39911             30.4203
1.50000           -0.228643            0.432413           0.0563956            0.492381            0.274477            0.739108         -0.00568044            0.788448             1.00436           -0.380017        -0.000166892             1.07385             1.20250           -0.661952          -0.0434127             1.37334           -0.238239             5.11829          -0.0159168             5.12386             3.24571             8.46023           -0.276179             9.06568             16.0182            -11.9423           -0.251926             19.9816             18.4104            -23.8143           0.0661575             30.1010            -7.92763            -28.8776             5.38543             30.4264
1.55000           -0.472489           0.0545865           0.0477830            0.478026          -0.0643006            0.793371           0.0146713            0.796108             1.06646          -0.0885663        -0.000198004             1.07013             1.31333           -0.404105          -0.0407138             1.37470           -0.377544             5.11614          -0.0127912             5.13006             3.14501             8.49581           -0.272785             9.06335             16.0604            -11.8880           -0.252273             19.9831             18.4553            -23.7789           0.0643938             30.1005            -7.87097            -28.9020             5.37173             30.4325
1.60000           -0.289425           -0.372557         -0.00400328            0.471785           -0.390500            0.692450           0.0321531            0.795620             1.04267            0.210021        -0.000213201             1.06361             1.37427           -0.130902          -0.0364680             1.38097           -0.516571             5.11024         -0.00965637             5.13629             3.04388             8.53026           -0.269354             9.06108             16.1025            -11.8336           -0.252616             19.9847             18.5001            -23.7434           0.0626299             30.1000            -7.81428            -28.9264             5.35801             30.4386
1.65000            0.165661           -0.449542          -0.0520270            0.481911           -0.640174            0.455837           0.0433339            0.787076            0.933348            0.491385        -0.000210936             1.05480             1.38370            0.147210          -0.0308556             1.39185           -0.655222             5.10062         -0.00651455             5.14254             2.94235             8.56358           -0.265887             9.05886             16.1444            -11.7790           -0.252956             19.9862             18.5449            -23.7078           0.0608658             30.0995            -7.75757            -28.9506             5.34427             30.4447
1.70000            0.474657           -0.130092          -0.0541703            0.495134           -0.760265            0.126959           0.0457431            0.772149            0.745533            0.731427        -0.000190953             1.04442             1.34248            0.419938          -0.0241136             1.40684           -0.793396             5.08730         -0.00336806             5.14880             2.84042             8.59575           -0.262384             9.05670             16.1861            -11.7243           -0.253293             19.9878             18.5896            -23.6722           0.0591015             30.0990            -7.70083            -28.9748             5.33052             30.4509
1.75000            0.397721            0.295137          -0.0122690            0.495417           -0.717366           -0.229133           0.0383456            0.754046            0.493131            0.908109        -0.000154447             1.03336             1.25368            0.677785          -0.0165169             1.42526           -0.930996             5.07031        -0.000219195             5.15507             2.73811             8.62679           -0.258847             9.05460             16.2275            -11.6694           -0.253627             19.9893             18.6342            -23.6364           0.0573369             30.0985            -7.64406            -28.9988             5.31674             30.4570
1.80000         -0.00204028            0.480812           0.0395909            0.482444           -0.509328           -0.532475           0.0221209            0.737180            0.196620             1.00357        -0.000104142             1.02265             1.12213            0.912530         -0.00835719             1.44636            -1.06792             5.04966          0.00292978             5.16135             2.63544             8.65667           -0.255275             9.05255             16.2688            -11.6144           -0.253958             19.9908             18.6788            -23.6006           0.0555721             30.0980            -7.58726            -29.0228             5.30295             30.4632
