#Time(Yr)               X(au)               Y(au)
0.00000             1.00000             0.00000
0.0500000           0.0250000             0.00000
0.100000         0.000205617             0.00000
0.150000         0.000890175             0.00000
0.200000             29988.4             0.00000
0.250000         4.19430E+17             0.00000
0.300000         2.14603E+21             0.00000
0.350000         2.05339E-11             0.00000
0.400000         1.40350E-86             0.00000
0.450000        7.48494E-141             0.00000
0.500000         6.66680E-24             0.00000
0.550000                 INF                -NAN
0.600000                 INF                -NAN
0.650000                -NAN                -NAN
0.700000                -NAN                -NAN
0.750000                -NAN                -NAN
0.800000                -NAN                -NAN
0.850000                -NAN                -NAN
0.900000                -NAN                -NAN
0.950000                -NAN                -NAN
1.00000                -NAN                -NAN
1.05000                -NAN                -NAN
1.10000                -NAN                -NAN
1.15000                -NAN                -NAN
1.20000                -NAN                -NAN
1.25000                -NAN                -NAN
1.30000                -NAN                -NAN
1.35000                -NAN                -NAN
1.40000                -NAN                -NAN
1.45000                -NAN                -NAN
1.50000                -NAN                -NAN
1.55000                -NAN                -NAN
1.60000                -NAN                -NAN
1.65000                -NAN                -NAN
1.70000                -NAN                -NAN
1.75000                -NAN                -NAN
1.80000                -NAN                -NAN
1.85000                -NAN                -NAN
1.90000                -NAN                -NAN
1.95000                -NAN                -NAN
2.00000                -NAN                -NAN
2.05000                -NAN                -NAN
2.10000                -NAN                -NAN
2.15000                -NAN                -NAN
2.20000                -NAN                -NAN
2.25000                -NAN                -NAN
2.30000                -NAN                -NAN
2.35000                -NAN                -NAN
2.40000                -NAN                -NAN
2.45000                -NAN                -NAN
2.50000                -NAN                -NAN
2.55000                -NAN                -NAN
2.60000                -NAN                -NAN
2.65000                -NAN                -NAN
2.70000                -NAN                -NAN
2.75000                -NAN                -NAN
2.80000                -NAN                -NAN
2.85000                -NAN                -NAN
2.90000                -NAN                -NAN
2.95000                -NAN                -NAN
3.00000                -NAN                -NAN
3.05000                -NAN                -NAN
3.10000                -NAN                -NAN
3.15000                -NAN                -NAN
3.20000                -NAN                -NAN
3.25000                -NAN                -NAN
3.30000                -NAN                -NAN
3.35000                -NAN                -NAN
3.40000                -NAN                -NAN
3.45000                -NAN                -NAN
3.50000                -NAN                -NAN
3.55000                -NAN                -NAN
3.60000                -NAN                -NAN
3.65000                -NAN                -NAN
3.70000                -NAN                -NAN
3.75000                -NAN                -NAN
3.80000                -NAN                -NAN
3.85000                -NAN                -NAN
3.90000                -NAN                -NAN
3.95000                -NAN                -NAN
4.00000                -NAN                -NAN
4.05000                -NAN                -NAN
4.10000                -NAN                -NAN
4.15000                -NAN                -NAN
4.20000                -NAN                -NAN
4.25000                -NAN                -NAN
4.30000                -NAN                -NAN
4.35000                -NAN                -NAN
4.40000                -NAN                -NAN
4.45000                -NAN                -NAN
4.50000                -NAN                -NAN
4.55000                -NAN                -NAN
4.60000                -NAN                -NAN
4.65000                -NAN                -NAN
4.70000                -NAN                -NAN
4.75000                -NAN                -NAN
4.80000                -NAN                -NAN
4.85000                -NAN                -NAN
4.90000                -NAN                -NAN
4.95000                -NAN                -NAN
5.00000
