#Time(Yr)               X(au)               Y(au)             R_earth
0.00000             1.00000             0.00000             1.00000
0.0500000            0.951050            0.308831            0.999937
0.100000            0.808989            0.587421            0.999763
0.150000            0.587688            0.808463            0.999494
0.200000            0.308780            0.950243            0.999153
0.250000        -0.000419050            0.998770            0.998770
0.300000           -0.309567            0.949175            0.998381
0.350000           -0.588257            0.806225            0.998021
0.400000           -0.809019            0.583899            0.997722
0.450000           -0.950048            0.304037            0.997512
0.500000           -0.997391         -0.00579892            0.997408
0.550000           -0.946352           -0.315058            0.997418
0.600000           -0.801968           -0.593238            0.997539
0.650000           -0.578509           -0.812922            0.997754
0.700000           -0.298044           -0.952500            0.998042
0.750000           0.0117652           -0.998300            0.998369
0.800000            0.320418           -0.945906            0.998703
0.850000            0.597587           -0.800564            0.999006
0.900000            0.816086           -0.576626            0.999247
0.950000            0.954522           -0.296118            0.999399
1.00000            0.999355           0.0134258            0.999445
1.05000            0.946202            0.321649            0.999378
1.10000            0.800259            0.598322            0.999201
1.15000            0.575799            0.816282            0.998930
1.20000            0.294804            0.954079            0.998587
1.25000          -0.0151600            0.998089            0.998205
1.30000           -0.323622            0.943879            0.997817
1.35000           -0.600190            0.796679            0.997459
1.40000           -0.817556            0.570910            0.997164
1.45000           -0.954214            0.288793            0.996958
1.50000           -0.996620          -0.0218429            0.996859
1.55000           -0.940558           -0.330316            0.996874
1.60000           -0.791572           -0.606151            0.996998
1.65000           -0.564410           -0.822121            0.997216
1.70000           -0.281542           -0.956949            0.997505
1.75000           0.0290895           -0.997409            0.997833
1.80000            0.336856           -0.939606            0.998164
1.85000            0.611470           -0.789326            0.998464
1.90000            0.825955           -0.561427            0.998701
1.95000            0.959277           -0.278361            0.998848
2.00000            0.998374           0.0320444            0.998888
2.05000            0.939419            0.339298            0.998815
2.10000            0.788185            0.613216            0.998633
2.15000            0.559488            0.826857            0.998358
2.20000            0.275764            0.959158            0.998013
2.25000          -0.0351031            0.997013            0.997631
2.30000           -0.342500            0.936584            0.997244
2.35000           -0.616085            0.783727            0.996890
2.40000           -0.828798            0.553449            0.996600
2.45000           -0.959555            0.268453            0.996400
2.50000           -0.995375          -0.0430972            0.996308
2.55000           -0.932688           -0.350377            0.996328
2.60000           -0.777704           -0.622981            0.996458
2.65000           -0.545790           -0.833958            0.996681
2.70000           -0.259922           -0.962493            0.996972
2.75000           0.0516188           -0.995963            0.997300
2.80000            0.358067           -0.931156            0.997629
2.85000            0.629219           -0.774556            0.997925
2.90000            0.838397           -0.541669            0.998155
2.95000            0.965054           -0.255468            0.998295
3.00000            0.996764           0.0558637            0.998328
3.05000            0.930416            0.361695            0.998248
3.10000            0.772519            0.631931            0.998059
3.15000            0.538570            0.839944            0.997779
3.20000            0.251560            0.965188            0.997432
3.25000          -0.0602536            0.995226            0.997048
3.30000           -0.366107            0.926987            0.996664
3.35000           -0.635756            0.767109            0.996314
3.40000           -0.842482            0.531320            0.996030
3.45000           -0.965757            0.242913            0.995838
3.50000           -0.993321          -0.0695619            0.995754
3.55000           -0.922419           -0.375136            0.995783
3.60000           -0.760087           -0.643524            0.995920
3.65000           -0.522448           -0.848150            0.996148
3.70000           -0.233079           -0.968798            0.996442
3.75000           0.0793484           -0.993607            0.996770
3.80000            0.383934           -0.920215            0.997097
3.85000            0.650613           -0.755966            0.997387
3.90000            0.853108           -0.517140            0.997611
3.95000            0.971498           -0.227333            0.997742
4.00000            0.994148           0.0848744            0.997765
4.05000            0.918835            0.388713            0.997675
4.10000            0.752957            0.654232            0.997479
4.15000            0.512825            0.855221            0.997193
4.20000            0.222081            0.971788            0.996841
4.25000          -0.0905973            0.992330            0.996457
4.30000           -0.394303            0.914708            0.996076
4.35000           -0.658949            0.746502            0.995731
4.40000           -0.858263            0.504297            0.995455
4.45000           -0.972418            0.212064            0.995272
4.50000           -0.990038           -0.101216            0.995198
4.55000           -0.909355           -0.404440            0.995237
4.60000           -0.738390           -0.667508            0.995383
4.65000           -0.494149           -0.864332            0.995617
4.70000           -0.200904           -0.975441            0.995915
4.75000            0.112249           -0.989900            0.996243
4.80000            0.414291           -0.906372            0.996567
4.85000            0.675363           -0.733211            0.996852
4.90000            0.869704           -0.487602            0.997066
4.95000            0.978164           -0.193847            0.997186
5.00000
