#Time(Yr)               X(au)               Y(au)             r_earth
0.00000             1.00000             0.00000             1.00000
0.0500000            0.950652            0.314000             1.00117
0.100000            0.807806            0.597118             1.00454
0.150000            0.586309            0.822098             1.00975
0.200000            0.308606            0.968268             1.01626
0.250000          0.00188377             1.02339             1.02339
0.300000           -0.305012            0.984273             1.03045
0.350000           -0.584395            0.856373             1.03677
0.400000           -0.812022            0.652630             1.04178
0.450000           -0.968767            0.391918             1.04504
0.500000            -1.04173           0.0973139             1.04627
0.550000            -1.02493           -0.205676             1.04537
0.600000           -0.919584           -0.490896             1.04241
0.650000           -0.734107           -0.733342             1.03764
0.700000           -0.483779           -0.911006             1.03149
0.750000           -0.189944            -1.00674             1.02450
0.800000            0.121323            -1.01008             1.01734
0.850000            0.421219           -0.918734             1.01069
0.900000            0.680847           -0.739561             1.00524
0.950000            0.874323           -0.488532             1.00155
1.00000            0.981907           -0.189510             1.00003
1.05000            0.992590            0.128214             1.00084
1.10000            0.905552            0.433316             1.00389
1.15000            0.730174            0.696145             1.00885
1.20000            0.484611            0.892060             1.01519
1.25000            0.193333             1.00383             1.02227
1.30000           -0.115805             1.02285             1.02939
1.35000           -0.414465            0.949334             1.03586
1.40000           -0.676323            0.791516             1.04111
1.45000           -0.879029            0.564473             1.04466
1.50000            -1.00564            0.288562             1.04622
1.55000            -1.04557          -0.0122176             1.04565
1.60000           -0.995250           -0.311943             1.04299
1.65000           -0.858352           -0.584533             1.03848
1.70000           -0.645811           -0.805611             1.03251
1.75000           -0.375365           -0.954456             1.02561
1.80000          -0.0705780            -1.01598             1.01843
1.85000            0.240803           -0.982581             1.01166
1.90000            0.529230           -0.855517             1.00598
1.95000            0.766349           -0.645513             1.00199
2.00000            0.928283           -0.372178             1.00011
2.05000            0.998629          -0.0621232             1.00056
2.10000            0.970580            0.254053             1.00328
2.15000            0.847674            0.545400             1.00797
2.20000            0.643076            0.784185             1.01415
2.25000            0.377629            0.948769             1.02116
2.30000           0.0771799             1.02541             1.02831
2.35000           -0.230274             1.00899             1.03493
2.40000           -0.517226            0.902723             1.04040
2.45000           -0.758848            0.717345             1.04424
2.50000           -0.934696            0.469790             1.04612
2.55000            -1.02996            0.181735             1.04587
2.60000            -1.03638           -0.121999             1.04353
2.65000           -0.952775           -0.415137             1.03929
2.70000           -0.785406           -0.671776             1.03351
2.75000           -0.547819           -0.868355             1.02672
2.80000           -0.260277           -0.985750             1.01953
2.85000           0.0515059            -1.01134             1.01265
2.90000            0.358393           -0.940808             1.00676
2.95000            0.630616           -0.779281             1.00247
3.00000            0.841060           -0.541410             1.00025
3.05000            0.968557           -0.250144             1.00034
3.10000             1.00056           0.0657845             1.00272
3.15000            0.934609            0.375273             1.00714
3.20000            0.778365            0.648506             1.01312
3.25000            0.548246            0.860188             1.02005
3.30000            0.267145            0.991881             1.02723
3.35000          -0.0382811             1.03326             1.03397
3.40000           -0.340289            0.982382             1.03965
3.45000           -0.612410            0.845224             1.04377
3.50000           -0.831377            0.634705             1.04596
3.55000           -0.978639            0.369444             1.04605
3.60000            -1.04152           0.0723266             1.04402
3.65000            -1.01406           -0.231063             1.04006
3.70000           -0.897651           -0.514183             1.03449
3.75000           -0.701211           -0.751462             1.02781
3.80000           -0.441032           -0.920435             1.02064
3.85000           -0.139913            -1.00396             1.01367
3.90000            0.174464           -0.992361             1.00758
3.95000            0.472008           -0.885009             1.00301
4.00000            0.723385           -0.691095             1.00045
4.05000            0.903463           -0.429064             1.00017
4.10000            0.994419           -0.124709             1.00221
4.15000            0.987876            0.191874             1.00634
4.20000            0.885664            0.489876             1.01212
4.25000            0.699143            0.741244             1.01894
4.30000            0.447396            0.923458             1.02613
4.35000            0.154781             1.02132             1.03298
4.40000           -0.151694             1.02773             1.03886
4.45000           -0.444815            0.943667             1.04325
4.50000           -0.699271            0.777579             1.04576
4.55000           -0.893381            0.544388             1.04618
4.60000            -1.01049            0.264272             1.04447
4.65000            -1.04006          -0.0387340             1.04078
4.70000           -0.978592           -0.338349             1.03543
4.75000           -0.830117           -0.607883             1.02889
4.80000           -0.606423           -0.822335             1.02176
4.85000           -0.326620           -0.960700             1.01470
4.90000          -0.0159616            -1.00831             1.00844
4.95000            0.296233           -0.958882             1.00360
5.00000
